,start_date,end_date,state,pollster,fte_grade,sample_size,population,Clinton,Trump,dem_lead
3077,2015-11-07,2015-11-08,South Carolina,Public Policy Polling,B+,1290.0,v,40.63694,45.19826,-4.561319999999995
6520,2015-11-07,2015-11-08,South Carolina,Public Policy Polling,B+,1290.0,v,40.4882,45.19637,-4.708170000000003
9901,2015-11-07,2015-11-08,South Carolina,Public Policy Polling,B+,1290.0,v,40.69941,45.18212,-4.482709999999997
3206,2015-11-09,2015-11-13,Virginia,Roanoke College,C+,555.0,rv,49.81532,36.2105,13.604819999999997
6638,2015-11-09,2015-11-13,Virginia,Roanoke College,C+,555.0,rv,49.00173,37.025240000000004,11.976489999999998
10030,2015-11-09,2015-11-13,Virginia,Roanoke College,C+,555.0,rv,49.3535,36.90794,12.445559999999993
3388,2015-11-11,2015-11-15,Colorado,Quinnipiac University,A-,1262.0,rv,36.063309999999994,45.78302,-9.719710000000006
6710,2015-11-11,2015-11-15,Colorado,Quinnipiac University,A-,1262.0,rv,35.86518,45.76778,-9.9026
10151,2015-11-11,2015-11-15,Colorado,Quinnipiac University,A-,1262.0,rv,36.04188,45.63905,-9.597169999999998
3355,2015-11-12,2015-11-15,Wisconsin,Marquette University,A,803.0,rv,47.42836,37.97394,9.454419999999999
6748,2015-11-12,2015-11-15,Wisconsin,Marquette University,A,803.0,rv,47.27073,38.05898,9.211750000000002
10220,2015-11-12,2015-11-15,Wisconsin,Marquette University,A,803.0,rv,47.574529999999996,37.872209999999995,9.70232
3071,2015-11-06,2015-11-16,New Hampshire,Morning Consult,,530.0,rv,45.40125,38.46687,6.934379999999997
6517,2015-11-06,2015-11-16,New Hampshire,Morning Consult,,530.0,rv,45.209790000000005,38.59373,6.6160600000000045
9895,2015-11-06,2015-11-16,New Hampshire,Morning Consult,,530.0,rv,45.39273,38.40193,6.9908
3060,2015-11-10,2015-11-16,Iowa,Morning Consult,,641.0,rv,41.85953,41.09665,0.7628800000000027
3062,2015-11-10,2015-11-16,South Carolina,Morning Consult,,627.0,rv,42.21781,45.55769,-3.339880000000001
3092,2015-11-10,2015-11-16,Nevada,Morning Consult,,628.0,rv,41.54632,44.81812,-3.271799999999999
6509,2015-11-10,2015-11-16,Iowa,Morning Consult,,641.0,rv,41.69384,41.21837,0.4754700000000014
6511,2015-11-10,2015-11-16,South Carolina,Morning Consult,,627.0,rv,42.056779999999996,45.62137,-3.5645900000000026
6542,2015-11-10,2015-11-16,Nevada,Morning Consult,,628.0,rv,41.3633,44.90135,-3.5380499999999984
9884,2015-11-10,2015-11-16,Iowa,Morning Consult,,641.0,rv,41.85759,41.031220000000005,0.8263699999999972
9886,2015-11-10,2015-11-16,South Carolina,Morning Consult,,627.0,rv,42.24942,45.51283,-3.2634100000000004
9916,2015-11-10,2015-11-16,Nevada,Morning Consult,,628.0,rv,41.54443,44.74835,-3.2039200000000037
3291,2015-11-13,2015-11-16,U.S.,Morning Consult,,2001.0,rv,44.9939,44.36318,0.6307199999999966
6703,2015-11-13,2015-11-16,U.S.,Morning Consult,,2001.0,rv,44.85706,44.51641,0.34064999999999657
10115,2015-11-13,2015-11-16,U.S.,Morning Consult,,2001.0,rv,45.014140000000005,44.318490000000004,0.6956500000000005
3170,2015-11-15,2015-11-16,Florida,Florida Atlantic University,C+,829.0,rv,41.909240000000004,48.729240000000004,-6.82
6610,2015-11-15,2015-11-16,Florida,Florida Atlantic University,C+,829.0,rv,42.062740000000005,48.79643,-6.733689999999996
9994,2015-11-15,2015-11-16,Florida,Florida Atlantic University,C+,829.0,rv,41.86858,48.681290000000004,-6.812710000000003
3008,2015-11-15,2015-11-17,New Hampshire,Fox News/Anderson Robbins Research/Shaw & Company Research,A,804.0,rv,46.98879,39.23964,7.74915
6484,2015-11-15,2015-11-17,New Hampshire,Fox News/Anderson Robbins Research/Shaw & Company Research,A,804.0,rv,46.81858,39.30677,7.511809999999997
9832,2015-11-15,2015-11-17,New Hampshire,Fox News/Anderson Robbins Research/Shaw & Company Research,A,804.0,rv,47.022690000000004,39.0808,7.941890000000001
3181,2015-11-16,2015-11-17,U.S.,Public Policy Polling,B+,1360.0,v,43.36824,42.24252,1.1257200000000012
6615,2015-11-16,2015-11-17,U.S.,Public Policy Polling,B+,1360.0,v,43.23576,42.377109999999995,0.8586500000000044
10005,2015-11-16,2015-11-17,U.S.,Public Policy Polling,B+,1360.0,v,43.414590000000004,42.23025,1.184340000000006
3178,2015-11-16,2015-11-19,U.S.,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1016.0,rv,41.60438,46.0232,-4.418820000000004
6614,2015-11-16,2015-11-19,U.S.,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1016.0,rv,41.49609,46.087509999999995,-4.591419999999992
10002,2015-11-16,2015-11-19,U.S.,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1016.0,rv,41.66925,45.8827,-4.213450000000002
3086,2015-11-16,2015-11-23,Montana,Montana State University Billings,B+,435.0,a,29.066090000000003,49.7611,-20.695009999999996
6525,2015-11-16,2015-11-23,Montana,Montana State University Billings,B+,435.0,a,28.766809999999996,49.041290000000004,-20.274480000000008
9910,2015-11-16,2015-11-23,Montana,Montana State University Billings,B+,435.0,a,28.95405,49.0112,-20.057150000000004
3155,2015-11-23,2015-11-30,U.S.,Quinnipiac University,A-,1473.0,rv,47.03617,40.302459999999996,6.733710000000002
6596,2015-11-23,2015-11-30,U.S.,Quinnipiac University,A-,1473.0,rv,46.87833,40.36045,6.517879999999998
9979,2015-11-23,2015-11-30,U.S.,Quinnipiac University,A-,1473.0,rv,47.0407,40.19308,6.847619999999999
