district,candidate,party,total_votes,won
Delaware at large,Lisa Blunt Rochester,DEM,281382,True
Delaware at large,Lee Murphy,REP,196392,False
Delaware at large,Catherine Purcell,IND,6682,False
Delaware at large,David Rogers,LIB,3814,False
Florida’s 1st district,Matt Gaetz,REP,283352,True
Florida’s 1st district,Phil Ehr,DEM,149172,False
Florida’s 1st district,Albert Oram,NPA,6038,False
Florida’s 2nd district,Neal Dunn,REP,305337,True
Florida’s 2nd district, Write-ins,WRI,6662,False
Florida’s 3rd district,Kat Cammack,REP,223075,True
Florida’s 3rd district,Adam Christensen,DEM,167326,False
Florida’s 4th district,John Rutherford,REP,308497,True
Florida’s 4th district,Donna Deegan,DEM,196423,False
Florida’s 4th district, Write-ins,WRI,20,False
Florida’s 5th district,Al Lawson,DEM,219463,True
Florida’s 5th district,Gary Adler,REP,117510,False
Florida’s 6th district,Michael Waltz,REP,265393,True
Florida’s 6th district,Clint Curtis,DEM,172305,False
Florida’s 6th district, Write-ins,WRI,158,False
Florida’s 7th district,Stephanie Murphy,DEM,224946,True
Florida’s 7th district,Leo Valentin,REP,175750,False
Florida’s 7th district,William Garlington,NPA,5753,False
Florida’s 8th district,Bill Posey,REP,282093,True
Florida’s 8th district,Jim Kennedy,DEM,177695,False
Florida’s 9th district,Darren Soto,DEM,240724,True
Florida’s 9th district,Bill Olson,REP,188889,False
Florida’s 9th district, Write-ins,WRI,25,False
Florida’s 10th district,Val Demings,DEM,239434,True
Florida’s 10th district,Vennia Francois,REP,136889,False
Florida’s 10th district, Write-ins,WRI,74,False
Florida’s 11th district,Daniel Webster,REP,316979,True
Florida’s 11th district,Dana Cottrell,DEM,158094,False
Florida’s 12th district,Gus Bilirakis,REP,284941,True
Florida’s 12th district,Kimberly Walker,DEM,168194,False
Florida’s 13th district,Charlie Crist,DEM,215405,True
Florida’s 13th district,Anna Luna,REP,190713,False
Florida’s 13th district, Write-ins,WRI,7,False
Florida’s 14th district,Kathy Castor,DEM,224240,True
Florida’s 14th district,Christine Quinn,REP,147896,False
Florida’s 15th district,Scott Franklin,REP,216374,True
Florida’s 15th district,Alan Cohn,DEM,174297,False
Florida’s 16th district,Vern Buchanan,REP,269001,True
Florida’s 16th district,Margaret Good,DEM,215683,False
Florida’s 17th district,Greg Steube,REP,266514,True
Florida’s 17th district,Allen Ellison,DEM,140487,False
Florida’s 17th district,Theodore Murray,NPA,5396,False
Florida’s 18th district,Brian Mast,REP,253286,True
Florida’s 18th district,Pam Keith,DEM,186674,False
Florida’s 18th district,K.W. Miller,NPA,9760,False
Florida’s 19th district,Byron Donalds,REP,272440,True
Florida’s 19th district,Cindy Banyai,DEM,172146,False
Florida’s 19th district, Write-ins,WRI,3,False
Florida’s 20th district,Alcee Hastings,DEM,253661,True
Florida’s 20th district,Greg Musselwhite,REP,68748,False
Florida’s 21st district,Lois Frankel,DEM,237925,True
Florida’s 21st district,Laura Loomer,REP,157612,False
Florida’s 21st district,Charleston Malkemus,NPA,7544,False
Florida’s 21st district, Write-ins,WRI,206,False
Florida’s 22nd district,Ted Deutch,DEM,235764,True
Florida’s 22nd district,James Pruden,REP,166553,False
Florida’s 23rd district,Debbie Wasserman Schultz,DEM,221239,True
Florida’s 23rd district,Carla Spalding,REP,158874,False
Florida’s 23rd district, Write-ins,WRI,83,False
Florida’s 24th district,Frederica Wilson,DEM,218825,True
Florida’s 24th district,Lavern Spicer,REP,59084,False
Florida’s 24th district,Christine Olivo,NPA,11703,False
Florida’s 24th district, Write-ins,WRI,26,False
Florida’s 25th district,Mario Diaz-Balart,REP,0,True
Florida’s 26th district,Carlos Gimenez,REP,177223,True
Florida’s 26th district,Debbie Mucarsel-Powell,DEM,165407,False
Florida’s 27th district,Maria Elvira Salazar,REP,176141,True
Florida’s 27th district,Donna Shalala,DEM,166758,False
Florida’s 27th district, Write-ins,WRI,76,False
Georgia’s 1st district,Buddy Carter,REP,189457,True
Georgia’s 1st district,Joyce Griggs,DEM,135238,False
Georgia’s 1st district, Write-ins,WRI,0,False
Georgia’s 2nd district,Sanford Bishop,DEM,161397,True
Georgia’s 2nd district,Don Cole,REP,111620,False
Georgia’s 2nd district, Write-ins,WRI,0,False
Georgia’s 3rd district,Drew Ferguson,REP,241526,True
Georgia’s 3rd district,Val Almonord,DEM,129792,False
Georgia’s 3rd district, Write-ins,WRI,18,False
Georgia’s 4th district,Hank Johnson,DEM,278906,True
Georgia’s 4th district,Johsie Ezammudeen,REP,69393,False
Georgia’s 5th district,Nikema Williams,DEM,301857,True
Georgia’s 5th district,Angela Stanton-King,REP,52646,False
Georgia’s 6th district,Lucy McBath,DEM,216775,True
Georgia’s 6th district,Karen Handel,REP,180329,False
Georgia’s 7th district,Carolyn Bourdeaux,DEM,190900,True
Georgia’s 7th district,Rich McCormick,REP,180564,False
Georgia’s 8th district,Austin Scott,REP,198701,True
Georgia’s 8th district,Lindsay Holliday,DEM,109264,False
Georgia’s 8th district, Write-ins,WRI,24,False
Georgia’s 9th district,Andrew Clyde,REP,292750,True
Georgia’s 9th district,Devin Pandy,DEM,79797,False
Georgia’s 9th district, Write-ins,WRI,3,False
Georgia’s 10th district,Jody Hice,REP,235810,True
Georgia’s 10th district,Tabitha Johnson-Green,DEM,142636,False
Georgia’s 10th district, Write-ins,WRI,60,False
Georgia’s 11th district,Barry Loudermilk,REP,245259,True
Georgia’s 11th district,Dana Barrett,DEM,160623,False
Georgia’s 12th district,Rick Allen,REP,181038,True
Georgia’s 12th district,Liz Johnson,DEM,129061,False
Georgia’s 12th district, Write-ins,WRI,0,False
Georgia’s 13th district,David Scott,DEM,279045,True
Georgia’s 13th district,Becky Hites,REP,81476,False
Georgia’s 14th district,Marjorie Taylor Greene,REP,229827,True
