district,candidate,party,total_votes,won
Georgia’s 14th district,Kevin Van Ausdal,DEM,77798,False
Georgia’s 14th district, Write-ins,WRI,323,False
Hawaii’s 1st district,Ed Case,DEM,183245,True
Hawaii’s 1st district,Ron Curtis,REP,71188,False
Hawaii’s 2nd district,Kai Kahele,DEM,171517,True
Hawaii’s 2nd district,Joe Akana,REP,84027,False
Hawaii’s 2nd district,Michelle Tippens,LIB,6785,False
Hawaii’s 2nd district,Jonathan Hoomanawanui,ALO,6453,False
Hawaii’s 2nd district,Ron Burrus,NPT,2659,False
Hawaii’s 2nd district,John Giuffre,SHP,661,False
Idaho’s 1st district,Russ Fulcher,REP,310736,True
Idaho’s 1st district,Rudy Soto,DEM,131380,False
Idaho’s 1st district,Joe Evans,LIB,16453,False
Idaho’s 2nd district,Mike Simpson,REP,250668,True
Idaho’s 2nd district,Aaron Swisher,DEM,124151,False
Idaho’s 2nd district, Pro-Life,CST,8573,False
Idaho’s 2nd district,Idaho Law,LIB,7940,False
Illinois’s 1st district,Bobby Rush,DEM,239943,True
Illinois’s 1st district,Philanise White,REP,85027,False
Illinois’s 2nd district,Robin Kelly,DEM,234896,True
Illinois’s 2nd district,Theresa Raborn,REP,63142,False
Illinois’s 3rd district,Marie Newman,DEM,172997,True
Illinois’s 3rd district,Mike Fricilone,REP,133851,False
Illinois’s 4th district,"Jesus ""Chuy"" Garcia",DEM,187219,True
Illinois’s 4th district,Jesus Solorio,REP,35518,False
Illinois’s 5th district,Mike Quigley,DEM,255661,True
Illinois’s 5th district,Tom Hanson,REP,96200,False
Illinois’s 5th district,Thomas Wilda,GRN,9408,False
Illinois’s 6th district,Sean Casten,DEM,213777,True
Illinois’s 6th district,Jeanne Ives,REP,183891,False
Illinois’s 6th district,Bill Redpath,LIB,7079,False
Illinois’s 7th district,Danny Davis,DEM,249383,True
Illinois’s 7th district,Craig Cameron,REP,41390,False
Illinois’s 7th district,Tracy Jennings,IND,19355,False
Illinois’s 8th district,Raja Krishnamoorthi,DEM,186251,True
Illinois’s 8th district,Preston Nelson,LIB,68327,False
Illinois’s 9th district,Jan Schakowsky,DEM,262045,True
Illinois’s 9th district,Sargis Sangari,REP,107125,False
Illinois’s 10th district,Brad Schneider,DEM,202402,True
Illinois’s 10th district,Valerie Mukherjee,REP,114442,False
Illinois’s 10th district, Write-ins,WRI,30,False
Illinois’s 11th district,Bill Foster,DEM,194557,True
Illinois’s 11th district,Rick Laib,REP,112807,False
Illinois’s 12th district,Mike Bost,REP,194839,True
Illinois’s 12th district,Raymond Lenzi,DEM,127577,False
Illinois’s 13th district,Rodney Davis,REP,181373,True
Illinois’s 13th district,Betsy Londrigan,DEM,151648,False
Illinois’s 14th district,Lauren Underwood,DEM,203209,True
Illinois’s 14th district,Jim Oberweis,REP,197835,False
Illinois’s 15th district,Mary Miller,REP,244947,True
Illinois’s 15th district,Erika Weaver,DEM,88559,False
Illinois’s 16th district,Adam Kinzinger,REP,218839,True
Illinois’s 16th district,Dani Brzozowski,DEM,119313,False
Illinois’s 16th district, Write-ins,WRI,7,False
Illinois’s 17th district,Cheri Bustos,DEM,156011,True
Illinois’s 17th district,Esther Joy King,REP,143863,False
Illinois’s 18th district,Darin LaHood,REP,261840,True
Illinois’s 18th district,George Petrilli,DEM,110039,False
Indiana’s 1st district,Frank Mrvan,DEM,185180,True
Indiana’s 1st district,Mark Leyva,REP,132247,False
Indiana’s 1st district,Michael Strauss,LIB,9521,False
Indiana’s 2nd district,Jackie Walorski,REP,183601,True
Indiana’s 2nd district,Patricia Hackett,DEM,114967,False
Indiana’s 3rd district,Jim Banks,REP,220989,True
Indiana’s 3rd district,Chip Coldiron,DEM,104762,False
Indiana’s 4th district,Jim Baird,REP,225531,True
Indiana’s 4th district,Joe Mackey,DEM,112984,False
Indiana’s 5th district,Victoria Spartz,REP,208212,True
Indiana’s 5th district,Christina Hale,DEM,191226,False
Indiana’s 5th district,Ken Tucker,LIB,16788,False
Indiana’s 6th district,Greg Pence,REP,225318,True
Indiana’s 6th district,Jeannine Lake,DEM,91103,False
Indiana’s 6th district,Tom Ferkinhoff,LIB,11791,False
Indiana’s 7th district,Andre Carson,DEM,176422,True
Indiana’s 7th district,Susan Smith,REP,106146,False
Indiana’s 8th district,Larry Bucshon,REP,214643,True
Indiana’s 8th district,Thomasina Marsili,DEM,95691,False
Indiana’s 8th district,James Rodenberger,LIB,10283,False
Indiana’s 9th district,Trey Hollingsworth,REP,222054,True
Indiana’s 9th district,Andy Ruff,DEM,122564,False
Indiana’s 9th district,Tonya Millis,LIB,14415,False
Iowa’s 1st district,Ashley Hinson,REP,212088,True
Iowa’s 1st district,Abby Finkenauer,DEM,201347,False
Iowa’s 2nd district,Mariannette Miller-Meeks,REP,196964,True
Iowa’s 2nd district,Rita Hart,DEM,196958,False
Iowa’s 3rd district,Cindy Axne,DEM,219205,True
Iowa’s 3rd district,David Young,REP,212997,False
Iowa’s 3rd district,Bryan Holder,LIB,15361,False
Iowa’s 4th district,Randy Feenstra,REP,237369,True
Iowa’s 4th district,J.D. Scholten,DEM,144761,False
Kansas’s 1st district,Tracey Mann,REP,208229,True
Kansas’s 1st district,Kali Barnett,DEM,84393,False
Kansas’s 2nd district,Jake LaTurner,REP,185464,True
Kansas’s 2nd district,Michelle De La Isla,DEM,136650,False
Kansas’s 2nd district,Robert Garrard,LIB,14201,False
Kansas’s 3rd district,Sharice Davids,DEM,220049,True
Kansas’s 3rd district,Amanda Adkins,REP,178773,False
Kansas’s 3rd district,Steven Hohe,LIB,11596,False
Kansas’s 4th district,Ron Estes,REP,203432,True
Kansas’s 4th district,Laura Lombard,DEM,116166,False
Kentucky’s 1st district,James Comer,REP,246329,True
Kentucky’s 1st district,James Rhodes,DEM,82141,False
Kentucky’s 1st district, Write-ins,WRI,0,False
Kentucky’s 2nd district,Brett Guthrie,REP,255735,True
Kentucky’s 2nd district,Hank Linderman,DEM,94643,False
Kentucky’s 2nd district,Robert Perry,LIB,7588,False
Kentucky’s 2nd district,Lewis Carter,POP,2431,False
Kentucky’s 2nd district, Write-ins,WRI,2,False
Kentucky’s 3rd district,John Yarmuth,DEM,230672,True
Kentucky’s 3rd district,Rhonda Palazzo,REP,137425,False
Kentucky’s 3rd district, Write-ins,WRI,0,False
Kentucky’s 4th district,Thomas Massie,REP,256613,True
Kentucky’s 4th district,Alexandra Owensby,DEM,125896,False
Kentucky’s 4th district, Write-ins,WRI,0,False
Kentucky’s 5th district,Hal Rogers,REP,250914,True
Kentucky’s 5th district,Matthew Best,DEM,47056,False
Kentucky’s 5th district, Write-ins,WRI,7,False
Kentucky’s 6th district,Andy Barr,REP,216948,True
Kentucky’s 6th district,Josh Hicks,DEM,155011,False
Kentucky’s 6th district,Frank Harris,LIB,6491,False
Kentucky’s 6th district, Write-ins,WRI,0,False
Louisiana’s 1st district,Steve Scalise,REP,270330,True
Louisiana’s 1st district,Lee Ann Dugas,DEM,94730,False
Louisiana’s 1st district,Howard Kearney,LIB,9309,False
Louisiana’s 2nd district,Cedric Richmond,DEM,201636,True
Louisiana’s 2nd district,David Schilling,REP,47575,False
Louisiana’s 2nd district,Glenn Harris,DEM,33684,False
Louisiana’s 2nd district,Sheldon Vincent,REP,15565,False
Louisiana’s 2nd district,Belden Batiste,IND,12268,False
Louisiana’s 2nd district,Colby James,IND,6254,False
Louisiana’s 3rd district,Clay Higgins,REP,230480,True
Louisiana’s 3rd district,Braylon Harris,DEM,60852,False
Louisiana’s 3rd district,Rob Anderson,DEM,39423,False
Louisiana’s 3rd district,Brandon Leleux,LIB,9365,False
Louisiana’s 4th district,Mike Johnson,REP,185265,True
Louisiana’s 4th district,Kenny Houston,DEM,78157,False
Louisiana’s 4th district,Ryan Trundle,DEM,23813,False
Louisiana’s 4th district,Ben Gibson,REP,19343,False
Louisiana’s 5th district,Luke Letlow,REP,102533,True
Louisiana’s 5th district,Lance Harris,REP,51240,False
Louisiana’s 5th district,Candy Christophe,DEM,50812,False
Louisiana’s 5th district,Martin Lemelle,DEM,32186,False
Louisiana’s 5th district,Scotty Robinson,REP,23887,False
Louisiana’s 5th district,Allen Guillory,REP,22496,False
Louisiana’s 5th district,Matt Hasty,REP,9834,False
Louisiana’s 5th district,Phillip Snowden,DEM,9432,False
Louisiana’s 5th district,Jesse Lagarde,DEM,7136,False
Louisiana’s 6th district,Garret Graves,REP,265706,True
Louisiana’s 6th district,Dartanyon Williams,DEM,95541,False
Louisiana’s 6th district,Shannon Sloan,LIB,9732,False
Louisiana’s 6th district,Richard Torregano,NPA,3017,False
Maine’s 1st district,Chellie Pingree,DEM,271004,True
Maine’s 1st district,Jay Allen,REP,165008,False
Maine’s 1st district, Write-ins,WRI,15,False
Maine’s 2nd district,Jared Golden,DEM,195854,True
Maine’s 2nd district,Dale Crafts,REP,174196,False
Maine’s 2nd district, Write-ins,WRI,2885,False
Maryland’s 1st district,Andy Harris,REP,250901,True
Maryland’s 1st district,Mia Mason,DEM,143877,False
Maryland’s 2nd district,Dutch Ruppersberger,DEM,224836,True
Maryland’s 2nd district,Johnny Salling,REP,106355,False
Maryland’s 3rd district,John Sarbanes,DEM,260358,True
Maryland’s 3rd district,Charles Anthony,REP,112117,False
Maryland’s 4th district,Anthony Brown,DEM,282119,True
Maryland’s 4th district,George McDermott,REP,71671,False
Maryland’s 5th district,Steny Hoyer,DEM,274210,True
Maryland’s 5th district,Chris Palombi,REP,123525,False
Maryland’s 6th district,David Trone,DEM,215540,True
Maryland’s 6th district,Neil Parrott,REP,143599,False
Maryland’s 6th district,George Gluck,GRN,6893,False
Maryland’s 7th district,Kweisi Mfume,DEM,237084,True
Maryland’s 7th district,Kimberly Klacik,REP,92825,False
Maryland’s 7th district, Write-ins,WRI,1089,False
Maryland’s 8th district,Jamie Raskin,DEM,274716,True
Maryland’s 8th district,Gregory Coll,REP,127157,False
Massachusetts’s 1st district,Richard Neal,DEM,275376,True
Massachusetts’s 1st district, Write-ins,WRI,9956,False
Massachusetts’s 2nd district,Jim McGovern,DEM,249854,True
Massachusetts’s 2nd district,Tracy Lovvorn,REP,132220,False
Massachusetts’s 2nd district, Write-ins,WRI,378,False
Massachusetts’s 3rd district,Lori Trahan,DEM,286896,True
Massachusetts’s 3rd district, Write-ins,WRI,6643,False
Massachusetts’s 4th district,Jake Auchincloss,DEM,251102,True
Massachusetts’s 4th district,Julie Hall,REP,160474,False
Massachusetts’s 4th district, Write-ins,WRI,1247,False
Massachusetts’s 5th district,Katherine Clark,DEM,294427,True
Massachusetts’s 5th district,Caroline Colarusso,REP,101351,False
Massachusetts’s 5th district, Write-ins,WRI,405,False
Massachusetts’s 6th district,Seth Moulton,DEM,286377,True
Massachusetts’s 6th district,John Moran,REP,150695,False
Massachusetts’s 6th district, Write-ins,WRI,605,False
Massachusetts’s 7th district,Ayanna Pressley,DEM,267362,True
Massachusetts’s 7th district,Roy Owens,IND,38675,False
Massachusetts’s 7th district, Write-ins,WRI,2613,False
Massachusetts’s 8th district,Stephen Lynch,DEM,310940,True
Massachusetts’s 8th district,Jonathan Lott,IND,72060,False
Massachusetts’s 8th district, Write-ins,WRI,2401,False
Massachusetts’s 9th district,Bill Keating,DEM,260262,True
Massachusetts’s 9th district,Helen Brady,REP,154261,False
Massachusetts’s 9th district,Michael Manley,IND,9717,False
Massachusetts’s 9th district, Write-ins,WRI,361,False
Michigan’s 1st district,Jack Bergman,REP,256581,True
Michigan’s 1st district,Dana Ferguson,DEM,153328,False
Michigan’s 1st district,Ben Boren,LIB,6310,False
Michigan’s 2nd district,Bill Huizenga,REP,238711,True
Michigan’s 2nd district,Bryan Berghoef,DEM,154122,False
Michigan’s 2nd district,Max Riekse,LIB,5292,False
Michigan’s 2nd district,Jean-Michel Creviere,GRN,2646,False
Michigan’s 2nd district,Gerald Van Sickle,TAX,2476,False
Michigan’s 3rd district,Peter Meijer,REP,213649,True
Michigan’s 3rd district,Hillary Scholten,DEM,189769,False
Michigan’s 4th district,John Moolenaar,REP,242621,True
Michigan’s 4th district,Jerry Hilliard,DEM,120802,False
Michigan’s 4th district,David Canny,LIB,5374,False
Michigan’s 4th district,Amy Slepr,GRN,4448,False
Michigan’s 5th district,Daniel Kildee,DEM,196599,True
Michigan’s 5th district,Tim Kelly,REP,150772,False
Michigan’s 5th district,Kathy Goodwin,WCP,8180,False
Michigan’s 5th district,James Harris,LIB,5481,False
Michigan’s 6th district,Fred Upton,REP,211496,True
Michigan’s 6th district,Jon Hoadley,DEM,152085,False
Michigan’s 6th district,Jeff DePoy,LIB,10399,False
Michigan’s 6th district,John Lawrence,GRN,4440,False
Michigan’s 7th district,Tim Walberg,REP,227524,True
Michigan’s 7th district,Gretchen Driskell,DEM,159743,False
Michigan’s 8th district,Elissa Slotkin,DEM,217922,True
Michigan’s 8th district,Paul Junge,REP,202525,False
Michigan’s 8th district,Joe Hartman,LIB,7897,False
Michigan’s 9th district,Andy Levin,DEM,230318,True
Michigan’s 9th district,Charles Langworthy,REP,153296,False
Michigan’s 9th district,Andrea Kirby,WCP,8970,False
Michigan’s 9th district,Mike Saliba,LIB,6532,False
Michigan’s 10th district,Lisa McClain,REP,271607,True
Michigan’s 10th district,Kimberly Bizon,DEM,138179,False
Michigan’s 11th district,Haley Stevens,DEM,226128,True
Michigan’s 11th district,Eric Esshaki,REP,215405,False
Michigan’s 11th district,Leonard Schwartz,LIB,8936,False
Michigan’s 12th district,Debbie Dingell,DEM,254957,True
Michigan’s 12th district,Jeff Jones,REP,117719,False
Michigan’s 12th district,Gary Walkowicz,WCP,11147,False
Michigan’s 13th district,Rashida Tlaib,DEM,223205,True
Michigan’s 13th district,David Dudenhoefer,REP,53311,False
Michigan’s 13th district,Sam Johnson,WCP,5284,False
Michigan’s 13th district,Etta Wilcoxon,GRN,2105,False
Michigan’s 13th district,Articia Bomer,TAX,1974,False
Michigan’s 14th district,Brenda Lawrence,DEM,271370,True
Michigan’s 14th district,R. Vance Patrick,REP,62664,False
Michigan’s 14th district,Lisa Gioia,LIB,3737,False
Michigan’s 14th district,Philip Kolody,WCP,2534,False
Michigan’s 14th district,Clyde Shabazz,GRN,1998,False
Minnesota’s 1st district,Jim Hagedorn,REP,179234,True
Minnesota’s 1st district,Dan Feehan,DEM,167890,False
Minnesota’s 1st district,Bill Rood,GRP,21448,False
Minnesota’s 2nd district,Angie Craig,DEM,204534,True
Minnesota’s 2nd district,Tyler Kistner,REP,194954,False
Minnesota’s 2nd district,Adam Weeks,LMN,24751,False
Minnesota’s 3rd district,Dean Phillips,DEM,246666,True
Minnesota’s 3rd district,Kendall Qualls,REP,196625,False
Minnesota’s 4th district,Betty McCollum,DEM,245813,True
Minnesota’s 4th district,Gene Rechtzigel,REP,112730,False
Minnesota’s 4th district,Susan Pendergast Sindt,LMN,29537,False
Minnesota’s 5th district,Ilhan Omar,DEM,255924,True
Minnesota’s 5th district,Lacy Johnson,REP,102878,False
Minnesota’s 5th district,Michael Moore,LMN,37979,False
Minnesota’s 6th district,Tom Emmer,REP,270901,True
Minnesota’s 6th district,Tawnja Zahradka,DEM,140853,False
Minnesota’s 7th district,Michelle Fischbach,REP,194066,True
Minnesota’s 7th district,Collin Peterson,DEM,144840,False
Minnesota’s 7th district,Slater Johnson,LMN,17710,False
Minnesota’s 7th district,Rae Hart Anderson,GRP,6499,False
Minnesota’s 8th district,Pete Stauber,REP,223432,True
Minnesota’s 8th district,Quinn Nystrom,DEM,147853,False
Minnesota’s 8th district,Judith Schwartzbacker,GRP,22190,False
Mississippi’s 1st district,Trent Kelly,REP,228731,True
Mississippi’s 1st district,Antonia Eliason,DEM,103994,False
Mississippi’s 1st district, Write-ins,WRI,280,False
Mississippi’s 2nd district,Bennie Thompson,DEM,196331,True
Mississippi’s 2nd district,Brian Flowers,REP,101037,False
Mississippi’s 2nd district, Write-ins,WRI,203,False
Mississippi’s 3rd district,Michael Guest,REP,220547,True
Mississippi’s 3rd district,Dorothy Benford,DEM,119880,False
Mississippi’s 4th district,Steven Palazzo,REP,255960,True
Mississippi’s 4th district, Write-ins,WRI,8670,False
Missouri’s 1st district,Cori Bush,DEM,249087,True
Missouri’s 1st district,Anthony Rogers,REP,59940,False
Missouri’s 1st district,Alex Furman,LIB,6766,False
Missouri’s 2nd district,Ann Wagner,REP,233157,True
Missouri’s 2nd district,Jill Schupp,DEM,204540,False
Missouri’s 2nd district,Martin Schulte,LIB,11647,False
Missouri’s 2nd district, Write-ins,WRI,4,False
Missouri’s 3rd district,Blaine Luetkemeyer,REP,282851,True
Missouri’s 3rd district,Megan Rezabek,DEM,116287,False
Missouri’s 3rd district,Leonard Steinman,LIB,8344,False
Missouri’s 4th district,Vicky Hartzler,REP,245247,True
Missouri’s 4th district,Lindsey Simmons,DEM,107635,False
Missouri’s 4th district,Steven Koonse,LIB,9954,False
Missouri’s 5th district,Emanuel Cleaver,DEM,207217,True
Missouri’s 5th district,Ryan Derks,REP,135934,False
Missouri’s 5th district,Robin Dominick,LIB,9271,False
Missouri’s 6th district,Sam Graves,REP,259150,True
Missouri’s 6th district,Gena Ross,DEM,121802,False
Missouri’s 6th district,Jim Higgins,LIB,8159,False
Missouri’s 7th district,Billy Long,REP,254498,True
Missouri’s 7th district,Teresa Montseny,DEM,98110,False
Missouri’s 7th district,Kevin Craig,LIB,15573,False
Missouri’s 8th district,Jason Smith,REP,253811,True
Missouri’s 8th district,Kathy Ellis,DEM,70561,False
Missouri’s 8th district,Tom Schmitz,LIB,5854,False
Montana at large,Matt Rosendale,REP,339169,True
Montana at large,Kathleen Williams,DEM,262340,False
Nebraska’s 1st district,Jeff Fortenberry,REP,189006,True
Nebraska’s 1st district,Kate Bolz,DEM,119622,False
Nebraska’s 1st district,Dennis Grace,LIB,8938,False
Nebraska’s 2nd district,Don Bacon,REP,171071,True
Nebraska’s 2nd district,Kara Eastman,DEM,155706,False
Nebraska’s 2nd district,Tyler Schaeffer,LIB,10185,False
Nebraska’s 3rd district,Adrian Smith,REP,225157,True
Nebraska’s 3rd district,Mark Elworth,DEM,50690,False
Nebraska’s 3rd district,Dustin Hobbs,LIB,10923,False
Nevada’s 1st district,Dina Titus,DEM,137868,True
Nevada’s 1st district,Joyce Bentley,REP,74490,False
Nevada’s 1st district,Kamau Bakari,IAP,6190,False
Nevada’s 1st district,Robert Strawder,LIB,4665,False
Nevada’s 2nd district,Mark Amodei,REP,216078,True
Nevada’s 2nd district,Patricia Ackerman,DEM,155780,False
Nevada’s 2nd district,Janine Hansen,IAP,10815,False
Nevada’s 3rd district,Susie Lee,DEM,203421,True
Nevada’s 3rd district,Dan Rodimer,REP,190975,False
Nevada’s 3rd district,Steve Brown,LIB,12315,False
Nevada’s 3rd district,Ed Bridges,IAP,10541,False
Nevada’s 4th district,Steven Horsford,DEM,168457,True
Nevada’s 4th district,Jim Marchant,REP,152284,False
Nevada’s 4th district,Jonathan Esteban,LIB,7978,False
Nevada’s 4th district,Barry Rubinson,IAP,3750,False
New Hampshire’s 1st district,Chris Pappas,DEM,205606,True
New Hampshire’s 1st district,Matt Mowers,REP,185159,False
New Hampshire’s 1st district,Zachary Dumont,LIB,9747,False
New Hampshire’s 1st district, Write-ins,WRI,83,False
New Hampshire’s 2nd district,Ann Kuster,DEM,208289,True
New Hampshire’s 2nd district,Steve Negron,REP,168886,False
New Hampshire’s 2nd district,Andrew Olding,LIB,9119,False
New Hampshire’s 2nd district, Write-ins,WRI,53,False
New Jersey’s 1st district,Donald Norcross,DEM,240567,True
New Jersey’s 1st district,Claire Gustafson,REP,144463,False
New Jersey’s 2nd district,Jeff Van Drew,REP,195526,True
New Jersey’s 2nd district,Amy Kennedy,DEM,173849,False
New Jersey’s 2nd district,Jenna Harvey,IND,4136,False
New Jersey’s 2nd district,Jesse Ehrnstrom,LIB,3036,False
New Jersey’s 3rd district,Andrew Kim,DEM,229840,True
New Jersey’s 3rd district,David Richter,REP,196327,False
New Jersey’s 3rd district,Martin Weber,IND,3724,False
New Jersey’s 3rd district,Robert Shapiro,IND,1871,False
New Jersey’s 4th district,Chris Smith,REP,254103,True
New Jersey’s 4th district,Stephanie Schmid,DEM,162420,False
New Jersey’s 4th district,Hank Schroeder,IND,3195,False
New Jersey’s 4th district,Michael Rufo,LIB,2583,False
New Jersey’s 4th district,Andrew Pachuta,IND,2067,False
New Jersey’s 5th district,Joshua Gottheimer,DEM,225175,True
New Jersey’s 5th district,Frank Pallotta,REP,193333,False
New Jersey’s 5th district,Louis Vellucci,IND,5128,False
New Jersey’s 6th district,Frank Pallone,DEM,199648,True
New Jersey’s 6th district,Christian Onuoha,REP,126760,False
New Jersey’s 7th district,Tom Malinowski,DEM,219629,True
New Jersey’s 7th district,Thomas Kean,REP,214318,False
New Jersey’s 8th district,Albio Sires,DEM,176758,True
New Jersey’s 8th district,Jason Mushnick,REP,58686,False
New Jersey’s 8th district,Dan Delaney,LIB,3329,False
New Jersey’s 9th district,Bill Pascrell,DEM,203674,True
New Jersey’s 9th district,Billy Prempeh,REP,98629,False
New Jersey’s 9th district,Chris Auriemma,IND,7239,False
New Jersey’s 10th district,Donald Payne,DEM,241522,True
New Jersey’s 10th district,Jennifer Zinone,REP,40298,False
New Jersey’s 10th district,Akil Khalfani,IND,3537,False
New Jersey’s 10th district,Khaliah Fitchette,IND,3480,False
New Jersey’s 10th district,John Mirrione,LIB,1172,False
New Jersey’s 11th district,Mikie Sherrill,DEM,235163,True
New Jersey’s 11th district,Rosemary Becchi,REP,206013,False
New Jersey’s 12th district,Bonnie Watson Coleman,DEM,230883,True
New Jersey’s 12th district,Mark Razzoli,REP,114591,False
New Jersey’s 12th district,Edward Forchion,IND,4512,False
New Jersey’s 12th district,Kenneth Cody,IND,1739,False
New Mexico’s 1st district,Debra Haaland,DEM,186953,True
New Mexico’s 1st district,Michelle Garcia Holmes,REP,134337,False
New Mexico’s 2nd district,Yvette Herrell,REP,142283,True
New Mexico’s 2nd district,Xochitl Torres Small,DEM,122546,False
New Mexico’s 2nd district, Write-ins,WRI,117,False
