state,county,candidate,party,total_votes,won
Delaware,Kent County,Joe Biden,DEM,44552,True
Delaware,Kent County,Donald Trump,REP,41009,False
Delaware,Kent County,Jo Jorgensen,LIB,1044,False
Delaware,Kent County,Howie Hawkins,GRN,420,False
Delaware,New Castle County,Joe Biden,DEM,195034,True
Delaware,New Castle County,Donald Trump,REP,88364,False
Delaware,New Castle County,Jo Jorgensen,LIB,2953,False
Delaware,New Castle County,Howie Hawkins,GRN,1282,False
Delaware,Sussex County,Donald Trump,REP,71230,True
Delaware,Sussex County,Joe Biden,DEM,56682,False
Delaware,Sussex County,Jo Jorgensen,LIB,1003,False
Delaware,Sussex County,Howie Hawkins,GRN,437,False
District of Columbia,District of Columbia,Joe Biden,DEM,39041,True
District of Columbia,District of Columbia,Donald Trump,REP,1725,False
District of Columbia,District of Columbia, Write-ins,WRI,298,False
District of Columbia,District of Columbia,Howie Hawkins,GRN,259,False
District of Columbia,District of Columbia,Jo Jorgensen,LIB,204,False
District of Columbia,District of Columbia,Gloria La Riva,PSL,108,False
District of Columbia,District of Columbia,Brock Pierce,IND,46,False
District of Columbia,Ward 2,Joe Biden,DEM,29078,True
District of Columbia,Ward 2,Donald Trump,REP,2918,False
District of Columbia,Ward 2, Write-ins,WRI,370,False
District of Columbia,Ward 2,Jo Jorgensen,LIB,302,False
District of Columbia,Ward 2,Howie Hawkins,GRN,124,False
District of Columbia,Ward 2,Gloria La Riva,PSL,50,False
District of Columbia,Ward 2,Brock Pierce,IND,39,False
District of Columbia,Ward 3,Joe Biden,DEM,39397,True
District of Columbia,Ward 3,Donald Trump,REP,3705,False
District of Columbia,Ward 3, Write-ins,WRI,491,False
District of Columbia,Ward 3,Jo Jorgensen,LIB,344,False
District of Columbia,Ward 3,Howie Hawkins,GRN,159,False
District of Columbia,Ward 3,Gloria La Riva,PSL,74,False
District of Columbia,Ward 3,Brock Pierce,IND,61,False
District of Columbia,Ward 4,Joe Biden,DEM,42489,True
District of Columbia,Ward 4,Donald Trump,REP,1913,False
District of Columbia,Ward 4, Write-ins,WRI,308,False
District of Columbia,Ward 4,Howie Hawkins,GRN,234,False
District of Columbia,Ward 4,Jo Jorgensen,LIB,161,False
District of Columbia,Ward 4,Gloria La Riva,PSL,125,False
District of Columbia,Ward 4,Brock Pierce,IND,66,False
District of Columbia,Ward 5,Joe Biden,DEM,43320,True
District of Columbia,Ward 5,Donald Trump,REP,1769,False
District of Columbia,Ward 5, Write-ins,WRI,323,False
District of Columbia,Ward 5,Howie Hawkins,GRN,271,False
District of Columbia,Ward 5,Jo Jorgensen,LIB,212,False
District of Columbia,Ward 5,Gloria La Riva,PSL,115,False
District of Columbia,Ward 5,Brock Pierce,IND,97,False
District of Columbia,Ward 6,Joe Biden,DEM,56719,True
District of Columbia,Ward 6,Donald Trump,REP,4337,False
District of Columbia,Ward 6, Write-ins,WRI,857,False
District of Columbia,Ward 6,Jo Jorgensen,LIB,561,False
District of Columbia,Ward 6,Howie Hawkins,GRN,253,False
District of Columbia,Ward 6,Gloria La Riva,PSL,104,False
District of Columbia,Ward 6,Brock Pierce,IND,87,False
District of Columbia,Ward 7,Joe Biden,DEM,36382,True
District of Columbia,Ward 7,Donald Trump,REP,1134,False
District of Columbia,Ward 7, Write-ins,WRI,270,False
District of Columbia,Ward 7,Howie Hawkins,GRN,232,False
District of Columbia,Ward 7,Brock Pierce,IND,132,False
District of Columbia,Ward 7,Jo Jorgensen,LIB,118,False
District of Columbia,Ward 7,Gloria La Riva,PSL,116,False
District of Columbia,Ward 8,Joe Biden,DEM,30897,True
District of Columbia,Ward 8,Donald Trump,REP,1085,False
District of Columbia,Ward 8, Write-ins,WRI,220,False
District of Columbia,Ward 8,Howie Hawkins,GRN,194,False
District of Columbia,Ward 8,Brock Pierce,IND,165,False
District of Columbia,Ward 8,Gloria La Riva,PSL,163,False
District of Columbia,Ward 8,Jo Jorgensen,LIB,134,False
Florida,Alachua County,Joe Biden,DEM,89704,True
Florida,Alachua County,Donald Trump,REP,50972,False
Florida,Alachua County,Jo Jorgensen,LIB,1390,False
Florida,Alachua County,Howie Hawkins,GRN,302,False
Florida,Alachua County,Gloria La Riva,PSL,94,False
Florida,Alachua County,Rocky De La Fuente,ALI,70,False
Florida,Alachua County,Don Blankenship,CST,52,False
Florida,Alachua County, Write-ins,WRI,20,False
Florida,Baker County,Donald Trump,REP,11911,True
Florida,Baker County,Joe Biden,DEM,2037,False
Florida,Baker County,Jo Jorgensen,LIB,93,False
Florida,Baker County,Howie Hawkins,GRN,10,False
Florida,Baker County,Rocky De La Fuente,ALI,4,False
Florida,Baker County,Gloria La Riva,PSL,3,False
Florida,Baker County,Don Blankenship,CST,1,False
Florida,Baker County, Write-ins,WRI,0,False
Florida,Bay County,Donald Trump,REP,66097,True
Florida,Bay County,Joe Biden,DEM,25614,False
Florida,Bay County,Jo Jorgensen,LIB,1004,False
Florida,Bay County,Howie Hawkins,GRN,142,False
Florida,Bay County,Rocky De La Fuente,ALI,54,False
Florida,Bay County,Don Blankenship,CST,52,False
Florida,Bay County,Gloria La Riva,PSL,45,False
Florida,Bay County, Write-ins,WRI,16,False
Florida,Bradford County,Donald Trump,REP,10334,True
Florida,Bradford County,Joe Biden,DEM,3160,False
Florida,Bradford County,Jo Jorgensen,LIB,110,False
Florida,Bradford County,Howie Hawkins,GRN,11,False
Florida,Bradford County,Rocky De La Fuente,ALI,7,False
Florida,Bradford County,Don Blankenship,CST,6,False
Florida,Bradford County,Gloria La Riva,PSL,3,False
Florida,Bradford County, Write-ins,WRI,1,False
Florida,Brevard County,Donald Trump,REP,207883,True
Florida,Brevard County,Joe Biden,DEM,148549,False
Florida,Brevard County,Jo Jorgensen,LIB,3178,False
Florida,Brevard County,Howie Hawkins,GRN,553,False
Florida,Brevard County,Rocky De La Fuente,ALI,222,False
Florida,Brevard County,Don Blankenship,CST,171,False
Florida,Brevard County,Gloria La Riva,PSL,164,False
Florida,Brevard County, Write-ins,WRI,44,False
Florida,Broward County,Joe Biden,DEM,618752,True
Florida,Broward County,Donald Trump,REP,333409,False
Florida,Broward County,Jo Jorgensen,LIB,3114,False
Florida,Broward County,Howie Hawkins,GRN,1253,False
Florida,Broward County,Rocky De La Fuente,ALI,426,False
Florida,Broward County,Gloria La Riva,PSL,417,False
Florida,Broward County,Don Blankenship,CST,238,False
Florida,Broward County, Write-ins,WRI,63,False
Florida,Calhoun County,Donald Trump,REP,5274,True
Florida,Calhoun County,Joe Biden,DEM,1209,False
Florida,Calhoun County,Jo Jorgensen,LIB,29,False
Florida,Calhoun County,Rocky De La Fuente,ALI,4,False
Florida,Calhoun County,Howie Hawkins,GRN,4,False
Florida,Calhoun County,Gloria La Riva,PSL,4,False
Florida,Calhoun County,Don Blankenship,CST,2,False
Florida,Calhoun County, Write-ins,WRI,0,False
Florida,Charlotte County,Donald Trump,REP,73243,True
Florida,Charlotte County,Joe Biden,DEM,42273,False
Florida,Charlotte County,Jo Jorgensen,LIB,565,False
Florida,Charlotte County,Howie Hawkins,GRN,129,False
Florida,Charlotte County,Rocky De La Fuente,ALI,49,False
Florida,Charlotte County,Don Blankenship,CST,45,False
Florida,Charlotte County,Gloria La Riva,PSL,32,False
Florida,Charlotte County, Write-ins,WRI,4,False
Florida,Citrus County,Donald Trump,REP,65352,True
Florida,Citrus County,Joe Biden,DEM,27092,False
Florida,Citrus County,Jo Jorgensen,LIB,548,False
Florida,Citrus County,Howie Hawkins,GRN,86,False
Florida,Citrus County,Don Blankenship,CST,49,False
Florida,Citrus County,Rocky De La Fuente,ALI,42,False
Florida,Citrus County,Gloria La Riva,PSL,30,False
Florida,Citrus County, Write-ins,WRI,9,False
Florida,Clay County,Donald Trump,REP,84480,True
Florida,Clay County,Joe Biden,DEM,38317,False
Florida,Clay County,Jo Jorgensen,LIB,1286,False
Florida,Clay County,Howie Hawkins,GRN,153,False
Florida,Clay County,Don Blankenship,CST,57,False
Florida,Clay County,Gloria La Riva,PSL,55,False
Florida,Clay County,Rocky De La Fuente,ALI,45,False
Florida,Clay County, Write-ins,WRI,12,False
Florida,Collier County,Donald Trump,REP,128950,True
Florida,Collier County,Joe Biden,DEM,77621,False
Florida,Collier County,Jo Jorgensen,LIB,889,False
Florida,Collier County,Howie Hawkins,GRN,186,False
Florida,Collier County,Rocky De La Fuente,ALI,64,False
Florida,Collier County,Gloria La Riva,PSL,50,False
Florida,Collier County,Don Blankenship,CST,39,False
Florida,Collier County, Write-ins,WRI,19,False
Florida,Columbia County,Donald Trump,REP,23836,True
Florida,Columbia County,Joe Biden,DEM,8914,False
Florida,Columbia County,Jo Jorgensen,LIB,224,False
Florida,Columbia County,Howie Hawkins,GRN,28,False
Florida,Columbia County,Gloria La Riva,PSL,20,False
Florida,Columbia County,Rocky De La Fuente,ALI,12,False
Florida,Columbia County,Don Blankenship,CST,8,False
Florida,Columbia County, Write-ins,WRI,0,False
Florida,DeSoto County,Donald Trump,REP,8313,True
Florida,DeSoto County,Joe Biden,DEM,4259,False
Florida,DeSoto County,Jo Jorgensen,LIB,52,False
Florida,DeSoto County,Rocky De La Fuente,ALI,12,False
Florida,DeSoto County,Gloria La Riva,PSL,11,False
Florida,DeSoto County,Howie Hawkins,GRN,8,False
Florida,DeSoto County,Don Blankenship,CST,4,False
Florida,DeSoto County, Write-ins,WRI,0,False
Florida,Dixie County,Donald Trump,REP,6759,True
Florida,Dixie County,Joe Biden,DEM,1365,False
Florida,Dixie County,Jo Jorgensen,LIB,27,False
Florida,Dixie County,Rocky De La Fuente,ALI,5,False
Florida,Dixie County,Howie Hawkins,GRN,5,False
Florida,Dixie County,Don Blankenship,CST,4,False
Florida,Dixie County,Gloria La Riva,PSL,2,False
Florida,Duval County,Joe Biden,DEM,252556,True
Florida,Duval County,Donald Trump,REP,233762,False
Florida,Duval County,Jo Jorgensen,LIB,4788,False
Florida,Duval County,Howie Hawkins,GRN,772,False
Florida,Duval County,Gloria La Riva,PSL,328,False
Florida,Duval County,Rocky De La Fuente,ALI,319,False
Florida,Duval County,Don Blankenship,CST,218,False
Florida,Duval County, Write-ins,WRI,77,False
Florida,Escambia County,Donald Trump,REP,96674,True
Florida,Escambia County,Joe Biden,DEM,70929,False
Florida,Escambia County,Jo Jorgensen,LIB,2146,False
Florida,Escambia County,Howie Hawkins,GRN,256,False
Florida,Escambia County,Gloria La Riva,PSL,137,False
Florida,Escambia County,Rocky De La Fuente,ALI,105,False
Florida,Escambia County,Don Blankenship,CST,92,False
Florida,Escambia County, Write-ins,WRI,33,False
Florida,Flagler County,Donald Trump,REP,43043,True
Florida,Flagler County,Joe Biden,DEM,28161,False
Florida,Flagler County,Jo Jorgensen,LIB,359,False
Florida,Flagler County,Howie Hawkins,GRN,69,False
Florida,Flagler County,Rocky De La Fuente,ALI,30,False
Florida,Flagler County,Gloria La Riva,PSL,29,False
Florida,Flagler County,Don Blankenship,CST,20,False
Florida,Flagler County, Write-ins,WRI,5,False
Florida,Franklin County,Donald Trump,REP,4675,True
Florida,Franklin County,Joe Biden,DEM,2120,False
Florida,Franklin County,Jo Jorgensen,LIB,27,False
Florida,Franklin County,Howie Hawkins,GRN,12,False
Florida,Franklin County,Gloria La Riva,PSL,8,False
Florida,Franklin County,Rocky De La Fuente,ALI,4,False
Florida,Franklin County,Don Blankenship,CST,3,False
Florida,Gadsden County,Joe Biden,DEM,16153,True
Florida,Gadsden County,Donald Trump,REP,7465,False
Florida,Gadsden County,Jo Jorgensen,LIB,96,False
Florida,Gadsden County,Howie Hawkins,GRN,21,False
Florida,Gadsden County,Gloria La Riva,PSL,10,False
Florida,Gadsden County,Don Blankenship,CST,9,False
Florida,Gadsden County,Rocky De La Fuente,ALI,8,False
Florida,Gilchrist County,Donald Trump,REP,7895,True
Florida,Gilchrist County,Joe Biden,DEM,1700,False
Florida,Gilchrist County,Jo Jorgensen,LIB,61,False
Florida,Gilchrist County,Howie Hawkins,GRN,13,False
Florida,Gilchrist County,Rocky De La Fuente,ALI,6,False
Florida,Gilchrist County,Don Blankenship,CST,5,False
Florida,Gilchrist County, Write-ins,WRI,3,False
Florida,Gilchrist County,Gloria La Riva,PSL,2,False
Florida,Glades County,Donald Trump,REP,3782,True
Florida,Glades County,Joe Biden,DEM,1385,False
Florida,Glades County,Jo Jorgensen,LIB,21,False
Florida,Glades County,Howie Hawkins,GRN,4,False
Florida,Glades County,Gloria La Riva,PSL,1,False
Florida,Glades County,Don Blankenship,CST,0,False
Florida,Glades County,Rocky De La Fuente,ALI,0,False
Florida,Gulf County,Donald Trump,REP,6113,True
Florida,Gulf County,Joe Biden,DEM,1985,False
Florida,Gulf County,Jo Jorgensen,LIB,48,False
