state,state_code,date,cases,deaths
Alabama,AL,2020-01-22,0,0
Alabama,AL,2020-01-23,0,0
Alabama,AL,2020-01-24,0,0
Alabama,AL,2020-01-25,0,0
Alabama,AL,2020-01-26,0,0
Alabama,AL,2020-01-27,0,0
Alabama,AL,2020-01-28,0,0
Alabama,AL,2020-01-29,0,0
Alabama,AL,2020-01-30,0,0
Alabama,AL,2020-01-31,0,0
Alabama,AL,2020-02-01,0,0
Alabama,AL,2020-02-02,0,0
Alabama,AL,2020-02-03,0,0
Alabama,AL,2020-02-04,0,0
Alabama,AL,2020-02-05,0,0
Alabama,AL,2020-02-06,0,0
Alabama,AL,2020-02-07,0,0
Alabama,AL,2020-02-08,0,0
Alabama,AL,2020-02-09,0,0
Alabama,AL,2020-02-10,0,0
Alabama,AL,2020-02-11,0,0
Alabama,AL,2020-02-12,0,0
Alabama,AL,2020-02-13,0,0
Alabama,AL,2020-02-14,0,0
Alabama,AL,2020-02-15,0,0
Alabama,AL,2020-02-16,0,0
Alabama,AL,2020-02-17,0,0
Alabama,AL,2020-02-18,0,0
Alabama,AL,2020-02-19,0,0
Alabama,AL,2020-02-20,0,0
Alabama,AL,2020-02-21,0,0
Alabama,AL,2020-02-22,0,0
Alabama,AL,2020-02-23,0,0
Alabama,AL,2020-02-24,0,0
Alabama,AL,2020-02-25,0,0
Alabama,AL,2020-02-26,0,0
Alabama,AL,2020-02-27,0,0
Alabama,AL,2020-02-28,0,0
Alabama,AL,2020-02-29,0,0
Alabama,AL,2020-03-01,0,0
Alabama,AL,2020-03-02,0,0
Alabama,AL,2020-03-03,0,0
Alabama,AL,2020-03-04,0,0
Alabama,AL,2020-03-05,0,0
Alabama,AL,2020-03-06,0,0
Alabama,AL,2020-03-07,0,0
Alabama,AL,2020-03-08,0,0
Alabama,AL,2020-03-09,0,0
Alabama,AL,2020-03-10,0,0
Alabama,AL,2020-03-11,3,0
Alabama,AL,2020-03-12,4,0
Alabama,AL,2020-03-13,8,0
Alabama,AL,2020-03-14,15,0
Alabama,AL,2020-03-15,28,0
Alabama,AL,2020-03-16,36,0
Alabama,AL,2020-03-17,51,0
Alabama,AL,2020-03-18,61,0
Alabama,AL,2020-03-19,88,0
Alabama,AL,2020-03-20,115,0
Alabama,AL,2020-03-21,149,0
Alabama,AL,2020-03-22,180,0
Alabama,AL,2020-03-23,224,0
Alabama,AL,2020-03-24,298,0
Alabama,AL,2020-03-25,472,1
Alabama,AL,2020-03-26,574,1
Alabama,AL,2020-03-27,684,4
Alabama,AL,2020-03-28,801,4
Alabama,AL,2020-03-29,880,10
Alabama,AL,2020-03-30,1001,10
Alabama,AL,2020-03-31,1063,23
Alabama,AL,2020-04-01,1175,27
Alabama,AL,2020-04-02,1371,32
Alabama,AL,2020-04-03,1606,38
Alabama,AL,2020-04-04,1727,44
Alabama,AL,2020-04-05,1905,45
Alabama,AL,2020-04-06,2079,49
Alabama,AL,2020-04-07,2308,64
Alabama,AL,2020-04-08,2614,66
Alabama,AL,2020-04-09,2954,70
Alabama,AL,2020-04-10,3112,80
Alabama,AL,2020-04-11,3346,92
Alabama,AL,2020-04-12,3667,93
Alabama,AL,2020-04-13,3870,99
Alabama,AL,2020-04-14,4041,114
Alabama,AL,2020-04-15,4307,118
Alabama,AL,2020-04-16,4465,133
Alabama,AL,2020-04-17,4557,148
Alabama,AL,2020-04-18,4788,153
Alabama,AL,2020-04-19,4978,157
Alabama,AL,2020-04-20,5163,163
Alabama,AL,2020-04-21,5404,183
Alabama,AL,2020-04-22,5692,196
Alabama,AL,2020-04-23,5899,202
Alabama,AL,2020-04-24,6092,209
Alabama,AL,2020-04-25,6274,209
Alabama,AL,2020-04-26,6475,219
Alabama,AL,2020-04-27,6621,228
Alabama,AL,2020-04-28,6820,242
Alabama,AL,2020-04-29,6979,256
Alabama,AL,2020-04-30,7187,272
Alabama,AL,2020-05-01,7440,289
Alabama,AL,2020-05-02,7700,288
Alabama,AL,2020-05-03,7977,290
Alabama,AL,2020-05-04,8203,298
Alabama,AL,2020-05-05,8520,315
Alabama,AL,2020-05-06,8769,343
Alabama,AL,2020-05-07,9115,369
Alabama,AL,2020-05-08,9437,383
Alabama,AL,2020-05-09,9720,390
Alabama,AL,2020-05-10,9982,393
Alabama,AL,2020-05-11,10262,403
Alabama,AL,2020-05-12,10566,435
Alabama,AL,2020-05-13,10822,450
Alabama,AL,2020-05-14,11161,473
Alabama,AL,2020-05-15,11494,483
Alabama,AL,2020-05-16,11828,485
Alabama,AL,2020-05-17,12137,488
Alabama,AL,2020-05-18,12438,489
Alabama,AL,2020-05-19,12825,504
Alabama,AL,2020-05-20,13186,522
Alabama,AL,2020-05-21,13590,529
Alabama,AL,2020-05-22,13954,541
Alabama,AL,2020-05-23,14328,549
Alabama,AL,2020-05-24,14676,551
Alabama,AL,2020-05-25,15309,566
Alabama,AL,2020-05-26,15899,580
Alabama,AL,2020-05-27,16263,583
Alabama,AL,2020-05-28,16749,591
Alabama,AL,2020-05-29,17262,610
Alabama,AL,2020-05-30,17689,618
Alabama,AL,2020-05-31,18200,630
Alabama,AL,2020-06-01,18525,646
Alabama,AL,2020-06-02,18734,653
Alabama,AL,2020-06-03,18954,653
Alabama,AL,2020-06-04,19262,653
Alabama,AL,2020-06-05,19910,676
Alabama,AL,2020-06-06,20355,689
Alabama,AL,2020-06-07,20777,692
Alabama,AL,2020-06-08,21268,718
Alabama,AL,2020-06-09,21834,729
Alabama,AL,2020-06-10,22659,744
Alabama,AL,2020-06-11,23370,755
Alabama,AL,2020-06-12,24405,769
Alabama,AL,2020-06-13,25364,773
Alabama,AL,2020-06-14,26182,773
Alabama,AL,2020-06-15,26485,774
Alabama,AL,2020-06-16,27034,785
Alabama,AL,2020-06-17,27941,790
Alabama,AL,2020-06-18,28676,810
Alabama,AL,2020-06-19,29225,822
Alabama,AL,2020-06-20,29683,838
Alabama,AL,2020-06-21,30122,839
