,Unnamed: 0,B19013_001E,state,county,tract
0,0,132750,25,25,060501
1,1,12759,25,25,061101
2,2,84083,25,25,070101
3,3,28851,25,25,070402
4,4,52676,25,25,071101
5,5,53649,25,25,071201
6,6,60000,25,27,710400
7,7,103071,25,27,713100
8,8,79283,25,27,716100
9,9,68096,25,27,723100
10,10,92672,25,27,730902
11,11,25399,25,27,731400
12,12,35309,25,27,731600
13,13,82250,25,27,736100
14,14,93856,25,27,737300
15,15,91425,25,27,739300
16,16,63375,25,27,711000
17,17,97561,25,27,700100
18,18,78958,25,27,702200
19,19,72900,25,27,704200
20,20,98714,25,27,708100
21,21,18234,25,27,710700
22,22,73599,25,27,725100
23,23,80250,25,27,711100
24,24,107348,25,27,719100
25,25,89173,25,27,726100
26,26,66735,25,27,730200
27,27,55319,25,27,730300
28,28,41089,25,27,730500
29,29,20030,25,27,731800
30,30,56574,25,27,744300
31,31,29015,25,27,732500
32,32,95167,25,27,735200
33,33,81771,25,27,742300
34,34,71758,25,27,744400
35,35,70142,25,27,757400
36,36,71014,25,27,701100
37,37,50732,25,27,703300
38,38,44330,25,27,709400
39,39,50551,25,27,709600
40,40,37188,25,27,710800
41,41,68139,25,27,722100
42,42,103872,25,27,728400
43,43,80265,25,27,730600
44,44,31769,25,27,731900
45,45,19083,25,27,732001
46,46,57857,25,27,732202
47,47,32579,25,27,732700
48,48,73875,25,27,736300
49,49,84444,25,27,738100
50,50,126974,25,27,739500
51,51,112000,25,27,740200
52,52,124856,25,27,743100
53,53,80069,25,27,749200
54,54,71280,25,27,750100
55,55,59286,25,27,750300
56,56,40388,25,27,754200
57,57,60679,25,27,754400
58,58,72358,25,27,757500
59,59,-666666666,25,27,731202
60,60,89830,25,27,736200
61,61,84201,25,27,736400
62,62,76348,25,27,736500
63,63,118633,25,27,739400
64,64,95530,25,27,706100
65,65,68063,25,27,710300
66,66,71102,25,27,709100
67,67,43750,25,27,709202
68,68,62279,25,27,709702
69,69,54700,25,27,716200
70,70,54627,25,27,716300
71,71,56346,25,27,726200
72,72,108750,25,27,728100
73,73,77150,25,27,729200
74,74,53347,25,27,709701
75,75,80648,25,27,730100
76,76,65769,25,27,730700
77,77,82569,25,27,744200
78,78,74681,25,27,735100
79,79,36560,25,27,754300
80,80,79797,25,27,730802
81,81,104063,25,27,717100
82,82,43735,25,27,732600
83,83,72931,25,27,724100
84,84,40694,25,27,730401
85,85,64733,25,27,732002
86,86,94807,25,27,744101
87,87,84444,25,27,759100
88,88,34349,25,27,707200
89,89,52803,25,27,730402
