,url,file_name,ID,date,type,status,order,is_family,description
0,www.uscis.gov/sites/default/files/err/D12%20-%20Application%20for%20T%20Nonimmigrant%20Status/Decisions_Issued_in_2020/SEP172020_01D12101.pdf,SEP172020_01D12101.pdf,9044770,SEP172020,appeal,"Form I-914, Application for T Nonimmigrant Status",The appeal is dismissed.,False,"The Applicant seeks T-1 nonimmigrant classification as a victim of human trafficking under sections 101(a)(15)(T) and 214(0) of the Immigration and Nationality Act (the Act), 8 U.S.C. §§ 1101(a)(15)(T) and 1184(0). The Director of the Vermont Service Center denied the Form 1-914, Application for T Nonimmigrant Status (T application). On appeal, the Applicant submits a brief and previously submitted evidence, asserting her eligibility. We review the questions in this matter de nova. See Matter of Christa's Inc., 26 l&N Dec. 537, 537 n.2 (AAO 2015). Upon de nova review, we will dismiss the appeal."
1,www.uscis.gov/sites/default/files/err/D12%20-%20Application%20for%20T%20Nonimmigrant%20Status/Decisions_Issued_in_2020/SEP172020_02D12101.pdf,SEP172020_02D12101.pdf,6288405,SEP172020,appeal,"Form I-914, Application for T Nonimmigrant Status",The appeal is dismissed.,False,"The Applicant seeks T-1 nonimmigrant classification as a victim of human trafficking under sections 101(a)(15)(T) and 214(0) of the Immigration and Nationality Act (the Act), 8 U.S.C. §§ 1101(a)(15)(T) and 1184(0). The Director of the Vermont Service Center denied the Form 1-914, Application for T Nonimmigrant Status (T application). On appeal, the Applicant submits a brief and additional evidence, asserting his eligibility. We subsequently issued a notice of intent to dismiss (NOID), and the Applicant timely responded with additional evidence. We review the questions in this matter de nova. See Matter of Christa's Inc., 26 l&N Dec. 537, 537 n.2 (AAO 2015). Upon de nova review, we will dismiss the appeal."
2,www.uscis.gov/sites/default/files/err/D12%20-%20Application%20for%20T%20Nonimmigrant%20Status/Decisions_Issued_in_2020/SEP112020_01D12101.pdf,SEP112020_01D12101.pdf,6500174,SEP112020,appeal,"Form I-914, Application for Family Member of T-1 Recipient The Applicant seeks nonimmigrant classification of the Derivative as an eligible family member of a T-1 nonimmigrant under Immigration and Nationality Act (the Act) § 101(a)(15)(T)(ii), 8 U.S.C. § 1101(a)(15)(T)(ii). The Director of the Vermont Service Center denied the Form I-914 Supplement A, Application for Family Member of T-1 Recipient (derivative T application) and the matter is now before us on appeal. The appeal wi 11 be rejected. The Director denied the derivative T application filed on the Derivative's behalf because the Applicant's Form 1-914, Application for T Non immigrant Status",The appeal is rejected.,True,"The Applicant seeks nonimmigrant classification of the Derivative as an eligible family member of a T-1 nonimmigrant under Immigration and Nationality Act (the Act) § 101(a)(15)(T)(ii), 8 U.S.C. § 1101(a)(15)(T)(ii). The Director of the Vermont Service Center denied the Form 1-914 Supplement A, Application for Family Member of T-1 Recipient (derivative T application) and the matter is now before us on appeal. The appeal wi 11 be rejected. The Director denied the derivative T application filed on the Derivative's behalf because the Applicant's Form 1-914, Application for T Non immigrant Status, was denied. As a result of that denial, the Applicant was unable to establish that the Derivative was an eligible family member of a T-1 nonimmigrant, as per 8 C.F.R. § 214.ll(a). Although we have appellate jurisdiction over Form 1-914 Supplement A, the derivative of a visa application is not an affected party and may not file an appeal of his or her denied derivative T application. See 8 C.F.R. § 103.3(a)(l)(iii)(B). Only the applicant of a Form 1-914 Supplement A may ti le an appeal of the denial of the derivative T application. See id. If the derivative tiles the Form 1-290B, Notice of Appeal or Motion, the appeal must be rejected as improperly filed pursuant to 8 C.F.R. § 103.3(a)(2)(v)(A)(l). Here, the Form 1-290B appealing the Director's decision was signed by the Derivative. As noted, the Derivative is not an affected party to the application by regulation. Accordingly, the appeal was improperly filed and must be rejected. ORDER: The appeal is rejected."
3,www.uscis.gov/sites/default/files/err/D12%20-%20Application%20for%20T%20Nonimmigrant%20Status/Decisions_Issued_in_2020/SEP092020_02D12101.pdf,SEP092020_02D12101.pdf,6431583,SEP092020,appeal,"Form I-914, Application for Family Member of T-1 Recipient The Petitioner seeks nonimmigrant classification of the Derivative as an eligible family member of a T-1 nonimmigrant under Immigration and Nationality Act (the Act) § 101(a)(15)(T)(ii), 8 U.S.C. § 1101(a)(15)(T)(ii). The Director of the Vermont Service Center denied the Form I-914 Supplement A, Application for Family Member of T-1 Recipient (derivative T application) and the matter is now before us on appeal. The appeal wi 11 be rejected. The Director denied the derivative T application filed on the Derivative's behalf because the Applicant's Form 1-914, Application for T Non immigrant Status",The appeal is rejected.,True,"the Applicant's Form 1-914, Application for T Non immigrant Status, was denied. As a result of that denial, the Applicant was unable to establish that the Derivative was an eligible family member of a T-1 nonimmigrant, as per 8 C.F.R. § 214.ll(a). Although we have appellate jurisdiction over the Form 1-914 Supplement A, the derivative of a visa application is not an affected party and may not file an appeal of his or her denied derivative T application. See 8 C.F.R. § 103.3(a)(l)(iii)(B). Only the applicant of a Form 1-914 Supplement A may ti le an appeal of the denial of the derivative T application. See id. If the derivative tiles the Form 1-290B, Notice of Appeal or Motion, the appeal must be rejected as improperly filed pursuant to 8 C.F.R. § 103.3(a)(2)(v)(A)(l). Here, the Form 1-290B appealing the Director's decision was signed by the Derivative. As noted, the Derivative is not an affected party to the petition by regulation. Accordingly, the appeal was improperly filed and must be rejected. ORDER: The appeal is rejected."
4,www.uscis.gov/sites/default/files/err/D12%20-%20Application%20for%20T%20Nonimmigrant%20Status/Decisions_Issued_in_2020/SEP092020_01D12101.pdf,SEP092020_01D12101.pdf,6479121,SEP092020,appeal,"Form I-914, Application for T Nonimmigrant Status",The decision of the Director is withdrawn.,False,"The Applicant seeks T-1 nonimmigrant classification as a victim of human trafficking under sections 101(a)(15)(T) and 214(0) of the Immigration and Nationality Act (the Act), 8 U.S.C. §§ 1101(a)(15)(T) and 1184(0). The Director of the Vermont Service Center denied the Form 1-914, Application for T Nonimmigrant Status (T application), and the matter is now before us on appeal. Upon de nova review, we will remand the appeal."
5,www.uscis.gov/sites/default/files/err/D12%20-%20Application%20for%20T%20Nonimmigrant%20Status/Decisions_Issued_in_2020/AUG312020_01D12101.pdf,AUG312020_01D12101.pdf,6035057,AUG312020,appeal,"Form I-914, Applicant for T Nonimmigrant Status",The application is dismissed.,False,"The Applicant seeks T-1 nonimmigrant classification as a victim of human trafficking under sections 101(a)(15)(T) and 214(0) of the Immigration and Nationality Act (the Act), 8 U.S.C. §§ 1101(a)(15)(T) and 1184(0). The Director of the Vermont Service Center denied the Form 1-914, Application for T Nonimmigrant Status (T application), concluding that the record did not establish that the Applicant's physical presence in the United States is on account of trafficking. On appeal, the Applicant submits a brief asserting his eligibility. We review the questions in this matter de nova. See Matter of Christa's Inc., 26 l&N Dec. 537, 537 n.2 (AAO 2015). Upon de nova review, we will dismiss the appeal."
6,www.uscis.gov/sites/default/files/err/D12%20-%20Application%20for%20T%20Nonimmigrant%20Status/Decisions_Issued_in_2020/JUL302020_01D12101.pdf,JUL302020_01D12101.pdf,3113029,JUL302020,appeal,"Form I-914, Application for T Nonimmigrant Status",The appeal is dismissed.,False,"The Applicant seeks T-1 nonimmigrant classification as a victim of human trafficking under sections 101(a)(15)(T) and 214(0) of the Immigration and Nationality Act (the Act), 8 U.S.C. sections 1101(a)(15)(T) and 1184(0). The Director of the Vermont Service Center denied the Form 1-914, Application for T Nonimmigrant Status (T application), concluding that the record did not establish that the Applicant is a victim of a severe form of trafficking in persons and therefore did not establish that she is physically present in the United States on account of such trafficking. In addition, the Director concluded that the Applicant was inadmissible to the United States and the applicable ground of inadmissibility had not been waived. The Applicant thereafter filed this appeal and simultaneously filed a motion to reconsider and a second motion to reopen and reconsider with the Director, who dismissed the motions. 1 On appeal, the Applicant submits a brief, additional evidence, and copies of previously submitted evidence, asserting her eligibility. We review the questions in this matter de novo. See Matter of Christo 's Inc., 26 l&N Dec. 53 7, 53 7 n.2 (AAO 2015). Upon de novo review, we will dismiss the appeal."
7,www.uscis.gov/sites/default/files/err/D12%20-%20Application%20for%20T%20Nonimmigrant%20Status/Decisions_Issued_in_2020/JUL222020_01D12101.pdf,JUL222020_01D12101.pdf,9438173,JUL222020,motion,"Form I-914, Application for T Nonirnmigrant Status",The motion to reopen is dismissed.,False,"The Applicant seeks T-1 nonirnmigrant classification as a v1ct1m of human trafficking under Immigration and Nationality Act (the Act) sections 101(a)(15)(T) and 214(0), 8 U.S.C. §§ 1101(a)(l5)(T) and 1184(0). The Director of the Vermont Service Center denied the Form 1-914, Application for T Nonirnmigrant Status (T application), because the record established the Applicant's inadmissibility and his Form 1-192, Application for Advance Permission to Enter as a Nonirnmigrant (T waiver application), requesting a waiver of the grounds of inadmissibility, had been denied. We dismissed the Applicant's subsequent appeal and the matter is now before us on a combined motion to reopen and motion to reconsider. In these proceedings, it is the Applicant's burden to establish eligibility for the requested benefit by a preponderance of the evidence. Upon review, we will dismiss the motion to reopen and motion to reconsider."
8,www.uscis.gov/sites/default/files/err/D12%20-%20Application%20for%20T%20Nonimmigrant%20Status/Decisions_Issued_in_2020/JUL222020_03D12101.pdf,JUL222020_03D12101.pdf,6500168,JUL222020,motion,"Form I-914, Application for T Nonimmigrant Status",The motion to reopen is granted.,False,"The Applicant seeks T-1 nonimmigrant classification as a victim of human trafficking under Immigration and Nationality Act (the Act) sections 10l(a)(l5)(T) and 214(0), 8 U.S.C. §§ 1101(a)(15)(T) and 1184(0). The Director of the Vermont Service Center denied the Form 1-914, Application for T Nonimmigrant Status (T application), concluding that that the Applicant had not demonstrated that she was a victim of a severe form of trafficking in persons, is physically present in the United States on account of the claimed trafficking, and had complied with reasonable requests for assistance in the investigation or prosecution of the trafficking. 1 We dismissed the Applicant's subsequent appeal, and the matter is now before us on a combined motion to reopen and motion to reconsider. In these proceedings, it is the Applicant's burden to establish eligibility for the requested benefit. 8 C.F.R. § 214.l l(d)(5); Matter ofChawathe, 25 l&N Dec. 369, 375 (AAO 2010). Upon review, we will grant the motion to reopen and remand the matter to the Director for further proceedings. The motion to reconsider is moot."
9,www.uscis.gov/sites/default/files/err/D12%20-%20Application%20for%20T%20Nonimmigrant%20Status/Decisions_Issued_in_2020/JUL222020_02D12101.pdf,JUL222020_02D12101.pdf,5032762,JUL222020,appeal,"Form I-914, Application for T Nonimmigrant Status",The appeal is dismissed.,False,"The Applicant seeks T-1 nonimmigrant classification as a victim of human trafficking under Immigration and Nationality Act (the Act) sections 101(a)(15)(T) and 214(0), 8 U.S.C. §§ 1101(a)(15)(T) and 1184(0). The Director of the Vermont Service Center denied the Form 1-914, Application for T Nonimmigrant Status (T application), concluding that the Applicant did not establish that he was the victim of a severe form of trafficking in persons, is physically present in the United States on account of such trafficking, and would suffer extreme hardship if removed. On appeal, the Applicant submits a brief and reasserts his eligibility. In these proceedings, it is the Applicant's burden to establish eligibility for the requested benefit. Upon de nova review, we will dismiss the appeal."
