file_name,url,title,date,type,core_terms,citation,S-M-P,ID,aao citation,consel,order,decription
"In Re_ 04858374, 2020 Immig. Rptr. LEXIS 5900, OFFICE_ Motion on Administrative Appeals Office Decis.pdf",https://plus.lexis.com/api/document?collection=administrative-materials&id=urn:contentItem:5YWD-7R70-R03N-733K-00000-00&context=,2020 Immig. Rptr. LEXIS 5900,MAR42020,motion,"nonimmigrant, reconsideration motion, classification, immediate family member, file a motion, ineligible, section ",2020 Immig. Rptr. LEXIS 5900 *,False,,UNKNOWN,UNKNOWN,The motion to reconsider is dismissed,"The Applicant, who seeks T-1 nonimmigrant classification for herself, also seeks T nonimmigrant 
classification of the Derivative
1
 as an immediate family member of a person granted T-1 status under 
Immigration and Nationality Act (the Act) section 101(a)(15)(T)(ii), 
8 U.S.C. 

. The 
Director of the Vermont Service Center denied the Form I-914 Œ Supplement A, Application for 
Qualifying Family Member of a T-1 Nonimmigrant (T derivative application), concluding that 
because the Applicant™s Form I-914, 
Application for T Nonimmigrant Status
 (T application), had 
been denied, the Derivative was ineligible as the immediate family member of a T-1 nonimmigrant. We 
dismissed the Applicant™s appeal, and the matter is now before us on a motion to reconsider. Upon review, 
we will dismiss the motion to reconsider.
"
"In Re_ 05083923, 2020 Immig. Rptr. LEXIS 6247, OFFICE_ Appeal of Vermont Service Center Decision.pdf",https://plus.lexis.com/api/document?collection=administrative-materials&id=urn:contentItem:5YWD-7PB0-R03K-72PM-00000-00&context=,2020 Immig. Rptr. LEXIS 6247,JAN172020,appeal,"redact, was, traffic, older woman, has, agents, physical presence, sex act, inadmissibility, rape, severe form, clothing, journey, immigrate, coercion, nickname, cajitas, morning, arrive, clean, sex, material witness, nonimmigrant, underwear, sexually, induce, kill, raid ",2020 Immig. Rptr. LEXIS 6247 *,False,,UNKNOWN,UNKNOWN,The decision of the Director is withdrawn,"The Applicant seeks T-1 nonimmigrant classification as a victim of human trafficking under Immigration 
and Nationality Act (the Act) sections 101(a)(15)(T) and 214(o), 
8 U.S.C. 

 and 
1184(o)
. 
The Director of the Vermont Service Center denied the Form I-914, 
Application for T Nonimmigrant 
Status
 (T application), concluding that the record did not establish that the Applicant was the victim of a 
severe form of trafficking in persons and is physically present in the United States on account of such 
trafficking. The Director also concluded that the Applicant is inadmissible. In these proceedings, it is the 
Applicant™s burden to establish eligibility for the requested benefit by a preponderance of the evidence. 
8 
C.F.R. 

; 
Matter of Chawathe, 25 I&N Dec. 369, 375 (AAO 2010)
. Upon 
de novo
 review, we 
will remand the matter to the Director.
"
"In Re_ 05371816, 2020 Immig. Rptr. LEXIS 5913, OFFICE_ Motion on Administrative Appeals Office Decis.pdf",https://plus.lexis.com/api/document?collection=administrative-materials&id=urn:contentItem:5YWD-7R70-R03N-733S-00000-00&context=,2020 Immig. Rptr. LEXIS 5913,MAR42020,motion,"nonimmigrant, reconsideration motion, classification, immediate family member, ineligible, section ",2020 Immig. Rptr. LEXIS 5913 *,False,,UNKNOWN,UNKNOWN,The motion to reconsider is dismissed,"The Applicant, who seeks T-1 nonimmigrant classification for herself, also seeks T nonimmigrant 
classification of the Derivative as an immediate family member of a person granted T-1 status under 
Immigration and Nationality Act (the Act) section 101(a)(15)(T)(ii), 
8 U.S.C. 

. The 
Director of the Vermont Service Center denied the Form I-914 Œ Supplement A, Application for 
Qualifying Family Member of a T-1 Nonimmigrant (T derivative application), concluding that because 
the Applicant™s Form I-914, 
Application for T Nonimmigrant Status
 (T application), had been denied, 
the Derivative was ineligible as the immediate family member of a T-1 nonimmigrant. We dismissed the 
Applicant™s appeal, and the matter is now before us on a motion to reconsider. Upon review, we will 
dismiss the motion to reconsider.
"
"In Re_ 05372031, 2020 Immig. Rptr. LEXIS 5878, OFFICE_ Motion on Administrative Appeals Office Decis.pdf",https://plus.lexis.com/api/document?collection=administrative-materials&id=urn:contentItem:5YWD-7R70-R03N-7339-00000-00&context=,2020 Immig. Rptr. LEXIS 5878,MAR42020,motion,"traffic, was, reentry, has, physical presence, severe form, ambiguity, reenter, nonimmigrant, section, reconsideration motion, voluntary departure ",2020 Immig. Rptr. LEXIS 5878 *,False,,UNKNOWN,UNKNOWN,The motion to reconsider is dismissed,"the applicant is a victim of 
a new incident of a severe form of trafficking in persons; or (3) the applicant was allowed reentry for 
participation in investigative or judicial processes relating to an act or perpetrator of the trafficking.
"
"In Re_ 05624809, 2020 Immig. Rptr. LEXIS 5923, OFFICE_ Appeal of Vermont Service Center Decision.pdf",https://plus.lexis.com/api/document?collection=administrative-materials&id=urn:contentItem:5YWD-7R70-R03N-733X-00000-00&context=,2020 Immig. Rptr. LEXIS 5923,MAR42020,appeal,"was, traffic, involuntary servitude, smuggle, smuggler, has, severe form, transport, border, servitude, coercion, clean, nonimmigrant, peonage, shopping, arrive, harbor, forced labor, journey, slavery, serious harm, daughter, wait ",2020 Immig. Rptr. LEXIS 5923 *,False,,UNKNOWN,UNKNOWN,The appeal is dismissed,"The Applicant seeks T-1 nonimmigrant classification as a victim of human trafficking under Immigration 
and Nationality Act (the Act) sections 101(a)(15)(T) and 214(o), 
8 U.S.C. 

 and 
1184(o)
. 
The Director of the Vermont Service Center denied the Form I-914, 
Application for T Nonimmigrant 
Status
 (T application), concluding that the Applicant had not established that she was the victim of a 
severe form of trafficking in persons and is physically present in the United States on account of such 
trafficking. On appeal, the Applicant submits a brief and additional evidence and asserts that the 
Director™s decision was in error. The burden of proof is on an applicant to demonstrate eligibility by a 
preponderance of the evidence. 
8 C.F.R. 

; 
Matter of Chawathe, 25 I&N Dec. 369, 375 (AAO 
2010)
. An applicant may submit any credible, relevant evidence for us to consider in our 
de novo
 review; 
however, we determine, in our sole discretion, the value of that evidence. 
8 C.F.R. 

. Upon 
de novo
 review, we will dismiss the appeal.
"
"In Re_ 2920526, 2020 Immig. Rptr. LEXIS 10774, OFFICE_ Appeal of Vermont Service Center Decision.pdf",https://plus.lexis.com/api/document?collection=administrative-materials&id=urn:contentItem:6110-BGG0-R03K-14V3-00000-00&context=,2020 Immig. Rptr. LEXIS 10774,JUL12020,appeal,"traffic, physical presence, reentry, was, nonimmigrant, has ",2020 Immig. Rptr. LEXIS 10774 *,False,,UNKNOWN,UNKNOWN,The appeal is dismissed,"The Applicant seeks T-1 nonimmigrant classification as a victim of human trafficking under 
sections 
101(a)(15)(T)
 and 
214(o) of the Immigration and Nationality Act
 (the Act), 
8 U.S.C. 

 
and 
1184(o)
. The Director of the Vermont Service Center denied the Form I-914, 
Application for T 
Nonimmigrant Status
 (T application), concluding that the record did not establish that the Applicant was 
physically present in the United States on account of having been a victim of a severe form of trafficking 
in persons. On appeal, the Applicant submits a brief and additional evidence, asserting his eligibility.
"
"In Re_ 3113029, 2020 Immig. Rptr. LEXIS 10491, OFFICE_ Appeal of Vermont Service Center Decision.pdf",https://plus.lexis.com/api/document?collection=administrative-materials&id=urn:contentItem:6110-BHF0-R03N-X0FP-00000-00&context=,2020 Immig. Rptr. LEXIS 10491,JUL302020,appeal,"traffic, was, smuggler, smuggle, safe house, harbor, inadmissibility, border, transport, involuntary servitude, sexual, has, coercion, sex act, nonimmigrant, uncle, rape, sex, eligibility, servitude, journey, physical restraint, physical presence, sexual assault, severe form, patronize, solicit, induce, travel, clean ",2020 Immig. Rptr. LEXIS 10491 *,False,,UNKNOWN,UNKNOWN,The appeal is dismissed,"The Applicant seeks T-1 nonimmigrant classification as a victim of human trafficking under 
sections 
101(a)(15)(T)
 and 
214(o) of the Immigration and Nationality Act
 (the Act), 
8 U.S.C. sections 
1101(a)(15)(T)
 and 
1184(o)
. The Director of the Vermont Service Center denied the Form I-914, 
Application for T Nonimmigrant Status
 (T application), concluding that the record did not establish that 
the Applicant is a victim of a severe form of trafficking in persons and therefore did not establish that she 
is physically present in the United States on account of such trafficking. In addition, the Director 
concluded that the Applicant was inadmissible to the United States and the applicable ground of 
inadmissibility had not been waived. The Applicant thereafter filed this appeal and simultaneously filed a 
motion to reconsider and a second motion to reopen and reconsider with the Director, who dismissed the 
motions.
"
"In Re_ 3520564, 2020 Immig. Rptr. LEXIS 10274, OFFICE_ Appeal of Vermont Service Center Decision.pdf",https://plus.lexis.com/api/document?collection=administrative-materials&id=urn:contentItem:6110-BFX0-R03N-7484-00000-00&context=,2020 Immig. Rptr. LEXIS 10274,JUN22020,appeal,"traffic, was, inadmissibility, embassy, physical presence, passport, section, redact, ice, has, harbor, nonimmigrant, smuggle, servitude, transport, spouse, visa, involuntary servitude, severe form, bondage, agents, peonage, driver, waive, classification, eligibility, fraudulent, arrive, deport ",2020 Immig. Rptr. LEXIS 10274 *,False,,UNKNOWN,UNKNOWN,The appeal is dismissed,"The Applicant seeks T-1 nonimmigrant classification as a victim of human trafficking under 
sections 
101(a)(15)(T)
 and 
214(o) of the Immigration and Nationality Act
 (the Act), 
8 U.S.C. sections 
1101(a)(15)(T)
 and 
1184(o)
. The Director of the Vermont Service Center denied the Form I-914, 
Application for T Nonimmigrant Status
 (T application), concluding that the record did not establish that 
the Applicant is physically present in the United States on account of having been a victim of a severe 
form of trafficking in persons. In addition, the Director concluded that the Applicant was inadmissible to 
the United States and the applicable grounds of inadmissibility had not been waived. On appeal, the 
Applicant submits a brief, additional evidence, and copies of previously submitted evidence, and asserts 
her eligibility.
"
"In Re_ 3520564, 2020 Immig. Rptr. LEXIS 9051, OFFICE_ Appeal of Vermont Service Center Decision.pdf",https://plus.lexis.com/api/document?collection=administrative-materials&id=urn:contentItem:60H4-H7S0-R03J-W3J5-00000-00&context=,2020 Immig. Rptr. LEXIS 9051,JUN22020,appeal,"traffic, was, inadmissibility, embassy, passport, section, physical presence, redact, ice, has, harbor, nonimmigrant, smuggle, servitude, transport, spouse, visa, involuntary servitude, severe form, bondage, agents, peonage, driver, waive, classification, eligibility, fraudulent, arrive, deport ",2020 Immig. Rptr. LEXIS 9051 *,False,,UNKNOWN,UNKNOWN,The appeal is dismissed,"The Applicant seeks T-1 nonimmigrant classification as a victim of human trafficking under 
sections 
101(a)(15)(T)
 and 
214(o) of the Immigration and Nationality Act
 (the Act), 
8 U.S.C. sections 
1101(a)(15)(T)
 and 
1184(o)
. The Director of the Vermont Service Center denied the Form I-914, 
Application for T Nonimmigrant Status
 (T application), concluding that the record did not establish that 
the Applicant is physically present in the United States on account of having been a victim of a severe 
form of trafficking in persons. In addition, the Director concluded that the Applicant was inadmissible to 
the United States and the applicable grounds of inadmissibility had not been waived. On appeal, the 
Applicant submits a brief, additional evidence, and copies of previously submitted evidence, and asserts 
her eligibility.
"
"In Re_ 4831917, 2020 Immig. Rptr. LEXIS 5235, OFFICE_ Appeal of Vermont Service Center Decision.pdf",https://plus.lexis.com/api/document?collection=administrative-materials&id=urn:contentItem:5YWD-7MV0-R03M-X26K-00000-00&context=,2020 Immig. Rptr. LEXIS 5235,FEB182020,appeal,"traffic, was, smuggler, inadmissibility, nonimmigrant, severe form, food, sexually, section, night, sex, physical presence, eligibility, transport, harbor, induce, waive, sex act, classification, coercion, smuggle, border ",2020 Immig. Rptr. LEXIS 5235 *,False,,UNKNOWN,UNKNOWN,The decision of the Director is withdrawn,"The Applicant seeks T-1 nonimmigrant classification as a victim of human trafficking under 
sections 
101(a)(15)(T)
 and 
214(o) of the Immigration and Nationality Act
 (the Act), 
8 U.S.C. sections 
1101(a)(15)(T)
 and 
1184(o)
. The Director of the Vermont Service Center denied the Form I-914, 
Application for T Nonimmigrant Status
 (T application), concluding that the record did not establish that 
the Applicant was a victim of a severe form of trafficking in persons and therefore did not establish that 
he is physically present in the United States on account of such trafficking. In addition, the Director 
concluded that the Applicant was inadmissible to the United States and the applicable ground of 
inadmissibility had not been waived. On appeal, the Applicant submits a brief, asserting his eligibility.
"
