state,state_code,date,cases,positive,probableCases,negative,totalTestResults,death,hospitalized,total,positive_rate,positive_negative_ratio,positive_delta,negative_delta,totalTestResults_delta,death_delta,positive_rate_delta,positive_negative_ratio_delta
Alabama,AL,2020-06-25,33880,33206.0,453.0,336252.0,369005.0,896.0,2612.0,369458,8.998794054,9.875331597,1142.0,9557.0,10686.0,5.0,10.686880029945725,11.94935649262321
Alabama,AL,2020-06-26,34903,34183.0,466.0,344140.0,377857.0,907.0,2653.0,378323,9.046544062999999,9.932876155,977.0,7888.0,8852.0,11.0,11.03705377315861,12.385902636916835
Alabama,AL,2020-06-27,35083,35083.0,478.0,348943.0,384026.0,919.0,2697.0,384026,9.135579362,10.0540776,900.0,4803.0,6169.0,12.0,14.589074404279462,18.738288569643974
Alabama,AL,2020-06-28,36503,35441.0,477.0,350839.0,385803.0,919.0,2703.0,386280,9.18629456,10.10178458,358.0,1896.0,1777.0,0.0,20.14631401238042,18.88185654008439
Alabama,AL,2020-06-29,37589,37175.0,493.0,356118.0,392800.0,929.0,2725.0,393293,9.46410387,10.43895563,1734.0,5279.0,6997.0,10.0,24.782049449764184,32.84713013828377
Alabama,AL,2020-06-30,38477,38045.0,509.0,368607.0,406143.0,950.0,2769.0,406652,9.367390302999999,10.3212907,870.0,12489.0,13343.0,21.0,6.5202728022183924,6.966130194571223
Alabama,AL,2020-07-01,39647,38962.0,520.0,374991.0,413433.0,972.0,2803.0,413953,9.424017917999999,10.39011603,917.0,6384.0,7290.0,22.0,12.578875171467763,14.364035087719298
Alabama,AL,2020-07-02,41340,40111.0,507.0,379617.0,419221.0,985.0,2835.0,419728,9.567984427999999,10.56617591,1149.0,4626.0,5788.0,13.0,19.851416724257085,24.8378728923476
Alabama,AL,2020-07-03,42255,41865.0,503.0,388766.0,430128.0,1006.0,2883.0,430631,9.733149202,10.76868862,1754.0,9149.0,10907.0,21.0,16.081415604657558,19.171494152366378
Alabama,AL,2020-07-04,43216,42862.0,503.0,399226.0,441585.0,1007.0,2906.0,442088,9.706398542,10.73627469,997.0,10460.0,11457.0,1.0,8.702103517500218,9.531548757170171
Alabama,AL,2020-07-05,44022,43953.0,503.0,405933.0,449383.0,1007.0,2909.0,449886,9.78074382,10.8276489,1091.0,6707.0,7798.0,0.0,13.990766863298282,16.266587147756077
Alabama,AL,2020-07-06,44932,44878.0,503.0,410217.0,454592.0,1007.0,2914.0,455095,9.872149092,10.94006343,925.0,4284.0,5209.0,0.0,17.7577270109426,21.591970121381888
Alabama,AL,2020-07-07,46348,45785.0,522.0,415579.0,460842.0,1033.0,2961.0,461364,9.935075362000001,11.01715919,907.0,5362.0,6250.0,26.0,14.512,16.915330100708694
Alabama,AL,2020-07-08,48149,46962.0,538.0,421330.0,467754.0,1058.0,3006.0,468292,10.03989276,11.14613249,1177.0,5751.0,6912.0,25.0,17.02835648148148,20.4660059120153
Alabama,AL,2020-07-09,49695,49174.0,586.0,421330.0,467754.0,1068.0,3039.0,470504,10.51279091,11.67113664,2212.0,0.0,0.0,10.0,,
Alabama,AL,2020-07-10,51329,50508.0,616.0,441708.0,491600.0,1104.0,3089.0,492216,10.27420667,11.43470347,1334.0,20378.0,23846.0,36.0,5.594229640191227,6.5462753950338595
Alabama,AL,2020-07-11,52802,51947.0,653.0,450073.0,501367.0,1114.0,6745.0,502020,10.36107283,11.54190542,1439.0,8365.0,9767.0,10.0,14.733285553394083,17.202630005977287
Alabama,AL,2020-07-12,54781,53587.0,679.0,457919.0,510827.0,1121.0,6745.0,511506,10.49024425,11.70228796,1640.0,7846.0,9460.0,7.0,17.33615221987315,20.902370634718327
Alabama,AL,2020-07-13,56168,55545.0,777.0,464059.0,518827.0,1124.0,6745.0,519604,10.70588077,11.9693832,1958.0,6140.0,8000.0,3.0,24.474999999999998,31.88925081433225
Alabama,AL,2020-07-14,58284,57255.0,814.0,471834.0,528275.0,1164.0,7123.0,529089,10.83810515,12.13456427,1710.0,7775.0,9448.0,40.0,18.099068585944114,21.993569131832796
Alabama,AL,2020-07-15,60194,59067.0,842.0,481982.0,540207.0,1211.0,7291.0,541049,10.93414191,12.25502197,1812.0,10148.0,11932.0,47.0,15.186054307743882,17.855735120220732
Alabama,AL,2020-07-16,62128,61088.0,930.0,490021.0,550179.0,1230.0,7584.0,551109,11.10329547,12.4664045,2021.0,8039.0,9972.0,19.0,20.26674689129563,25.139942778952605
Alabama,AL,2020-07-17,64152,63091.0,980.0,500024.0,562135.0,1265.0,7584.0,563115,11.22346056,12.61759436,2003.0,10003.0,11956.0,35.0,16.75309468049515,20.023992802159352
Alabama,AL,2020-07-18,66181,65234.0,1054.0,509261.0,573441.0,1286.0,7782.0,574495,11.37588697,12.80954167,2143.0,9237.0,11306.0,21.0,18.954537413762605,23.200173216412253
Alabama,AL,2020-07-19,67733,67011.0,1146.0,518522.0,584387.0,1287.0,7782.0,585533,11.46688752,12.92346323,1777.0,9261.0,10946.0,1.0,16.23424081856386,19.187992657380413
Alabama,AL,2020-07-20,69236,68891.0,1180.0,524897.0,592608.0,1291.0,8368.0,593788,11.625054,13.12467017,1880.0,6375.0,8221.0,4.0,22.86826420143535,29.490196078431374
Alabama,AL,2020-07-21,70600,70358.0,1283.0,530023.0,599098.0,1303.0,8538.0,600381,11.74398846,13.27451828,1467.0,5126.0,6490.0,12.0,22.604006163328197,28.618806086617244
Alabama,AL,2020-07-22,72594,71813.0,1400.0,537675.0,608088.0,1364.0,8538.0,609488,11.80963939,13.35620961,1455.0,7652.0,8990.0,61.0,16.18464961067853,19.01463669628855
Alabama,AL,2020-07-23,74685,74212.0,1516.0,545315.0,618011.0,1397.0,8995.0,619527,12.0082005,13.60901497,2399.0,7640.0,9923.0,33.0,24.17615640431321,31.400523560209425
Alabama,AL,2020-07-24,76795,76005.0,1640.0,552979.0,627344.0,1438.0,9157.0,628984,12.11536254,13.74464491,1793.0,7664.0,9333.0,41.0,19.2114004071574,23.395093945720248
Alabama,AL,2020-07-25,78188,78130.0,1816.0,563481.0,639795.0,1456.0,9157.0,641611,12.21172407,13.86559618,2125.0,10502.0,12451.0,18.0,17.066902256846838,20.234241096933918
Alabama,AL,2020-07-26,79948,79294.0,1943.0,570392.0,647743.0,1473.0,9157.0,649686,12.24158347,13.90166763,1164.0,6911.0,7948.0,17.0,14.645193759436337,16.842714513095068
Alabama,AL,2020-07-27,81256,81115.0,1986.0,576844.0,655973.0,1491.0,9694.0,657959,12.36560041,14.06186075,1821.0,6452.0,8230.0,18.0,22.12636695018226,28.223806571605703
Alabama,AL,2020-07-28,82698,82366.0,2057.0,583033.0,663342.0,1491.0,9893.0,665399,12.41682269,14.12715918,1251.0,6189.0,7369.0,0.0,16.97652327317139,20.213281628696073
Alabama,AL,2020-07-29,84652,83782.0,2210.0,584493.0,666065.0,1538.0,9893.0,668275,12.57865223,14.33413232,1416.0,1460.0,2723.0,47.0,52.00146896804995,96.98630136986301
Alabama,AL,2020-07-30,86664,85762.0,2267.0,594346.0,677841.0,1565.0,10070.0,680108,12.65222965,14.42964199,1980.0,9853.0,11776.0,27.0,16.813858695652172,20.09540241550797
Alabama,AL,2020-07-31,88266,87723.0,2445.0,601744.0,687022.0,1580.0,10521.0,689467,12.76858674,14.57812625,1961.0,7398.0,9181.0,15.0,21.35932904912319,26.507164098404974
Alabama,AL,2020-08-01,90299,89349.0,2569.0,608022.0,694802.0,1603.0,10521.0,697371,12.85963483,14.69502748,1626.0,6278.0,7780.0,23.0,20.89974293059126,25.899968142720613
Alabama,AL,2020-08-02,91458,91444.0,2633.0,614626.0,703437.0,1627.0,10521.0,706070,12.99960053,14.87799084,2095.0,6604.0,8635.0,24.0,24.261725535610886,31.72319806178074
Alabama,AL,2020-08-03,92502,92661.0,2734.0,621390.0,711317.0,1633.0,10865.0,714051,13.02668149,14.91189108,1217.0,6764.0,7880.0,6.0,15.444162436548222,17.99231224127735
Alabama,AL,2020-08-04,93457,93702.0,2812.0,628599.0,719489.0,1666.0,11100.0,722301,13.02340967,14.90648251,1041.0,7209.0,8172.0,33.0,12.738619676945667,14.440282979608824
Alabama,AL,2020-08-05,95323,94654.0,2878.0,632806.0,724582.0,1695.0,11100.0,727460,13.06325578,14.95782278,952.0,4207.0,5093.0,29.0,18.6923227959945,22.628951747088184
Alabama,AL,2020-08-06,97044,96592.0,3190.0,643192.0,736594.0,1714.0,11313.0,739784,13.11332973,15.01759972,1938.0,10386.0,12012.0,19.0,16.133866133866135,18.659734257654534
Alabama,AL,2020-08-07,98895,98301.0,3474.0,651115.0,745942.0,1735.0,11537.0,749416,13.17810232,15.09733304,1709.0,7923.0,9348.0,21.0,18.28198545143346,21.570112331187683
