Census Tract#,Zipcode,Neighborhood,US Geonames Sub-neigborhood,Total Population, Black,Black Proportion,White,White Proportion,American Indian & Alaska Native,American Indian & Alaska Native Proportion,Asian,Asian Proportion,Male ,Male Proportion,Female ,Female Proportion ,Lat,Long,Primary Sub-Neighborhood,Secondary Sub-Neighborhood,Teritriary Sub-Neighborhood(s),T-Stop/Commuter Rail
1,"02134, 02135",Brighton,,"5,324",311,5.84%,"3,315",62.27%,0,0.00%,"1,224",22.99%,"2,578",48.42%,"2,746",51.58%,42.3614845,-71.1385879,Lower Allston,Allston,Packard's Corner,Boston Landing
2.01,02135,Brighton,,"3,991",237,5.94%,"3,164",79.28%,17,0.43%,404,10.12%,"1,800",45.10%,"2,191",54.90%,42.3540662,-71.1611678,Oak Square,Brighton,Hunnewell Hill,
2.02,02135,Brighton,,"4,272",263,6.16%,"3,031",70.95%,0,0.00%,421,9.85%,"2,175",50.91%,"2,097",49.09%,42.3526051,-71.1543443,Oak Square,Brighton,Allston,
3.01,02135,Brighton,,"2,946",216,7.33%,"2,203",74.78%,0,0.00%,290,9.84%,"1,650",56.01%,"1,296",43.99%,42.3541442,-71.1688266,Hunnwell Hill,Oak Square,,
3.02,02135,Brighton,,"3,469",359,10.35%,"2,346",67.63%,25,0.72%,466,13.43%,"1,733",49.96%,"1,736",50.04%,42.3472584,-71.1676863,Brighton,St. Elizabeth's,,
4.01,02135,Brighton,Aberdeen,"5,691",137,2.41%,"4,404",77.39%,34,0.60%,"1,179",20.72%,"2,669",46.90%,"3,022",53.10%,42.3438495,-71.1492929,St. Elizabeth's,Oak Square,Corey Hill,Sutherland Road/Chiswick Road/Chestnut Hill Avenue
4.02,02135,Brighton,Brighton,"3,494",150,4.29%,"2,868",82.08%,0,0.00%,584,16.71%,"1,806",51.69%,"1,688",48.31%,42.3441742,-71.1588288,St. Elizabeth's,Brighton,Aberdeen/Oak Square,South Street
5.02,"02135, 02467",Brighton,,"5,796",155,2.67%,"4,917",84.83%,12,0.21%,706,12.18%,"2,574",44.41%,"3,222",55.59%,42.3315048,-71.1574973,Chestnut Hill Neighborhood Association,Fisher Hill,,Chestnut Hill Ave/ Reservoir/Cleveland Circle
5.03,02135,Brighton,,"2,007",77,3.84%,"1,633",81.37%,109,5.43%,356,17.74%,"1,002",49.93%,"1,005",50.07%,42.339636,-71.1500992,Aberdeen,Salisbury Road-Corey Farm,Corey Hill,Sutherland Road/Chiswick Road/Chestnut Hill Avenue
5.04,02135,Brighton,,"4,951",206,4.16%,"3,886",78.49%,125,2.52%,883,17.83%,"2,410",48.68%,"2,541",51.32%,42.3414718,-71.1438264,Salisbury Road-Corey Farm,Aberdeen,,Sutherland Road/Washington Street
6.01,"02134, 02135",Brighton,,"3,996",183,4.58%,"2,942",73.62%,36,0.90%,701,17.54%,"2,174",54.40%,"1,822",45.60%,42.350982,-71.1457225,Oak Square,Allston,Aberdeen,Warren Street
6.02,"02134, 02135",Brighton,,"3,935",279,7.09%,"2,177",55.32%,46,1.17%,938,23.84%,"1,667",42.36%,"2,268",57.64%,42.3492514,-71.142457,Allston,Aberdeen,Packard's Corner,Warren Street
7.01,"02134, 02135",Brighton,,"4,797",341,7.11%,"3,534",73.67%,69,1.44%,885,18.45%,"2,410",50.24%,"2,387",49.76%,42.3469581,-71.1379847,Salisbury Road-Corey Farm,Corey Hill,Packard's Corner,Allston Street/Warren Street
7.03,"02134, 02215",Allston,,"1,963",102,5.20%,"1,136",57.87%,0,0.00%,708,36.07%,986,50.23%,977,49.77%,42.351329,-71.1282159,Allston,,,Babcock Street
7.04,02134,Allston,,"4,906",399,8.13%,"2,654",54.10%,21,0.43%,"1,575",32.10%,"2,456",50.06%,"2,450",49.94%,42.3500029,-71.1334045,Allston,,,Allston Street
8.02,"02134, 02215",Allston,Allston / North Brighton,"6,658",285,4.28%,"4,195",63.01%,52,0.78%,"1,551",23.30%,"3,551",53.33%,"3,107",46.67%,42.3568717,-71.1297576,Allston,Lower Alston,Packard's Corner,Packard's Corner
8.03,"02134, 02163, 02215",Allston,,"6,100",494,8.10%,"4,218",69.15%,8,0.13%,"1,411",23.13%,"2,584",42.36%,"3,516",57.64%,42.3594775,-71.1212626,Lower Allston,Cambridgeport,,
