Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,Full Address,Location,Point,Latitude,Longitude,Altitude
1289461,"December 31, 2018",Massachusetts,Boston,1439 Dorchester Ave,0,1,,"1439 Dorchester Ave,Boston,Massachusetts","1439, Dorchester Avenue, Fields Corner, Dorchester, Boston, Suffolk County, Massachusetts, 02122, United States of America","(42.30174552552147, -71.05985624867826, 0.0)",42.30174552552147,-71.05985624867826,0.0
1288350,"December 30, 2018",Massachusetts,Boston,Centre St and Wainwright St,0,1,,"Centre St and Wainwright St,Boston,Massachusetts","Wainwright Street, Dorchester Center, Dorchester, Boston, Suffolk County, Massachusetts, 01210, United States of America","(42.290023, -71.066874, 0.0)",42.290023,-71.066874,0.0
1286571,"December 28, 2018",Massachusetts,Boston,Parkman St and Dorchester Ave,0,0,,"Parkman St and Dorchester Ave,Boston,Massachusetts","Parkman Street, Fields Corner, Dorchester, Boston, Suffolk County, Massachusetts, 02122, United States of America","(42.297276, -71.056659, 0.0)",42.297276,-71.056659,0.0
1287817,"December 28, 2018",Massachusetts,Boston,67 Ceylon St,0,0,,"67 Ceylon St,Boston,Massachusetts","67, Ceylon Street, Grove Hall, Dorchester, Boston, Suffolk County, Massachusetts, 02121, United States of America","(42.310843250000005, -71.07286859437781, 0.0)",42.310843250000005,-71.07286859437781,0.0
1287629,"December 27, 2018",Massachusetts,Boston,782 Dorchester Ave,0,0,,"782 Dorchester Ave,Boston,Massachusetts","782, Dorchester Avenue, Uphams Corner, South Boston, Boston, Suffolk County, Massachusetts, 02125, United States of America","(42.323691956521735, -71.05671747826086, 0.0)",42.323691956521735,-71.05671747826086,0.0
1285813,"December 27, 2018",Massachusetts,Boston,7 Dyer St,1,2,,"7 Dyer St,Boston,Massachusetts","7, Dyer Street, Ashmont, Dorchester, Boston, Suffolk County, Massachusetts, 02124, United States of America","(42.2832324, -71.08015766361541, 0.0)",42.2832324,-71.08015766361541,0.0
1286544,"December 27, 2018",Massachusetts,Boston,1575 Blue Hill Ave,0,0,,"1575 Blue Hill Ave,Boston,Massachusetts","Mattapan Community Health Center, 1575, Blue Hill Avenue, Mattapan, Boston, Suffolk County, Massachusetts, 02126, United States of America","(42.2698727, -71.0940406, 0.0)",42.2698727,-71.0940406,0.0
1286564,"December 26, 2018",Massachusetts,Boston,90 Ames St,0,0,,"90 Ames St,Boston,Massachusetts","90, Ames Street, Franklin Field Apartments, Dorchester, Boston, Suffolk County, Massachusetts, 02124, United States of America","(42.28972746403402, -71.0844048339317, 0.0)",42.28972746403402,-71.0844048339317,0.0
1284232,"December 24, 2018",Massachusetts,Boston,2 Garfield Ave,0,1,,"2 Garfield Ave,Boston,Massachusetts","2;4, Garfield Avenue, Hyde Park, Boston, Suffolk County, Massachusetts, 02136, United States of America","(42.24883, -71.12308453616708, 0.0)",42.24883,-71.12308453616708,0.0
1283222,"December 23, 2018",Massachusetts,Boston,Washington St,0,1,,"Washington St,Boston,Massachusetts","Washington Street, Commonwealth Avenue, Aberdeen, Allston, Boston, Suffolk County, Massachusetts, 02134, United States of America","(42.3440492, -71.1426244, 0.0)",42.3440492,-71.1426244,0.0
1283166,"December 22, 2018",Massachusetts,Boston,41 Blue Hill Ave,0,0,,"41 Blue Hill Ave,Boston,Massachusetts","Blue Hill Avenue, Mattapan, Dorchester, Boston, Suffolk County, Massachusetts, 02126, United States of America","(42.271695, -71.093735, 0.0)",42.271695,-71.093735,0.0
1283228,"December 21, 2018",Massachusetts,Boston,Bernard St,0,0,,"Bernard St,Boston,Massachusetts","Bernard Street, Dorchester Center, Dorchester, Boston, Suffolk County, Massachusetts, 02124, United States of America","(42.2944559, -71.0802615, 0.0)",42.2944559,-71.0802615,0.0
1283226,"December 21, 2018",Massachusetts,Boston,457 Old Colony Ave,0,1,,"457 Old Colony Ave,Boston,Massachusetts","457, Old Colony Avenue, Uphams Corner, South Boston, Boston, Suffolk County, Massachusetts, 02127, United States of America","(42.32247538888889, -71.05239758333335, 0.0)",42.32247538888889,-71.05239758333335,0.0
