company_name,services_provided,mbe_wbe_cert,small_local_cert,veteran_cert,sdo_cert,has_bais_id,address,city,state,zipcode,contact_name,contact_title,phone,fax,email,business_type,construction,year_established,number_employees,business_area_1,business_area_2,business_area_3,naics_1,naics_2,naics_3
"212/Harakawa, Inc.","Graphic design services; designing ""way finding"" signage   ",MWBE,,,false,false,236 W 27th Street New York NY 10001,New York,NY,10001,Ms. Ann Harakawa,Principal,(212) 254-6670,(212) 254-6614,spariag@twotwelve.com,Profit,false,1990,21-40,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,541430 - Graphic Design Services,,
"3 South, LLC","First responder equipment, services, solutions   ",WBE,SBE,,false,true,3175 Conway Drive Baton Rouge LA 70809,Baton Rouge,LA,70809,Ms. Charlotte Johnston,Owner,(504) 858-1955,(504) 324-0969,charlotte@3southcompanies.com,Profit,false,2011,Under 10,SA - Safety Products,TA - Training (see also ED),SU - Suppliers,423840 - Industrial Supplies Merchant Wholesalers,423990 - Other Miscellaneous Durable Goods Merchant Wholesalers ,"541990 - All Other Professional, Scientific, and Technical Services"
"617 Home Improvement, Inc.",Home Improvement Company   ,WBE,SBE,,false,false,20 Boston Street Malden MA 02148,Malden,MA,02148,Ms. Kristina Filozova,President,(617) 659-1449,,617homeimprovement@gmail.com,Profit,true,2017,Under 10,CA - Carpentry,"FL - Floor Contractors (Carpet, Tile, Linoleum)",,236118 - Residential Remodelers ,236220 - Commercial and Institutional Building Construction ,236210 - Industrial Building Construction 
"813 Consultants, LLC","Low overhead staffing, payroll, and consulting services   ",WBE,SLBE,,true,false,10 Coniston Road Roslindale MA 02131,Roslindale,MA,02131,Ms. Kristen Harrington,President,(617) 435-9123,,813consultants@gmail.com,Profit,false,2015,Under 10,"OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)","EM - Employement (see also OS, TR)",,561320 - Temporary Help Services,541214 - Payroll Services ,561110 - Office Administrative Services
84 Lumber Company,Building materials and supplies; home center   ,WBE,,,true,false,1019 Route 519 Eighty Four PA 15330,Eighty Four,PA,15330,Ms. Margaret Magerko,President/CEO,(724) 223-8400,(866) 358-2961,deja.glemba@84lumber.biz,Profit,true,1956,Over 100,SU - Suppliers,,,444110 - Home Centers ,444190 - Other Building Material Dealers ,
"A & A Metro Transportation/Bills Taxi Service, Inc.",Transportation services   ,,SBE,,false,true,1001 Bedford Street Bridgewater MA 02346,Bridgewater,MA,02346,Mr. Thomas Arrighi,,(508) 697-0017,(508) 697-0043,tarrighi@aametro.com,Profit,false,,41-100,"TR - Travel, Transportation (Travel Agencies, Planning, Limo Services)",,,485310 - Taxi Service ,,
"A B C Maintenance of Boston, Inc.",Janitorial services; commercial and residential   ,MBE,SLBE,,true,false,328 Gallivan Boulevard Dorchester MA 02124,Dorchester,MA,02124,Mr. John Thi,Owner,(617) 298-3093,(617) 698-0901,,Profit,false,1983,21-40,"JA - Janitorial Services/Supplies (see also MA, RS)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",,,,
ABC Specialtees,Custom apparel embroidery and screenprinting; promotional items; awards; gifts; banners   ,WBE,SBE,,false,true,525 Washington Street Whitman MA 02382,Whitman,MA,02382,Ms. Barbara Sheldon,Owner,(781) 447-1532,,deb@abcspecialtees.com,Profit,false,1995,Under 10,AL - Apparel,PT - Printers,RT - Retail Sales of Art & Framing,541430 - Graphic Design Services,314999 - All Other Miscellaneous Textile Product Mills ,453998 - All Other Miscellaneous Store Retailers (except Tobacco Stores) 
Abel Floor Covering,"Carpet, ceramic tile, V.C.T. linoleum, etc.   ",MBE,,,false,true,410 Neponset Avenue Dorchester MA 02122,Dorchester,MA,02122,Mr. Abel Matos,Owner,(617) 288-0103,(617) 288-8012,abelfloor@verizon.net,Profit,true,1989,Under 10,"FL - Floor Contractors (Carpet, Tile, Linoleum)",RT - Retail Sales of Art & Framing,,238330 - Flooring Contractors,,
"A Better Resolution, Inc.",Audio/visual production; multimedia production   ,MBE,SLBE,,false,false,1313 Washington Street Boston MA 02118,Boston,MA,02118,Mr. Francis Miranda,President,(617) 338-2022,(617) 507-5863,frank@abetterresolution.com,Profit,false,1997,Under 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,ET - Entertainment/Entertainer,,532490 - Other Commercial and Industrial Machinery and Equipment Rental and Leasing ,512110 - Motion Picture and Video Production ,
"Above and Beyond Catering, Inc.",Catering and event planning   ,MBE,SLBE,,false,true,42 Plympton Street Boston MA 02118,Boston,MA,02118,Mr. Mark A Haley,Owner,(617) 426-5999,(617) 422-0758,mark@aboveabc.com,Profit,false,1997,41-100,CT - Catering,,,722320 - Caterers,561499 - All Other Business Support Services ,
"Accent Banner, LLC","Fabricator of banners, flags and soft signage   ",WBE,SBE,,false,true,12 Locust Street Medford MA 02155,Medford,MA,02155,Ms. Alice Dietrich,,(781) 391-7300,,,Profit,false,,10-20,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,"FB - Fabricators (Metals, Plastics)",,453998 - All Other Miscellaneous Store Retailers (except Tobacco Stores) ,314999 - All Other Miscellaneous Textile Product Mills ,238990 - All Other Specialty Trade Contractors
A.C.P. Facility Services,"Commercial contract cleaning, windows, floors and carpet   ",MBE,,,true,false,12 Gill Street Woburn MA 01801,Woburn,MA,01801,Mr. Michael White,COO,(781) 932-0500,(781) 932-0589,info@acpcleaning.com,Profit,false,1986,Over 100,"JA - Janitorial Services/Supplies (see also MA, RS)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",,,,
"A.C.S. Mechanical, LLC",Sheetmetal contractor   ,MBE,SLBE,,false,false,300 Washington Street Dorchester MA 02121,Dorchester,MA,02121,Mr. Gary Lynch,Owner,(781) 308-1151,(617) 963-7142,acsmechanical@hotmail.com,Profit,true,2012,Under 10,"ME - Mechanical Contractors (HVAC, Plumbing, Insulation, Service, see also GC, PB)",,,"238220 - Plumbing, Heating, and Air-Conditioning Contractors ",238990 - All Other Specialty Trade Contractors,
Advanced Architectural Metal Specialties,"Fabrication and installation of stairs, rails and miscellaneousmetals for commercial construction projects; also specialize in structural pile fabrication   ",WBE,SBE,,true,false,P.O. Box 930 North Dighton MA 01764,North Dighton,MA,01764,Ms. Diane W Johanson,President,(508) 824-8333,(508) 824-5562,dianejohanson@aol.com,Profit,false,1997,Under 10,"FB - Fabricators (Metals, Plastics)",WE - Welding (see also FB),"ST - Steel Contractos (Reinforcing, Erecting, see also FB, GC)",332323 - Ornamental and Architectural Metal Work Manufacturing ,,
Advanced Pest Control Services,Pest control services   ,MBE,SBE,,true,false,PO Box 172 North Quincy MA 02171,North Quincy,MA,02171,Ms. Martin Meyers,Owner,(617) 859-7077,,apcs34@yahoo.com,Profit,false,1988,Under 10,PE - Pest Control,,,561710 - Exterminating and Pest Control Services,,
Advertising Business Concepts,"Advertising specialties; printing of forms, envelopes, and letterhead; print (screen) sportswear   ",MBE,SLBE,,false,true,8 Dennison Street Roxbury MA 02119,Roxbury,MA,02119,Mr. Carlton D Smith,Owner,(617) 445-6171,(617) 445-4601,abconcepts1@verizon.net,Profit,false,1990,Under 10,PT - Printers,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,AL - Apparel,,,
"Advoqt, LLC",Technology consulting; sales of tech services; systems integration   ,MBE,SLBE,,true,true,10 Guest Street Boston MA 02135,Boston,MA,02135,Mr. Reinier Moquete,Owner,(617) 835-4525,,rm@advocatetg.com,Profit,false,2012,10-20,"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",COS - Consultants: Systems Analysis,,541511 - Custom Computer Programming Services ,541512 - Computer Systems Design Services ,541519 - Other Computer Related Services
Affordable Building Solutions LLC,"Asbestos abatement; selective demolition; microbial remediation; water/fire damage restoration; janitorial services, residential and commercial   ",MWBE,SBE,,true,false,60 Easton Street Lawrence MA 01843,Lawrence,MA,01843,Ms. Delsy Orellana,Owner,(617) 633-1269,,abuildingsolutions@gmail.com,Profit,true,2013,Over 100,AB - Aspestos Control,"JA - Janitorial Services/Supplies (see also MA, RS)",,562910 - Remediation Services ,561720 - Janitorial Services ,238990 - All Other Specialty Trade Contractors
"Affordable Construction, Inc.","Provide complete construction, including tiles, marble, painting, etc.   ",MBE,SLBE,,false,true,10 Mercier Avenue Dorchester MA 02124,Dorchester,MA,02124,Mr. Richard Prosper,,(617) 799-4868,(617) 929-4436,rprosper26@comcast.net,Profit,true,1991,Under 10,PA - Painting and Papering Contractors,CM - Concrete & Masonry Contractors,GC - General Contractors,238320 - Painting and Wall Covering Contractors,238340 - Tile and Terrazzo Contractors,238390 - Other Building Finishing Contractors
"Air Water Energy Engineers, Inc.","Mechanical, electrical, plumbing and fire protection engineering; energy modeling; and geothermal engineering   ",MBE,SBE,,true,false,78 Blanchard Road Burlington MA 01803,Burlington,MA,01803,Mr. George Hu,President,(781) 652-8688,(781) 652-8689,george.hu@awe-e.com,Profit,true,2007,Under 10,"ME - Mechanical Contractors (HVAC, Plumbing, Insulation, Service, see also GC, PB)",AE - Architects/Engineers,,"238220 - Plumbing, Heating, and Air-Conditioning Contractors ",541330 - Engineering Services,
