"license_num","historicallicensenum","status","license_type","issued","expires","business_name","dba_name","comments","location_comments","opening","closing","patronsout","capacity","applicant","manager","day_phone","evening_phone","address","city","state","zip","gpsx","gpsy"
LB-418523,,Active,Retail Malt Wine,2020-07-30,2020-12-31,OLKA Corporation,"7-Eleven",NO SINGLES,"Single floor convenience store approx 3,540 square feet.",,"11:00 PM","11:30 PM",0.00, OLKA Corporation, Oltion Kadilli,(617)426-2746,,"55    Berkeley ST",Boston,MA,"02116",772278.999994948,2951600.00000878
LB-427987,,Active,Retail Malt Wine,2020-07-30,2020-12-31,"The Daily Market, LLC","The Daily Market, LLC",,"The premises includes a portion of the basement (650SF), specifically three rooms consisting of back-of-the-house storage space (walk in cooler, walk in freezer, and kitchen and preparation area), and the entirety of the commercial habitable space on the first floor (3,215SF), specifically front of",,"9:00 PM",,0.00," The Daily Market, LLC", John C. McDonough,,,"104   Savin Hill Av",Dorchester,MA,"02125",776838.376864081,2939016.18575034
LB-423824,,Active,Retail Malt Wine,2020-05-19,2020-12-31,"Verc Enterprises, LLC",Verc Allston Gulf,NO SINGLES,,,"11:00 PM",,0.00," Verc Enterprises, LLC", Nekita T. Martin,(617)782-1224,,"198   Western AVE",Allston,MA,"02134",756044.79395329,2957523.57452543
LB-410009,,Active,CV7 All Alc. Airp.,2020-03-04,2020-12-31,"SSP America BOS, LLC",Wahlburgers,," 3,033 sq. ft. restaurant located within Terminal C of Logan International Airport. One story with a kitchen and dining area. Dining area is 2,254 sq. ft. and kitchen is 779 sq. ft. 1 entrance 1 exit.",,"9:00 PM","9:30 PM",100.00," SSP America BOS, LLC", Jacqueline Genao,(781)808-8354,,      Logan Airport 300 Terminal C  ,East Boston,MA,"02128",0.0,0.0
LB-423834,,Active,BYOB Bring Your Own Bottle,2020-02-20,2020-12-31,"Food For Thought, LLC",Food For Thought Test Kitchen,<STRONG><FONT size=5></FONT></STRONG>,"One floor, one room, one bathroom, a divided but open kitchen, and dining room space.","7:00 AM","12:00 AM","12:30 AM",40.00," Food For Thought, LLC",Jan Grey,(617)567-0058,,"567    Bennington ST",Boston,MA,"02128",786350.973003513,2964776.80422386
LB-418633,,Active,Retail Malt Wine,2020-02-12,2020-12-31,"Shree Kano, Inc.",Jamie's Variety,No singles,On first floor of building; sales area with cooler (+/- 826 SF); basement for storage (+/- 582 SF).,,"11:00 PM",,0.00," Shree Kano, Inc.", Indravadan Patel,,,"113    H ST",South Boston,MA,"02127",780086.00000222,2947050.00000454
LB-414876,,Active,CV7 All Alc. Airp.,2020-02-11,2020-12-31,"Delaware North Boston Flight, LLC",B Good Burger,,"Restaurant concept in Terminal A, Space AM2-A09/25. On one floor in one room. Total square footage 1,357. Total seating is 22 seats, which are all table seating.",,"2:00 AM","2:30 AM",32.00," Delaware North Boston Flight, LLC", Mark V. Clemency,,,"100     Terminal RD",East Boston,MA,"02128",785396.803968415,2958229.8427222
LB-397020,,Active,CV7 Malt Wine Liq. Restrict.,2020-01-15,2020-12-31,"50 Kitchen, LLC","50 Kitchen","11 00 AM 10 PM Monday through Saturday AM PM on Sunday","850 square foot restaurant with 1 entrance and 2 exits. Kitchen and dining rooms with basement storage; 18 seats. ",,"10:00 PM","10:30 PM",14.00," 50 Kitchen, LLC",Anthony Caldwell,(617)599-8383,,"1450    Dorchester AVE",Boston,MA,"02122",775264.732519943,2935077.92968064
LB-419273,,Active,CV7 All Alc.,2020-01-07,2020-12-31,KJ's Irish Pub,KJ's,Bottle service only with Board BPD approval,In whole of said triple-decker building.,,"24 Hours",,10000.00, KJ's Irish Pub,Kathleen Joyce,,,"15  N Munroe TER",Dorchester,MA,"02122",777349.961471677,2932091.03090261
LB-408105,,Active,CV7 All Alc. Airp.,2019-12-19,2020-12-31,"Delaware North Boston Flight, LLC",Mija Cantina,,"Restaurant/full bar concept in Terminal C, Space CB-A17/49A in Boston Airport. On one floor in one room one entrance one exit. Total Square Footage 2,560.",,"2:00 AM","2:30 AM",125.00," Delaware North Boston Flight, LLC", Mark V. Clemency,(716)828-5162,,      Logan Airport Terminal C  ,East Boston,MA,"02128",0.0,0.0
LB-400460,,Active,CV7 All Alc. Airp.,2019-11-27,2020-12-31,"HSI MCA BOS FB, LLC",Santarpio's Pizza,,"Space CB2-A55 in Terminal C, Pier B at Loagan Airport 1,943 square feet.",,"2:00 AM","2:30 AM",68.00," HSI MCA BOS FB, LLC", SAIKOU BOIRO,,,      Logan Airport Terminal C  ,East Boston,MA,"02128",0.0,0.0
LB-398570,,Active,CV7 All Alc. Airp.,2019-11-26,2020-12-31,"Air Ventures, LLC",Not Your Average Joe's,,"1 floor with a total of 4,000 sq. ft. with 1 entrance, 2 exits and seating capacity of 160. ",,"2:00 AM","2:30 AM",184.00," Air Ventures, LLC", Charles D. Garabedian,,,      Logan Airport Terminal B  ,East Boston,MA,"02128",0.0,0.0
