,Article Headline,Article Content
0,[Three Thresher Sharks Found Stranded on Cape Cod Beaches],"[A shark was discovered on a Cape Cod beach Thursday, making it the third this week that may have fallen victim to bitter cold temperatures., Three thresher sharks, which measure about 14 feet long, have washed up on beaches in Orleans and Wellfleet since Christmas., “What may have happened in this case is a sudden drop in temperature associated with this cold snap that we’re all experiencing right now,"" said Greg Skomal of the Massachusetts Division of Marine Fisheries. ""And that’s probably caught these sharks off guard, and they’re trying to move rapidly south. What they’re doing is bumping into Cape Cod and getting trapped in Cape Cod Bay, and that’s causing these issues.”, The three sharks died from being stranded. Skomal emphasized the strandings appear to be a natural event, and there's no indication of what he called ""foul play."" He said it's common for one thresher shark to strand on the Cape in a season, but three in one week is unusual., , ""We want the folks out there who are walking the beaches — who dare walk the beaches in this weather — if they see these things, please report them to the Division of Marine Fisheries or the New England Aquarium,"" he added., The Atlantic Shark Conservancy and state and federal officials collected organ and tissues samples to help research the sharks and their deaths. The conservancy is raising money for equipment to help them respond to shark strandings., The geography of Cape Cod also traps hundreds of sea turtles each winter. So far, more than 260 have been rescued and brought to the New England Aquarium’s sea turtle hospital. , Craig produces sound­-rich features and breaking news coverage for WGBH News. ]"
1,[What’s On Tap For The GOP 2018 Legislative Agenda?],"[President Donald Trump and the Republican majority in Washington are looking to make 2018 a banner year for some of their top agenda items: a new health care plan, infrastructure investment and reforming Social Security, Medicare and welfare are all on the table. But the party’s top leaders each have different feelings about which policy to tackle next. So who has the best plan of attack for 2018?,  , Three Republicans — Weymouth Mayor Robert Hedlund; Michael Graham, a Boston Herald columnist and host of “Michael in the Morning”; and Michael Astrue, former Social Security Commissioner during both the Bush and Obama administrations — joined Adam Reilly to discuss., Coverage from the GBH Newsroom.]"
2,[What Do The New Tax Rules Mean For You?],"[Barry says his firm has received comments and questions mainly about prepaying state and local taxes, and about front-loading charitable contributions., Barbara Howard is the former anchor of WGBH’s All Things Considered. ]"
3,[The Best Curiosity Desk Stories Of 2017],"[This year, the Curiosity Desk uncovered everything from the stories behind certain Boston landmarks to the reason for Boston's nicknames. Some of these stories were born from the brain of Edgar B. Herwick III himself, while others came from questions you asked. While the Curiosity Desk often helps you answer questions, we needed your help to find out what your favorite stories were. We thank everyone who participated in our survey to help us compile this list — it would not have been nearly as great without you. , 1. How Did That Star Market End Up Over The Massachusetts Turnpike? (20.3% of the vote), Many people pass under it daily but have never known why there is a Star Market above the Mass Pike. Craig Idlebrook of Newton is one of those people. He reached out to the Curiosity Desk about this, wondering if the structure was used for something in the past. As it turns out, it was the start of an imagined future that never came to pass., , 2. Why You Should Care More About 17th Century Bathrooms Than You Do (18.6% of the vote), Back in October, an archaeological dig in the North End uncovered a 17th century outhouse near where Paul Revere lived. While it may be interesting enough that this is where Revere may have relieved himself, old bathrooms such as this one are treasures for archaeologists, giving them valuable insight into the past. , , 3. Thinking And Driving? The Brain Is Built For That (11.9% of the vote), One Curiosity Desk listener reached out describing a situation that many of us are familiar with: realizing there are long stretches when their mind wanders while driving, but simultaneously managing to stay on the road and make all the right turns. How is it that our brains are able to so easily think and drive?, , 4. The Last Pin Standing For Candlepin Bowling Balls (10.2% of the vote), While there are a few hundred places you can go candlepin bowling, there is only one company left on earth that still makes candlepin bowling balls. It's right over in Medway and was born out of a mom-and-pop bowling ball repair business., , 5 (Tie). From 'Beantown' To 'The Hub,' How Did Boston Earn Its Nicknames? (6.8% of the vote), Greg Rossolimo of Pomfret, Connecticut, was walking through Boston Logan airport one day when he heard a recording of Mayor Walsh referring to Boston as the ""Hub of the Universe."" The Curiosity Desk consulted the Massachusetts Historical Society to learn the origin of this and other nicknames for the city., , 5 (Tie). What Happens To The 50,000 Pounds Of Clothes Left At The Boston Marathon Start Line? (6.8% of the vote), Tens of thousands of runners gather for the Boston Marathon each year dressed in sweatshirts, jackets, sweatpants, etc. But by the time they leave the start line, they're usually wearing just shorts and a shirt, if that. As it turns out, the runners leave tens of thousands of pounds of clothes by the start line — but thankfully, they don't stay there., ,  Below are the final results of the survey.  , ,  , Coverage from the GBH Newsroom.]"
4,[Year In Review: President Trump v. Media; The Sexual Revelation; Local Media Upheaval; Final Farewell],"[Year in Review: President Trump vs. The Media - President Donald Trump’s war with the press and how it shaped coverage in 2017
	  Year in Review: The Sexual Revelation - The wave of sexual harassment scandals that cost many prominent media figures their jobs
	  Year in Review: Local Media Upheaval - Profound changes in the local media landscape on TV, radio, and print
	  Year In Review: Final Farewell - A look back at the media figures who died over the past year.
	 
	On this week’s edition of Beat the Press, Emily Rooney was joined by Adam Reilly of WGBH News; Jon Keller of WBZ News; Dan Kennedy of Northeastern University; and Callie Crossley of WGBH News., Coverage from the GBH Newsroom.]"
5,[BPR's Last News Quiz Of 2017: It's A Wrap],"[It's the last Boston Public Radio News Quiz of 2017, and we're wrapping things up with — what else? — wrapping paper!, Sarah Hartford and Julie Madden are two designers at The Gift Wrap Company, the oldest established gift wrap manufacturer in the United States. The company is headquartered in Georgia but has a design studio right here in Massachusetts., Hartford and Madden gave us some choice gift wrapping tips while we tested their knowledge of the week's headlines. To hear how they did, click the audio player above., Amanda McGowan is a producer for Boston Public Radio. ]"
6,"[In Quincy, An Animal Hospital Rescues A Growing Number Of Sea Turtles Stranded On Cape Cod]","[Ten minutes before the patients arrive, walkie-talkies start buzzing. Clusters of technicians and interns, dressed in scrubs, snap to attention. Carts loaded with medical equipment are wheeled into place., Suddenly, the patients are here — and they’re in rough shape. Some, when prodded with thermometers, twitch an arm listlessly. Others are so comatose they look completely dead., But these patients aren’t being unloaded from ambulances and wheeled in on gurneys. They’re packed in cardboard banana boxes lined with towels. And they’re not even human, though you’d be forgiven for thinking so, given the careful medical attention they’re receiving., They’re sea turtles., Biologist Adam Kennedy is working the floor today at the New England Aquarium’s Animal Care Center, a state-of-the-art marine animal rehab facility nestled in Quincy’s old shipyard. Two turtles have just come in, rescued off the beaches of Cape Cod by volunteers, and he’s giving them a preliminary check-up. One turtle is completely motionless, and Kennedy directs it to an ultrasound machine to check for a heartbeat. The other flaps its fins sluggishly when poked — a promising sign. He writes an identification number carefully on its shell., Kennedy wasn’t always in this line of work. Originally a programmer in the pharmacy business, he started volunteering with the aquarium back in 2002, hoping to work with seals and whales. But it was the turtles and their unusual plight that won him over., “Like a lot of folks, I didn’t really know there were sea turtles in Cape Cod Bay,” he said. “Who would think a reptile would be in Cape Cod Bay?”, , Turtles come to Cape Cod for the same reason we do, explains Tony LaCasse, the New England Aquarium's media relations director: “The restaurants are good, the seafood is good.” They travel up north from the Gulf of Mexico in the summer to feast on the crab off the Cape Cod coast, when the water is in the balmy 60s or 70s. But when the temperature starts to drop, the trouble starts., Come September, as the water begins to cool, the turtles feel the urge to migrate back down south. But blocking the way to the south and east is the arm of Cape Cod’s peninsula. Many of these turtles are babies and inexperienced, unable to intuit that they must swim north, past Provincetown, before they can get back out into the Atlantic. Many become trapped in the bay., Turtles are reptiles and cold-blooded, which means that their inner temperature fluctuates with the temperature of their surroundings. As the water chills to a frigid 50 degrees or less, these turtles, over time, become seriously hypothermic, or ""cold stunned."" Their metabolisms slow, and so do their heartbeats (some even as slow as one or two beats per minute.) They become so sluggish that they’re no longer able to catch food and feed themselves. Then they wash up on the north Cape’s beaches — in recent years, hundreds and hundreds of them — some covered in algae and even barnacles like you’d see on rocks and shipwrecks., “The average sea turtle somebody would find on the Cape, particularly by Thanksgiving on,  if you discovered it, you’d probably think it was dead,” La Casse says., The New England Aquarium believes Cape Cod is the only place where these annual mass turtle strandings occur in the entire country, maybe even the world. And a unique problem requires a unique solution, which is where the turtle hospital comes in., , The Care Center is filled with tanks, some outfitted with glass along the sides so you can see turtles zipping through the water. In one is a handful of three-or-four-pound Kemp’s ridley sea turtles, the rarest and most endangered sea turtle species. Most turtles that wash up on the Cape are Kemp’s ridleys., In another tank is a hulking loggerhead turtle — named so for its large, thick head and neck — lumbering solo. These can grow to be hundreds of pounds, which can make for a challenge when they need medical attention or there are more than one of them. (Loggerheads get aggressive with other loggerheads, so staffers sometimes have to separate the snippy ones with a few strategic swipes of a netting pole.), Today, interns Kathy McCarthy and Sarah DiCarlo had to hoist an 80-pound loggerhead over to the X-ray labs. “How do you lift something like this?” they’re asked.  “With your legs, not your back,” DiCarlo quips., Since the turtles become hypothermic over the course of weeks, the Care Center takes a similar approach to warming them back up again: they do it over time. A series of tanks are heated to different, gradually warming temperatures (for example, 55 degrees, then 60 degrees, then 65 degrees, and so on) and turtles move from one to the next when they’re ready. Warming them too quickly creates a fertile atmosphere for the pathogens that have loaded on board while they’re stranded, and these turtles — whose immune systems have been compromised by their hypothermia — wouldn’t be able to fight them off., In the meantime, they’re monitored closely. They get X-rays to check their lungs for pneumonia, are administered antibiotics and antifungals, get regular exercise, and are encouraged to build an appetite back up. The goal is not only to rewarm them, but to nurse them back to full health., “It’s both rehab and convalescence,” La Casse says., , This hospital was built to comfortably house around 100 patients, which in the past, when their average intake was around 70-90, was more than enough. But that’s changed., In the last five years, their average has ballooned to over 300. One year, they had 700. When the numbers get that high, the Care Center must find other places for the turtles to complete their rehab, sending them to aquariums all over the east coast., The influx points to both the Care Center’s successes and signs of a changing climate around Cape Cod. More turtles means their populations are growing and stabilizing. On the other hand, it points to the fact that the seas around the Cape are warming up — according to some estimates, the Gulf of Maine is one of the fastest-warming bodies of water in the world — which means that turtles will venture further and further north to feed on crab.  , “In 30 or 50 years, our ecosystem could look much more like what you’d find off the Maryland-Virginia coast,” La Casse says. “That also means that the cold temperate species are not going to be able to survive here as well, or maybe not at all.”, New England staples, like lobster, could become rare or even disappear from the region., When animals move into areas that don’t have rules in place to protect them, tragedy can strike. That’s what happened when North Atlantic right whales began moving outside of protected areas to search for food: many were entangled in fishing traps and killed, which decimated their already-fragile population. , For Kennedy, protecting these vulnerable species from human damage is one of the concerns that drives his work., “A lot of what has been done to the sea turtles has been done by humans,” Kennedy says. He hopes that there will still be Kemp’s ridleys and loggerheads when his three young sons are his age., “We’ve done so much to this planet,” he continues. “Every little thing we can do to help, I think we should. “, Amanda McGowan is a producer for Boston Public Radio. ]"
7,[Orange Is The New Orange At Wellington Station],"[Three of the T's first new Orange Line cars arrived in Boston this week to begin testing and trial runs on an MBTA test track., The cars, shot by photographer Brian Cummings of 781 Photography are at the MBTA's Wellington carhouse after traveling through the Panama Canal from Changchun, China, where they were manufactured by rail giant CRRC. , , Six of the new cars have been made in China, with the balance in the order of 152 Orange Line and 252 Red Line cars to be built at CRRC's plant in Springfield. The new cars, which may begin seeing revenue service a year from now, are to replace aging trains, some dating back to 1969., ,  ]"
8,"[2017: The Year Of Trump, Tax Cuts, Twitter Battles, America Divided and #MeToo]","[
	From inauguration drama and ensuing protests to the eleventh-hour tax bill just passed by Congress — with Twitter battles, legal drama, and the “Me Too” movement in between — it has been quite the eventful year. Boston Globe Business Columnist Shirley Leung
	and Shannon O’Brien, former state treasurer, joined Jim Braude on Greater Boston to reflect on the stories that defined 2017.
	 
	“I think the Republicans in Congress have figured out what they need to do to work with Donald Trump,” said Jennifer Braceras, conservative columnist and former editor of NewBostonPost.com, when she joined Jim Braude on Greater Boston. “Sadly, flattery is a big piece of it.”
	 
	“Love him or hate him, [Trump] has really shaken up Washington and shaken up politics just as he promised,” said Shirley Leung, a business columnist at The Boston Globe and WGBH News contributor. “The tax bill at the end of the year is pretty big. That will have a lasting impact.”
	 
	In addition to presiding over the passing the Tax Cuts and Jobs Act — which also includes a repeal of the individual mandate that helped define Obamacare — the president also scored major wins by confirming Justice Neil Gorsuch to the Supreme Court, as well as 12 other judges to federal appeals courts, and he has made a slew of regulatory changes through executive orders.
	 
	“I think you’re going to see it has been a major change,” said Shannon O’Brien, former Democratic state treasurer, referring to the tax bill. “I think he’s done a lot. I think he’s harmed a lot.”
	 
	Braceras disagreed, saying that despite what, at times, has been a chaotic White House, the Trump administration’s accomplishments have been “standard Republican red meat.”, 
	“They are all things that almost all of Republican candidates for president campaigned on,” said Braceras. “The critique on the merits [of Trump’s policies] is no different than the critique on George Bush or Ronald Reagan, or any other Republican president.”
	 
	Outside of Washington, D.C. there has been plenty of controversy surrounding the President’s relationship with the rest of the American public over the past year – including fallout from the white supremacist rally in Charlottesville and Trump’s anger toward a group of mostly black N.F.L. players kneeling during the national anthem.
	 
	Leung said all of the controversy is simply Trump playing to those who put him in office., 
	“He’s really speaking to his base,” said Leung. “A lot of these issues came up last year on the campaign. While it can be shocking, he’s speaking to the people that elected him.”
	 
	“Everybody is doubling down on their divisiveness,” said Braceras. “The Democrats are doubling down on deplorable, the Republicans are doubling down on anti-political correctness and, as a result, we're not able to find common ground or really talk to each other. That, to me, is the greatest harm that Donald Trump has done.”
	 
	While there’s little bipartisanship in Washington, one movement has managed to create common ground across political lines: the women of the nation who have stepped up and spoken out against sexual misconduct in the #MeToo., 
	Recently, Cambridge-born actor Matt Damon stirred up controversy when he argued that society needs to differentiate between varying degrees of harassment and assault. 
	 
	“Matt needed to say that,” said Leung. “A lot of people are thinking that but are afraid to say it — that a pat on the butt is not the same as sexual assault. And we have to find a way to talk about the issue without saying all men are sexual harassers.”
	 
	“There is something that is unprecedented in this county,” added O’Brien. “I believe there needs to be a differentiation and there needs to be process. But most important is, it’s out in the air right now.”, Coverage from the GBH Newsroom.]"
9,[BPR 12/21: Full Show Post],[Members of the production team of our 89.7 midday show Boston Public Radio.]
