,text
0,Editor s note  We ve removed the video  following the news conference s conclusion This article was originally published on August 01  2014 
1,Editor s Note  The live feed has been removed from this post  This article was originally published on April 09  2014 
2,Ferguson  Missouri Across The Country 
3,With additional reporting by The Associated Press More Coverage 
4,Editor s Note  The live stream was removed at the conclusion of the event This article was originally published on April 22  2014 
5,The Rev  Osagyefo Sekou  of the First Baptist Church in Jamaica Plain  joins us from Ferguson  Missouri This segment aired on November 25  2014 
6,President Obama gave Worcester Technical High School s commencement address on Wednesday  Full story This article was originally published on June 11  2014 
7,Editor s Note  The live stream was removed at the conclusion of the event  Full story here This article was originally published on April 29  2014 
8,President Barack Obama delivered the commencement address at Worcester Technical High School on Wednesday afternoon  Obama praised the high school as a model for the rest of the country Listen above to a report from WBUR s Asma Khalid This segment aired on June 12  2014 
9,Jack Fultz  winner of the 1976 Boston Marathon  now teaches sports psychology at Tufts University  He joined WBUR’s Morning Edition to explain what it feels like to approach the finish line 
10,Former Boston Police Commissioner Ed Davis joined WBUR’s All Things Considered to discuss the legacy of former Boston Mayor Thomas Menino  who died Thursday at 71  Listen to the full conversation above More Coverage Of Menino s Passing This segment aired on October 30  2014 
11,Family and friends of a paratrooper from Northborough killed in Afghanistan will be gathering for calling hours and a funeral in his hometown Calling hours for Spc  Brian Arsenault will be held from 3 p m  to 8 p m  Monday at St  Rose of Lima Church  A funeral Mass at the same church is scheduled for Tuesday morning The 28 year old Arsenault will be laid to rest with full military honors at Howard Street Cemetery Arsenault died earlier this month from injuries he suffered during a firefight between his unit and enemy forces He was assigned to the 1st Battalion  504th Parachute Infantry Regiment  1st Brigade Combat Team  82nd Airborne Division based at Fort Bragg  North Carolina He was a 2004 graduate of Algonquin Regional High School 
12,Boston College says U S  Secretary of State John Kerry will deliver the keynote speech at the school s commencement exercises next month The former U S  senator and 2004 Democratic presidential nominee will also receive an honorary doctorate at the May 19 graduation ceremony Kerry earned his law degree from Boston College in 1976 He represented Massachusetts for 28 years in the Senate and served as chairman of the Foreign Relations Committee  President Barack Obama nominated him to be secretary of state in December 2012 Kerry has since led U S  diplomatic efforts in many of the world s hotspots  including recent attempts to negotiate a deal to ease tensions in Ukraine Former Boston Celtics great Bob Cousy will be among several others receiving honorary degrees at Boston College s commencement 
13,Photos by WBUR s Jesse Costa  reporting by The Associated Press This article was originally published on March 20  2014 
14,It was the first Boston Marathon for Marty Walsh as mayor of Boston  To talk about how the city handled the throngs crowding the streets and the increased security at this year s race  he joined WBUR s Morning Edition This segment aired on April 22  2014 
15,U S  Sen  Elizabeth Warren joined WBUR s All Things Considered to discuss the legacy of former Boston Mayor Thomas Menino  who died Thursday at 71  Listen to the full conversation above More Coverage Of Menino s Passing This segment aired on October 30  2014 
16,Joining Morning Edition to remember Mayor Thomas Menino is the man who took his place at City Hall  Boston Mayor Marty Walsh Walsh gives his thoughts on what Menino meant to the city of Boston and the advice Menino gave him as he stepped into his shoes Hear the full interview in the audio player above This segment aired on October 31  2014 
17,The Massachusetts journalist freed by a Syrian extremist group last weekend made his first public statement Wednesday since being released It s been a long journey for Peter Theo Curtis  whose return comes one week after another New England journalist was killed in the Middle East  Listen to a full report from WBUR s Jack Lepiarz above This segment aired on August 27  2014 
18,  Story  A New Era  Walsh Sworn In As Boston Mayor
