,text
0,Ferguson  Missouri Across The Country 
1,With additional reporting by The Associated Press More Coverage 
2,President Obama gave Worcester Technical High School s commencement address on Wednesday  Full story This article was originally published on June 11  2014 
3,President Barack Obama delivered the commencement address at Worcester Technical High School on Wednesday afternoon  Obama praised the high school as a model for the rest of the country Listen above to a report from WBUR s Asma Khalid This segment aired on June 12  2014 
4,Editor s Note  The live feed has been removed from this post  This article was originally published on April 09  2014 
5,Photos by WBUR s Jesse Costa  reporting by The Associated Press This article was originally published on March 20  2014 
6,Editor s note  We ve removed the video  following the news conference s conclusion This article was originally published on August 01  2014 
7,Editor s Note  The live stream was removed at the conclusion of the event This article was originally published on April 22  2014 
8,Editor s Note  The live stream was removed at the conclusion of the event  Full story here This article was originally published on April 29  2014 
9,Secretary of State John Kerry made a rare public appearance in his hometown Thursday  The former U S  senator from Massachusetts visited the Wind Technology Testing Center in Boston to urge immediate action on climate change Listen above to the full report from WBUR s Asma Khalid This segment aired on October 9  2014 
10,U S  Sen  Elizabeth Warren joined WBUR s All Things Considered to discuss the legacy of former Boston Mayor Thomas Menino  who died Thursday at 71  Listen to the full conversation above More Coverage Of Menino s Passing This segment aired on October 30  2014 
11,Drug addiction  especially opioid addiction  was a major story in 2014  Massachusetts officials came up with several ways to deal with the issue this past year WBUR s Deborah Becker joined WBUR s Morning Edition to take a look back Listen above to Becker s full report Related  This segment aired on December 30  2014 
12,WBUR s David Boeri joins Morning Edition to report on how the hearings on the nomination of Wall  the head of the State Parole Board and former first assistant prosecutor in Suffolk County  is drawing up controversy This segment aired on September 18  2014 
13,Rep  Cathy McMorris Rodgers from Washington State delivered the official rebuttal for the Republican Party This article was originally published on January 28  2014 
14,Thanks to Hurricane Arthur  this is turning out to be the year of making alterations to a long running tradition in Boston Not only was the annual July 4th celebration on the Esplanade held a day early  it was also abbreviated WBUR s Jack Lepiarz joined Morning Edition to discuss the Esplanade event This segment aired on July 4  2014 
15,At the Boston Public Garden and the State House Thursday  ceremonies commemorated those who died in the terrorist attacks 13 years ago that started with the hijacking of two planes from Logan Airport  Listen above to a full report from WBUR s David Boeri This segment aired on September 11  2014 
16,WBUR s Fred Thys joins Morning Edition to review Marty Walsh s year as he gets ready to mark his first anniversary as mayor of Boston This segment aired on December 25  2014 
17,Gov  Deval Patrick on Friday nominated Massachusetts Appeals Court Judge Geraldine Hines to serve on the state s Supreme Judicial Court  The nomination comes as a result of a vacancy created by the retirement of Chief Justice Roderick Ireland If confirmed  Hines would become the first African American woman on the SJC This segment aired on June 13  2014 
18,Former Boston Police Commissioner Ed Davis joined WBUR’s All Things Considered to discuss the legacy of former Boston Mayor Thomas Menino  who died Thursday at 71  Listen to the full conversation above More Coverage Of Menino s Passing This segment aired on October 30  2014 
19,See below for raw video of Wednesday morning s Boston Chamber of Commerce gubernatorial debate  provided by Comcast  The debate was between Republican nominee Charlie Baker and Democrat Martha Coakley  and was moderated by WBUR s Bob Oakes Note  Livestream uses Adobe Flash Player  which may not be available on all devices Or listen below for the full debate This article was originally published on October 08  2014 
20,Massachusetts gasoline prices are down a nickel per gallon AAA Southern New England reports Monday that the cost of a gallon of self serve regular has dropped 5 cents to an average of $3 62 The current price is 6 cents per gallon lower than a month ago and 9 cents lower than at the same time last year  but still a nickel higher than the national average AAA found self serve regular selling for as low as $3 45 per gallon to as high as $3 89 
21,There s a deal in place to sell Market Basket back to fired CEO Arthur T  Demoulas  So what happened and what happens next  Harvard Business School senior lecturer John Davis joined WBUR Thursday to discuss This segment aired on August 28  2014 
22,Investigators have concluded the apartment fire that killed seven people in Lowell last week was accidental  They expect to bring no criminal charges in connection with the fire  the deadliest in the state in two decades Listen above for a full report from WBUR s Delores Handy This segment aired on July 16  2014 
23,Public safety officials say they ve determined the source of the nine alarm Bay Bay fire that killed two Boston firefighters last week  and they say the blaze began accidentally As WBUR s Delores Handy reports  while the fire is considered unintentional  there is still an active investigation Related This segment aired on April 4  2014 
24,Monday marks the beginning of a new season for the Boston Red Sox  Will it be a repeat of the team s World Series win last year  Or will we see them finish the regular season in last place as they did in 2013 Baseball analyst Glenn Stout joined WBUR s Morning Edition to talk about the team s prospects This segment aired on March 31  2014 
25,Backers of casino gambling in Massachusetts have won a solid victory  Voters overwhelmingly rejected a ballot question to stop the casino licensing process in the state Massachusetts Gaming Commission Chairman Stephen Crosby joins Morning Edition to discuss the ballot question result  The commission is responsible for casino licensing and oversight  Hear the full interview in the audio player above This segment aired on November 5  2014 
26,It was the first Boston Marathon for Marty Walsh as mayor of Boston  To talk about how the city handled the throngs crowding the streets and the increased security at this year s race  he joined WBUR s Morning Edition This segment aired on April 22  2014 
27,A year ago  Boston Mayor Tom Menino was in a hospital bed when bombs went off at the Boston Marathon finish line Menino joined WBUR s Morning Edition to reflect on that day and talk about the one year anniversary of the attack This segment aired on April 15  2014 
28,A major clean up project is underway in Revere after the city was hit early Monday by a tornado The 120 mph tornado damaged dozens of homes and businesses but caused no deaths or serious injuries The National Weather Service said it was the first reported tornado in Suffolk County  which includes Boston and Revere  since it record keeping began in 1950 Listen above to a full report from WBUR S Jack Lepiarz This segment aired on July 29  2014 
29,Authorities say 34 East Boston residents were forced from their homes early Saturday morning when a major fire ripped through two triple decker residences The five alarm fire broke out behind a home on Saratoga Street and spread to the second building  according to the Boston Fire Department Two firefighters suffered minor injuries 
