,dist_code,stop_id,Impacted T,Proportion,REP,rep_dist,Rep Party,route_ids,Stop Name,Town,Town Id,tract_id,Impacted P,Income,income_level,Repdistnum
0,ESS09,7525.0,"208300,208400,208200","0.09,0.02,0.35",Donald H. Wong (R),9th Essex,(R),"429,430",Vine St @ Talbot St,SAUGUS,262.0,208200,155.0,72990.0,2.0,33.0
1,NOR15,1304.0,"400800,400400,400300,400500,400200,000703,000704,000802,000701","0.11,0.73,1.00,0.19,0.63,0.95,0.73,0.02,0.30",Tommy Vitolo (D),15th Norfolk,(D),66,Harvard St @ Coolidge St,BROOKLINE,46.0,400300,7596.0,81528.0,2.0,111.0
2,SUFF10,61839.0,"130100,374000,373900","0.31,0.01,0.14",Edward F. Coppinger (D),10th Suffolk,(D),37,St Joseph Cemetery,BOSTON,35.0,130100,285.0,122019.0,2.0,133.0
3,ESS11,6821.0,"207200,207100,207000,206100,206000,205900,205800,205500","0.17,0.90,0.35,0.64,1.00,0.29,0.34,0.05",Peter L. Capano (D),11th Essex,(D),"455,456,442,426,459,000",170 S Common St,LYNN,163.0,207000,1821.0,45616.0,2.0,35.0
4,NOR15,1375.0,"400800,400400,400300,400500,400200,000703,000704,000802,000701","0.09,0.73,1.00,0.18,0.61,0.96,0.77,0.03,0.34",Tommy Vitolo (D),15th Norfolk,(D),66,Harvard St @ Coolidge St,BROOKLINE,46.0,400300,7704.0,80919.0,2.0,111.0
5,SUFF11,76479.0,"120201,120104,110607,110401,110103,110301,981100,981000","0.07,0.12,0.01,0.08,0.91,0.16,0.15,0.44",Elizabeth A. Malia (D),11th Suffolk,(D),"33,32",Hyde Park Ave @ Walk Hill St,BOSTON,35.0,110103,1637.0,59515.0,2.0,134.0
6,SUFF17,1298.0,"400400,400600,000504,000503,000701,000602,000601,000502,000402,000401,000202","0.08,0.03,0.85,0.52,0.74,0.79,0.57,0.00,0.16,0.98,0.16",Kevin G. Honan (D),17th Suffolk,(D),65,Washington St @ Monastery Rd,BOSTON,35.0,401,7253.0,65335.0,2.0,140.0
7,ESS11,4486.0,"207200,207100,207000,206100,206000,205900,205800,205700,205500","0.12,1.00,0.19,0.30,0.94,0.58,0.57,0.00,0.02",Peter L. Capano (D),11th Essex,(D),"424,450,434",Western Ave @ Market Square,LYNN,163.0,206000,1843.0,51638.0,2.0,35.0
8,SUFF18,1034.0,"000504,000302,000503,000602,000601,000502,000402,000401,000202,000201","0.05,0.05,0.62,0.37,0.39,0.06,0.78,0.99,0.57,0.03",Michael J. Moran (D),18th Suffolk,(D),"86,51",Chestnut Hill Ave @ Union St,BOSTON,35.0,401,4518.0,71919.0,2.0,141.0
9,ESS11,6822.0,"207200,207100,207000,206200,206100,206000,205900,205800,205500","0.17,0.80,0.49,0.01,0.85,1.00,0.17,0.21,0.08",Peter L. Capano (D),11th Essex,(D),"455,456,442,426,459,000",S Common St @ Huss Ct,LYNN,163.0,207000,1810.0,42374.0,2.0,35.0
10,MID30,49909.0,"333502,333501,333400","0.18,0.17,0.18",Richard M. Haggerty (D),30th Middlesex,(D),354,6 Pine St opp Walnut Hill Pk,WOBURN,347.0,333400,92.0,93265.0,2.0,89.0
11,NOR13,81442.0,"403500,457200","0.26,0.17",Denise C. Garlick (D),13th Norfolk,(D),59,Hillside Ave @ Hunnewell St,NEEDHAM,199.0,403500,187.0,137082.0,3.0,109.0
12,SUFF17,1994.0,"000504,000302,000503,000602,000601,000502,000402,000401,000202,000201","0.10,0.02,0.63,0.44,0.41,0.05,0.73,1.00,0.56,0.01",Kevin G. Honan (D),17th Suffolk,(D),"501,65,503",Winship St @ Union St,BOSTON,35.0,601,4645.0,70865.0,2.0,140.0
13,MID30,49833.0,"333502,333501,333400","0.16,0.17,0.19",Richard M. Haggerty (D),30th Middlesex,(D),354,Pine St @ Walnut Hill Pk,WOBURN,347.0,333400,92.0,93513.0,2.0,89.0
14,ESS10,7203.0,"205500,205400,205300,205200,205100","0.01,0.01,0.59,0.28,0.04",Daniel H. Cahill (D),10th Essex,(D),435,Broadway @ Pendexter St,LYNN,163.0,205300,319.0,86430.0,2.0,34.0
15,SUFF17,1270.0,"400400,400600,000504,000503,000701,000602,000601,000502,000402,000401,000202","0.06,0.02,0.84,0.51,0.71,0.79,0.59,0.00,0.17,0.98,0.18",Kevin G. Honan (D),17th Suffolk,(D),65,Washington St @ Monastery Rd,BOSTON,35.0,602,7159.0,65169.0,2.0,140.0
16,SUFF11,6495.0,"120201,120104,110607,110401,110103,110301,981100,981000","0.08,0.14,0.01,0.07,0.91,0.16,0.15,0.44",Elizabeth A. Malia (D),11th Suffolk,(D),"33,32",Hyde Park Ave opp Walk Hill St,BOSTON,35.0,110103,1657.0,59894.0,2.0,134.0
17,SUFF03,15095.0,"010702,010600,981700,070700,070600,070500,070300,070200,070101,061200,070402,071201","0.01,0.00,0.07,0.15,0.31,0.58,0.97,1.00,0.28,0.16,1.00,0.60",Aaron M. Michlewitz (D),3rd Suffolk,(D),"749,11,751",Washington St @ Herald St,BOSTON,35.0,70402,8012.0,71618.0,2.0,126.0
18,ESS07,6159.0,"203100,202200,202101,204102,202102","0.07,0.03,0.06,0.52,0.04",Paul F. Tucker (D),7th Essex,(D),"459,455",Loring Ave @ Chandler Rd,SALEM,258.0,204102,335.0,88621.0,2.0,31.0
19,SUFF13,342.0,"100601,100500,092200,092000,091700,091600,092101","0.56,0.14,0.86,0.68,0.18,0.03,0.55",Daniel J. Hunt (D),13th Suffolk,(D),"15,18,215",Dorchester Ave @ Parkman St,BOSTON,35.0,92200,3784.0,59443.0,2.0,136.0
20,ESS07,6124.0,"203100,202200,202101,204102,202102","0.08,0.03,0.05,0.53,0.04",Paul F. Tucker (D),7th Essex,(D),"459,455",Loring Ave @ Intervale Rd,SALEM,258.0,204102,342.0,89035.0,2.0,31.0
21,SUFF17,994.0,"000504,000302,000503,000602,000601,000502,000402,000401,000202,000201","0.10,0.02,0.62,0.44,0.42,0.05,0.73,1.00,0.57,0.01",Kevin G. Honan (D),17th Suffolk,(D),"501,66,503",Winship St @ Union St,BOSTON,35.0,601,4654.0,70911.0,2.0,140.0
22,SUFF03,11481.0,"010600,981700,070700,070600,070500,070300,070200,070101,061200,070402,071201","0.00,0.09,0.03,0.07,0.45,0.86,1.00,0.39,0.19,1.00,0.46",Aaron M. Michlewitz (D),3rd Suffolk,(D),9,Herald St @ Harrison Ave,BOSTON,35.0,70402,7339.0,64852.0,2.0,126.0
23,ESS10,4541.0,"206400,205100,204701,202102","0.06,0.61,0.08,0.08",Daniel H. Cahill (D),10th Essex,(D),"456,450",Western Ave @ Buchanan Circle,LYNN,163.0,205100,395.0,84664.0,2.0,34.0
