route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,route_fare_class,line_id,listed_route,fare,reduced_fare,ridership,revenues
11,751,1,SL4,Nubian Station - South Station,Key Bus,3,https://www.mbta.com/schedules/751,7C878E,FFFFFF,10055,Local Bus,line-SLWashington,,1.7,0.85,1733732.0,2947344.4
12,749,1,SL5,Nubian Station - Temple Place,Key Bus,3,https://www.mbta.com/schedules/749,7C878E,FFFFFF,10056,Local Bus,line-SLWashington,,1.7,0.85,3207136.4,5452131.88
29,747,1,CT2,Sullivan Square Station - Ruggles Station,Local Bus,3,https://www.mbta.com/schedules/747,FFC72C,0,40020,Local Bus,line-747,,1.7,0.85,507338.0,862474.6
30,708,1,CT3,Beth Israel Deaconess Hospital - Andrew Station,Local Bus,3,https://www.mbta.com/schedules/708,FFC72C,0,40030,Local Bus,line-171708,,1.7,0.85,293462.0,498885.39999999997
31,1,1,1,Harvard Square - Nubian Station,Key Bus,3,https://www.mbta.com/schedules/1,FFC72C,0,50010,Local Bus,line-1,,1.7,0.85,4559765.6,7751601.52
32,4,1,4,North Station - Tide Street,Commuter Bus,3,https://www.mbta.com/schedules/4,FFC72C,0,50040,Local Bus,line-4,,1.7,0.85,100958.0,171628.6
33,7,1,7,City Point - Otis Street & Summer Street,Local Bus,3,https://www.mbta.com/schedules/7,FFC72C,0,50070,Local Bus,line-7,,1.7,0.85,1272585.6,2163395.52
34,8,1,8,Harbor Point - Kenmore Station,Local Bus,3,https://www.mbta.com/schedules/8,FFC72C,0,50080,Local Bus,line-8,,1.7,0.85,918205.6,1560949.52
35,9,1,9,City Point - Copley Station,Local Bus,3,https://www.mbta.com/schedules/9,FFC72C,0,50090,Local Bus,line-9,,1.7,0.85,1950176.8,3315300.56
36,10,1,10,City Point - Copley Square,Local Bus,3,https://www.mbta.com/schedules/10,FFC72C,0,50100,Local Bus,line-10,,1.7,0.85,865566.0,1471462.2
37,11,1,11,City Point - Chauncy Street & Summer Street,Local Bus,3,https://www.mbta.com/schedules/11,FFC72C,0,50110,Local Bus,line-11,,1.7,0.85,878888.4,1494110.28
38,14,1,14,Roslindale Square - Heath Street,Local Bus,3,https://www.mbta.com/schedules/14,FFC72C,0,50140,Local Bus,line-14,,1.7,0.85,382184.4,649713.48
39,15,1,15,Fields Corner Station or Kane Square - Ruggles Station,Key Bus,3,https://www.mbta.com/schedules/15,FFC72C,0,50150,Local Bus,line-15,,1.7,0.85,1951742.0,3317961.4
40,16,1,16,Forest Hills Station - Andrew Station or Harbor Point,Local Bus,3,https://www.mbta.com/schedules/16,FFC72C,0,50160,Local Bus,line-16,,1.7,0.85,1760933.2,2993586.44
41,17,1,17,Fields Corner Station - Andrew Station,Local Bus,3,https://www.mbta.com/schedules/17,FFC72C,0,50170,Local Bus,line-1719,,1.7,0.85,819754.0,1393581.8
42,18,1,18,Ashmont Station - Andrew Station,Local Bus,3,https://www.mbta.com/schedules/18,FFC72C,0,50180,Local Bus,line-18,,1.7,0.85,112845.2,191836.84
43,19,1,19,Fields Corner Station - Kenmore or Ruggles Station,Local Bus,3,https://www.mbta.com/schedules/19,FFC72C,0,50190,Local Bus,line-1719,,1.7,0.85,843700.0,1434290.0
44,21,1,21,Ashmont Station - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/21,FFC72C,0,50210,Local Bus,line-21,,1.7,0.85,1378192.4,2342927.0799999996
45,22,1,22,Ashmont Station - Ruggles Station via Talbot Ave,Key Bus,3,https://www.mbta.com/schedules/22,FFC72C,0,50220,Local Bus,line-22,,1.7,0.85,2662010.0,4525417.0
46,23,1,23,Ashmont Station - Ruggles Station via Washington Street,Key Bus,3,https://www.mbta.com/schedules/23,FFC72C,0,50230,Local Bus,line-23,,1.7,0.85,3608872.8,6135083.76
47,24,1,24,Wakefield Avenue & Truman Parkway - Mattapan Station,Local Bus,3,https://www.mbta.com/schedules/24,FFC72C,0,50240,Local Bus,line-242733,,1.7,0.85,519081.3,882438.21
48,2427,1,24/27,Wakefield Avenue & Truman Parkway - Mattapan Station,Local Bus,3,,FFC72C,0,50241,Local Bus,line-242733,1.0,1.7,0.85,0.0,0.0
49,26,1,26,Ashmont Station - Norfolk Street Loop,Local Bus,3,https://www.mbta.com/schedules/26,FFC72C,0,50260,Local Bus,line-26,,1.7,0.85,419926.0,713874.2
50,27,1,27,Mattapan Station - Ashmont Station,Local Bus,3,https://www.mbta.com/schedules/27,FFC72C,0,50270,Local Bus,line-242733,,1.7,0.85,178906.0,304140.2
51,28,1,28,Mattapan Station - Ruggles Station,Key Bus,3,https://www.mbta.com/schedules/28,FFC72C,0,50280,Local Bus,line-28,,1.7,0.85,3837854.8,6524353.159999999
52,29,1,29,Mattapan Station - Jackson Square Station,Local Bus,3,https://www.mbta.com/schedules/29,FFC72C,0,50290,Local Bus,line-29,,1.7,0.85,571927.2,972276.2399999999
53,30,1,30,Mattapan Station - Forest Hills Station via Cummins Highway and Roslindale Square,Local Bus,3,https://www.mbta.com/schedules/30,FFC72C,0,50300,Local Bus,line-30,,1.7,0.85,667867.2,1135374.24
54,31,1,31,Mattapan Station - Forest Hills Station via Morton Street,Local Bus,3,https://www.mbta.com/schedules/31,FFC72C,0,50310,Local Bus,line-31,,1.7,0.85,1712167.6,2910684.92
55,32,1,32,Wolcott or Cleary Square - Forest Hills Station,Key Bus,3,https://www.mbta.com/schedules/32,FFC72C,0,50320,Local Bus,line-32,,1.7,0.85,3027897.6,5147425.92
56,3233,1,32/33,River Street & Milton Street - Mattapan Station,Supplemental Bus,3,,FFC72C,0,50321,Local Bus,line-242733,1.0,1.7,0.85,0.0,0.0
57,33,1,33,River Street & Milton Street - Mattapan Station,Local Bus,3,https://www.mbta.com/schedules/33,FFC72C,0,50330,Local Bus,line-242733,,1.7,0.85,388096.8,659764.5599999999
58,34,1,34,Dedham Mall or Dedham Line - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/34,FFC72C,0,50340,Local Bus,line-3434E,,1.7,0.85,935948.0,1591111.5999999999
59,34E,1,34E,Walpole Center - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/34E,FFC72C,0,50341,Local Bus,line-3434E,,1.7,0.85,1035008.0,1759513.5999999999
60,35,1,35,Dedham Mall or Stimson Street - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/35,FFC72C,0,50350,Local Bus,line-35,,1.7,0.85,626537.6,1065113.92
61,36,1,36,Millennium Park or VA Hospital - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/36,FFC72C,0,50360,Local Bus,line-36,,1.7,0.85,848806.4,1442970.88
62,37,1,37,Baker Street & Vermont Street - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/37,FFC72C,0,50370,Local Bus,line-37,,1.7,0.85,406536.0,691111.2
63,38,1,38,Wren Street - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/38,FFC72C,0,50380,Local Bus,line-38,,1.7,0.85,228670.0,388739.0
64,39,1,39,Forest Hills Station - Back Bay Station,Key Bus,3,https://www.mbta.com/schedules/39,FFC72C,0,50390,Local Bus,line-39,,1.7,0.85,3513520.4,5972984.68
65,40,1,40,Georgetowne - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/40,FFC72C,0,50400,Local Bus,line-4050,,1.7,0.85,385096.4,654663.88
66,4050,1,40/50,Georgetowne - Forest Hills Station,Local Bus,3,,FFC72C,0,50401,Local Bus,line-4050,1.0,1.7,0.85,0.0,0.0
67,41,1,41,Centre Street & Eliot Street - JFK/UMass Station,Local Bus,3,https://www.mbta.com/schedules/41,FFC72C,0,50410,Local Bus,line-41,,1.7,0.85,563908.8,958644.9600000001
68,42,1,42,Forest Hills Station - Nubian Station,Local Bus,3,https://www.mbta.com/schedules/42,FFC72C,0,50420,Local Bus,line-42,,1.7,0.85,754790.4,1283143.68
69,43,1,43,Ruggles  Station - Park Street Station,Local Bus,3,https://www.mbta.com/schedules/43,FFC72C,0,50430,Local Bus,line-43,,1.7,0.85,264170.4,449089.68000000005
70,44,1,44,Jackson Square Station - Ruggles Station,Local Bus,3,https://www.mbta.com/schedules/44,FFC72C,0,50440,Local Bus,line-44,,1.7,0.85,965302.0,1641013.4
71,45,1,45,Franklin Park - Ruggles Station,Local Bus,3,https://www.mbta.com/schedules/45,FFC72C,0,50450,Local Bus,line-45,,1.7,0.85,934377.6,1588441.92
72,47,1,47,"Central Square, Cambridge - Broadway Station",Local Bus,3,https://www.mbta.com/schedules/47,FFC72C,0,50470,Local Bus,line-47,,1.7,0.85,1607429.2,2732629.6399999997
73,50,1,50,Cleary Square - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/50,FFC72C,0,50500,Local Bus,line-4050,,1.7,0.85,314875.6,535288.5199999999
74,51,1,51,Reservoir Station - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/51,FFC72C,0,50510,Local Bus,line-51,,1.7,0.85,438308.0,745123.6
75,52,1,52,Dedham Mall - Watertown Yard,Local Bus,3,https://www.mbta.com/schedules/52,FFC72C,0,50520,Local Bus,line-5259,,1.7,0.85,146406.0,248890.19999999998
76,55,1,55,Jersey Street & Queensberry Street - Copley Station,Local Bus,3,https://www.mbta.com/schedules/55,FFC72C,0,50550,Local Bus,line-55,,1.7,0.85,206923.6,351770.12
77,57,1,57,Watertown Yard - Kenmore Station,Key Bus,3,https://www.mbta.com/schedules/57,FFC72C,0,50570,Local Bus,line-5757A,,1.7,0.85,3297663.2,5606027.44
