,Unnamed: 0,Business Name,Business Zip Code,Neighborhood,name_lower,placekey,safegraph_place_id,location_name,street_address,city,region,postal_code,safegraph_brand_ids,brands,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,visits_by_day,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,visitor_work_cbgs,visitor_country_of_origin,distance_from_home,median_dwell,bucketed_dwell_times,related_same_day_brand,related_same_month_brand,popularity_by_hour,popularity_by_day,device_type
0,93,Biddy Hair Salon,2128.0,East Boston,biddy hair salon,23j-222@62j-sj7-rhq,sg:034a50053bbf4751b4f5de195c214e02,Biddy Hair Salon,273 Meridian St,Boston,MA,2128,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,1,1,"[0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",250250502001.0,"{""482015414001"":4}","{""482015414001"":4}",{},{},,814.0,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":1}",{},"{""Crowne Plaza Hotels and Resorts"":100,""Fiesta Mart"":100,""Rutter's Farm Stores"":100,""24 Hour Fitness"":100,""Godfather's Pizza"":100,""TravelCenters of America"":100,""International Trucks"":99,""Papa John's"":99,""Denny's"":99,""CITGO"":99,""Love's Travel Stops and Country Stores"":99,""Planet Fitness"":99,""Chili's Grill & Bar"":99,""Pilot Flying J"":99,""QuikTrip"":99,""Chipotle Mexican Grill"":98,""Wendy's"":95,""Walgreens"":95,""The Home Depot"":95,""Subway"":95}","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0]","{""Monday"":0,""Tuesday"":0,""Wednesday"":1,""Thursday"":0,""Friday"":0,""Saturday"":0,""Sunday"":0}","{""android"":0,""ios"":0}"
1,162,buco trattoria,2210.0,South Boston Waterfront,buco trattoria,222-222@62j-shy-m8v,sg:30606d85e3d64bb0b39eec1c60208a02,Buco Trattoria,300 Summer St,Boston,MA,2210,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,44,26,"[1,3,3,3,0,1,2,1,2,4,3,1,0,2,1,5,0,1,0,0,0,2,2,2,3,0,0,0,0,2]",250250606001.0,"{""250010137002"":4,""250250901001"":4}","{""250173222001"":10,""330150650081"":4,""250173336006"":4,""250250702003"":4,""250250606001"":4,""250250603011"":4,""250251008006"":4,""250251101032"":4}",{},"{""US"":24}",21526.0,53.5,"{""<5"":0,""5-20"":13,""21-60"":10,""61-240"":13,"">240"":8}","{""sweetgreen"":50}","{""Dunkin'"":43,""sweetgreen"":34,""The Home Depot"":33,""Mobil"":29,""Starbucks"":23,""McDonald's"":21,""Speedway"":21,""Target"":20,""Market Basket"":19,""Gulf Oil"":19,""Burger King"":19,""CVS"":19,""Cumberland Farms"":15,""Orangetheory Fitness"":15,""Planet Fitness"":14,""7-Eleven"":13,""Shell Oil"":13,""Stop & Shop"":11,""Staples"":11,""Lowe's"":11}","[1,1,1,1,1,1,3,9,11,11,11,16,20,13,10,5,2,2,2,2,5,4,1,1]","{""Monday"":4,""Tuesday"":5,""Wednesday"":14,""Thursday"":9,""Friday"":10,""Saturday"":1,""Sunday"":1}","{""android"":10,""ios"":14}"
2,202,Chickadee,2210.0,South Boston Waterfront,chickadee,zzw-222@62j-qnz-t7q,sg:6d82cc83e94f451f8967b528a668d940,Chickadee,21 Drydock Ave,Boston,MA,2210,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,182,69,"[10,8,10,10,5,2,0,8,16,4,8,0,2,6,5,11,4,7,1,1,6,7,10,8,8,1,1,6,8,9]",250259812021.0,"{""170318252002"":5,""250214008002"":5,""360593006002"":4,""250092532051"":4,""250250506001"":4,""250214031001"":4,""250235051011"":4,""250092603012"":4,""250251104011"":4,""250214044003"":4,""250214091022"":4,""440010305003"":4,""250173662022"":4,""250173735001"":4,""250173155005"":4}","{""250259812021"":5,""250251105013"":4,""421010050001"":4,""250214003001"":4,""250250810011"":4,""250214177013"":4,""250173155005"":4,""250214171003"":4,""250056311003"":4,""080590109022"":4,""250092532042"":4,""060372117032"":4,""250092033022"":4}",{},"{""US"":66}",22256.0,61.5,"{""<5"":5,""5-20"":39,""21-60"":46,""61-240"":37,"">240"":55}","{""sweetgreen"":14,""Hilton Garden Inn"":14,""CrossFit"":12,""Comfort Inn"":11}","{""Dunkin'"":33,""sweetgreen"":27,""McDonald's"":24,""CrossFit"":21,""Starbucks"":20,""CVS"":20,""The Home Depot"":18,""Mobil"":17,""Chipotle Mexican Grill"":16,""Target"":15,""Market Basket"":14,""T.J. Maxx"":14,""Stop & Shop"":13,""Legal Sea Foods"":12,""Loyal Companion"":9,""Cumberland Farms"":8,""Whole Foods Market"":8,""Walgreens"":8,""Petco"":8,""Planet Fitness"":7}","[0,0,0,0,0,2,4,12,36,59,68,67,73,72,71,66,52,49,18,14,11,9,4,0]","{""Monday"":18,""Tuesday"":38,""Wednesday"":54,""Thursday"":26,""Friday"":33,""Saturday"":7,""Sunday"":6}","{""android"":27,""ios"":38}"
3,233,Covet,2127.0,South Boston,covet,22c-222@62j-sjk-jjv,sg:e44fc887cac5495195d4b267e6955a13,Covet,391 W Broadway,Boston,MA,2127,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,18,18,"[2,0,1,2,0,0,0,0,0,1,0,2,0,0,0,1,1,0,1,2,1,0,1,0,1,1,1,0,0,0]",250250608003.0,"{""250250604003"":12,""250250608001"":5,""360610044008"":4,""250173412006"":4,""250214051003"":4,""250250907002"":4,""250173514032"":4}","{""250214051003"":4,""250250608001"":4,""250250608003"":4,""250092211003"":4}",{},"{""US"":17}",6430.0,32.5,"{""<5"":0,""5-20"":6,""21-60"":8,""61-240"":2,"">240"":2}","{""Boys & Girls Clubs of America"":100}","{""Dunkin'"":41,""Market Basket"":28,""Stop & Shop"":27,""Starbucks"":26,""Target"":21,""Kohl's"":20,""T.J. Maxx"":20,""sweetgreen"":17,""McDonald's"":14,""Burger King"":12,""CVS"":12,""Chick-fil-A"":11,""Subway"":11,""Btone Fitness"":11,""Regina Pizzeria"":11,""Bluestone Lane"":11,""Loyal Companion"":11,""Cumberland Farms"":11,""Edible Arrangements"":11,""Boys & Girls Clubs of America"":11}","[2,2,0,0,0,0,1,2,0,0,1,3,3,3,5,2,0,3,4,1,2,1,1,2]","{""Monday"":1,""Tuesday"":2,""Wednesday"":2,""Thursday"":3,""Friday"":3,""Saturday"":4,""Sunday"":3}","{""android"":0,""ios"":21}"
4,233,Covet,2127.0,South Boston,covet,237-223@62j-shx-pvz,sg:f4547dd11e2d4d1faa807b05ed0e94a2,Covet,109 Charles St,Boston,MA,2114,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,7,7,"[0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1]",250250201014.0,"{""250251707024"":4}","{""250250202002"":4,""250251707024"":4,""250092544022"":4}",{},"{""US"":7}",11834.0,18.0,"{""<5"":0,""5-20"":6,""21-60"":1,""61-240"":0,"">240"":0}",{},"{""Dunkin'"":68,""Mobil"":55,""Market Basket"":43,""T.J. Maxx"":41,""McDonald's"":29,""Element by Westin"":29,""American Family Care"":29,""The Learning Experience"":29,""Omni Hotels & Resorts"":29,""Columbia Sportswear"":29,""Papa Gino's"":29,""The Container Store"":29,""Irving Oil"":28,""Hannaford Supermarkets"":28,""Marshalls"":28,""Simon mall"":27,""Walgreens"":23,""Starbucks"":21,""Design Within Reach (DWR)"":14,""VERC"":14}","[0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,1,0,1,0,0,0,0,0,0]","{""Monday"":3,""Tuesday"":0,""Wednesday"":2,""Thursday"":0,""Friday"":1,""Saturday"":1,""Sunday"":0}","{""android"":4,""ios"":4}"
5,301,Drydock Cafe,2210.0,South Boston,drydock cafe,223-222@62j-shz-k4v,sg:5127581f66df4a8c8eac090669e06335,Drydock Cafe,7 Drydock Ave,Boston,MA,2210,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,124,37,"[5,4,8,5,1,1,1,5,5,3,7,4,0,5,4,4,9,10,3,0,5,4,6,5,5,0,1,5,4,5]",250259812021.0,"{""170318025053"":4,""250250904002"":4,""250214201004"":4,""250214033003"":4,""250250605013"":4,""250214203021"":4,""170317608011"":4}","{""250259812021"":6,""250250902003"":6,""250250916002"":4,""121113808001"":4,""250214033003"":4}",{},"{""US"":33}",20767.0,254.5,"{""<5"":1,""5-20"":17,""21-60"":15,""61-240"":27,"">240"":64}","{""Dunkin'"":24,""UNFI (United Natural Foods)"":17,""sweetgreen"":17,""Neiman Marcus"":12}","{""Dunkin'"":48,""Mobil"":25,""Starbucks"":22,""Sunoco"":22,""CVS"":20,""McDonald's"":19,""Stop & Shop"":19,""Pilot Flying J"":18,""Walgreens"":14,""Loyal Companion"":13,""BP"":13,""Burger King"":12,""Speedway"":11,""The Home Depot"":11,""Ocean State Job Lot"":11,""BJ's Wholesale Club"":10,""Denny's"":10,""Love's Travel Stops and Country Stores"":10,""Shell Oil"":10,""Target"":9}","[1,1,0,7,11,16,20,38,68,74,74,73,75,61,50,35,28,20,6,5,2,0,0,0]","{""Monday"":16,""Tuesday"":22,""Wednesday"":24,""Thursday"":25,""Friday"":27,""Saturday"":8,""Sunday"":2}","{""android"":22,""ios"":15}"
6,303,Eagle Hill Cafe,2128.0,East Boston,eagle hill cafe,zzy-222@62j-sj7-tvz,sg:42f881d1a5b34823977df97bd5656cc4,Eagle Hill Cafe,1 Marion St,Boston,MA,2128,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,352,144,"[5,14,15,11,18,13,13,13,17,10,10,10,14,11,9,13,9,7,10,9,8,15,10,8,17,16,12,15,8,12]",250250501013.0,"{""250250501011"":21,""250250501012"":7,""250250501013"":6,""250250502001"":6,""250250509013"":6,""250251606025"":4,""250251204002"":4,""250251602003"":4,""250250505001"":4,""250173421014"":4,""250277330001"":4,""250173425003"":4,""121150010002"":4,""250173822004"":4,""250250506002"":4,""250250507003"":4,""250250503001"":4,""250251605021"":4,""250250509011"":4,""360650212012"":4,""250251707022"":4,""250251010011"":4,""250251708002"":4,""250251606011"":4,""250250804011"":4}","{""250250501011"":13,""250250502001"":9,""250250501013"":8,""250251606011"":5,""250250509012"":5,""250214141003"":4,""250250501012"":4,""250251606021"":4,""250251707022"":4,""250173422021"":4,""250251606025"":4,""250251204002"":4,""250173421014"":4,""250251708002"":4,""250173515001"":4,""250235011013"":4,""250250608001"":4,""250250804011"":4,""250251601014"":4,""250250509013"":4}",{},"{""US"":125}",1285.0,53.5,"{""<5"":13,""5-20"":105,""21-60"":65,""61-240"":90,"">240"":79}","{""Wendy's"":24,""Dunkin'"":24,""Honda"":17,""Speedway"":12,""Expressions Shoes "":10,""Ocean State Job Lot"":9,""CVS"":8,""T.J. Maxx"":6,""BP"":6}","{""Dunkin'"":33,""Shaw's"":26,""Market Basket"":26,""Mobil"":20,""7-Eleven"":17,""Burger King"":16,""McDonald's"":14,""CVS"":14,""Starbucks"":13,""Simon mall"":13,""Target"":13,""The Home Depot"":12,""BJ's Wholesale Club"":11,""Wendy's"":11,""Pollo Campero"":9,""Expressions Shoes "":8,""Speedway"":8,""Dollar Tree"":8,""Dick's Sporting Goods"":8,""Stop & Shop"":8}","[45,42,45,46,46,46,57,55,54,59,68,84,85,80,73,66,72,68,65,51,52,53,42,44]","{""Monday"":47,""Tuesday"":50,""Wednesday"":66,""Thursday"":42,""Friday"":45,""Saturday"":54,""Sunday"":48}","{""android"":89,""ios"":59}"
7,304,East side hair salon,2128.0,South Boston,east side hair salon,24z-222@62j-sjk-v75,sg:f41aa1df974a479c9c51153f03cc9b3c,East Side Hair Salon,92 P St,Boston,MA,2127,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,295,85,"[11,5,15,10,12,13,14,17,9,11,7,7,8,9,11,9,9,5,17,8,3,4,10,6,14,10,19,7,10,5]",250250601013.0,"{""250250601013"":7,""250250601011"":5,""250072002004"":4,""250214196002"":4,""250250602002"":4,""250235105031"":4,""250173417003"":4,""250250605015"":4,""250259812021"":4,""250250605014"":4,""250251006012"":4,""250250604005"":4,""250214227001"":4,""250250603013"":4,""250173501044"":4,""250251008005"":4}","{""440070117021"":6,""340030351004"":5,""250250907002"":5,""250250601012"":5,""250235201002"":4,""250214196002"":4,""250250605014"":4,""250235261001"":4,""250250601013"":4,""250214104002"":4,""250214221003"":4,""250235308011"":4}",{},"{""US"":73}",9079.0,106.0,"{""<5"":6,""5-20"":49,""21-60"":56,""61-240"":90,"">240"":94}","{""7-Eleven"":24,""Market Basket"":12,""C2 Pilates"":10}","{""Dunkin'"":33,""Stop & Shop"":25,""CVS"":17,""Walgreens"":14,""Speedway"":12,""Market Basket"":12,""The Home Depot"":11,""Loyal Companion"":11,""Dollar Tree"":10,""7-Eleven"":10,""sweetgreen"":9,""Starbucks"":8,""Cumberland Farms"":8,""Chipotle Mexican Grill"":8,""BJ's Wholesale Club"":8,""Target"":7,""T.J. Maxx"":7,""Ocean State Job Lot"":7,""McDonald's"":7,""Shell Oil"":6}","[62,59,57,58,61,58,64,66,69,72,66,65,70,73,68,72,69,68,68,61,64,83,72,64]","{""Monday"":33,""Tuesday"":53,""Wednesday"":38,""Thursday"":41,""Friday"":36,""Saturday"":46,""Sunday"":48}","{""android"":26,""ios"":61}"
8,305,East Side Yoga and Fitness,2127.0,South Boston,east side yoga and fitness,23f-222@62j-sjk-j7q,sg:972439a20287446da346134e01550083,East Side Yoga and Fitness,584 E Broadway,Boston,MA,2127,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,159,83,"[6,3,9,2,4,4,2,4,6,9,8,10,5,7,5,5,4,2,3,9,6,3,3,6,1,8,7,8,6,4]",250250605012.0,"{""250250605012"":11,""250250907001"":4,""250250401002"":4,""250250604005"":4,""250250605014"":4,""250251008004"":4,""250173587002"":4,""250173421023"":4,""250250608002"":4}","{""250250604005"":7,""250251008004"":5,""250250502002"":4,""250251706011"":4,""250250604001"":4,""250250711011"":4,""250250608002"":4,""250250612001"":4,""250250703002"":4,""250250610001"":4,""250250401002"":4}",{},"{""US"":55}",1313.0,58.0,"{""<5"":3,""5-20"":28,""21-60"":52,""61-240"":59,"">240"":17}","{""Walmart"":17,""Planet Fitness"":12}","{""Dunkin'"":13,""Stop & Shop"":9,""Loyal Companion"":6,""Market Basket"":6,""Party City"":5}","[13,11,8,8,8,15,22,15,14,13,17,20,18,19,29,35,32,25,21,15,34,45,38,10]","{""Monday"":23,""Tuesday"":24,""Wednesday"":21,""Thursday"":28,""Friday"":13,""Saturday"":25,""Sunday"":25}","{""android"":24,""ios"":60}"
9,382,Gray's Hall,2127.0,South Boston,gray's hall,243-223@62j-sjk-j35,sg:ce3691f6179f43dd8183a44eafb5cf82,Gray's Hall,615 E Broadway,Boston,MA,2127,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,18,12,"[1,0,0,0,2,0,1,1,1,1,0,0,1,1,0,0,0,0,1,2,1,1,0,0,1,1,0,1,1,0]",250250603013.0,"{""250214182004"":4,""250250918001"":4,""250250603013"":4}","{""250250605012"":4}",{},"{""US"":8}",3757.0,862.5,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":2,"">240"":15}","{""Planet Fitness"":100}","{""Stop & Shop"":25,""Planet Fitness"":24,""Tesla Motors"":16,""T.J. Maxx"":15,""Walmart"":15,""Starbucks"":9,""Earls Restaurants"":8,""Ocean Prime"":8,""Chart House"":8,""Santander Bank"":8,""Unleashed by Petco"":8,""Bob's Discount Furniture"":8,""Sephora"":8,""Kay Jewelers"":8,""FedEx"":8,""Crunch"":8,""DoubleTree by Hilton"":8,""TGI Fridays"":8,""YMCA"":8,""Courtyard by Marriott"":8}","[14,14,14,14,14,15,15,14,14,14,11,9,7,7,6,6,6,6,2,0,8,10,11,14]","{""Monday"":4,""Tuesday"":4,""Wednesday"":1,""Thursday"":1,""Friday"":1,""Saturday"":4,""Sunday"":3}","{""android"":4,""ios"":6}"
