States,n,%,CI,Exemption
Alabama,295,92.3,(±3.8),Religious Exemption
Alaska,251,89.3,(±4),Religious Exemption
Arizona,265,91.7,(±3.9),Personal Belief Exemption
Arkansas,258,92.6,(±3.9),Personal Belief Exemption
California,324,92.9,(±4.7),Medical Exemption Only
Colorado,264,87.2,(±4.8),Personal Belief Exemption
Connecticut,266,94.6,(±3.5),Religious Exemption
Delaware,232,92.9,(±3.8),Religious Exemption
District of Columbia,269,94.1,(±4.3),Religious Exemption
Florida,314,91.9,(±4.3),Religious Exemption
Georgia,299,90.7,(±4.5),Religious Exemption
Hawaii,236,90.5,(±4.3),Religious Exemption
Idaho,198,92.2,(±4.4),Personal Belief Exemption
Illinois,473,91.9,(±2.9),Religious Exemption
Indiana,256,87,(±5.2),Religious Exemption
Iowa,226,91.5,(±4.4),Religious Exemption
Kansas,192,89.8,(±5.5),Religious Exemption
Kentucky,229,92.7,(±4.3),Religious Exemption
Louisiana,282,91.3,(±4.5),Religious Exemption
Maine,271,93.7,(±3.1),Medical Exemption Only
Maryland,361,92.4,(±5.4),Religious Exemption
Massachusetts,271,98.3,(±1.9),Religious Exemption
Michigan,237,92.2,(±4),Personal Belief Exemption
Minnesota,249,94.3,(±3.3),Personal Belief Exemption
Mississippi,247,91.8,(±4.1),Medical Exemption Only
Missouri,229,85.8,(±6),Religious Exemption
Montana,216,92.3,(±4.1),Religious Exemption
Nebraska,246,93.7,(±3.5),Religious Exemption
Nevada,235,92.4,(±3.8),Religious Exemption
New Hampshire,236,94.1,(±3.5),Religious Exemption
New Jersey,356,89,(±4.2),Religious Exemption
New Mexico,233,89.3,(±5),Religious Exemption
New York,543,92.5,(±2.3),Medical Exemption Only
North Carolina,298,92.2,(±3.9),Religious Exemption
North Dakota,222,95.7,(±2.7),Personal Belief Exemption
Ohio,279,88.3,(±4.5),Personal Belief Exemption
Oklahoma,219,91.7,(±3.9),Personal Belief Exemption
Oregon,254,90.3,(±4.2),Personal Belief Exemption
Pennsylvania,543,91.7,(±4.6),Personal Belief Exemption
Rhode Island,249,95.3,(±3),Religious Exemption
South Carolina,238,88,(±5.3),Religious Exemption
South Dakota,244,89.9,(±4.6),Religious Exemption
Tennessee,272,92.3,(±4.2),Religious Exemption
Texas,1545,90.3,(±2.3),Personal Belief Exemption
Utah,249,88.7,(±4.4),Personal Belief Exemption
Vermont,251,93.7,(±3.5),Religious Exemption
Virginia,356,97.6,(±1.9),Religious Exemption
Washington,272,88.5,(±4.9),Religious Exemption
West Virginia,298,89.9,(±4.2),Medical Exemption Only
Wisconsin,218,89.9,(±5),Personal Belief Exemption
Wyoming,267,89.1,(±4.3),Religious Exemption
