States,Median_income,Standard_error
Alabama,"51,113",845
Alaska,"72,231","2,719"
Arizona,"61,125","2,642"
Arkansas,"48,829","2,642"
California,"69,759","1,452"
Colorado,"74,172","2,982"
Connecticut,"72,780","3,509"
Delaware,"62,318","3,300"
District of Columbia,"83,382","3,319"
Florida,"53,681","1,816"
Georgia,"57,016","2,434"
Hawaii,"73,575","2,227"
Idaho,"60,208","2,400"
Illinois,"64,609","1,999"
Indiana,"58,873","2,026"
Iowa,"63,481","5,512"
Kansas,"57,872","2,898"
Kentucky,"51,348","1,364"
Louisiana,"43,903","1,453"
Maine,"51,664","2,146"
Maryland,"81,084","3,652"
Massachusetts,"73,227","3,328"
Michigan,"57,700","2,337"
Minnesota,"71,920","2,991"
Mississippi,"43,441","2,204"
Missouri,"56,885","2,611"
Montana,"59,087","2,589"
Nebraska,"59,619","2,848"
Nevada,"56,550","3,039"
New Hampshire,"74,801","3,041"
New Jersey,"72,997","2,999"
New Mexico,"47,855","1,969"
New York,"62,447","2,093"
North Carolina,"50,343","1,760"
North Dakota,"59,886","1,676"
Ohio,"59,768","1,890"
Oklahoma,"55,006","3,102"
Oregon,"64,610","2,856"
Pennsylvania,"63,173","2,753"
Rhode Island,"66,390","4,209"
South Carolina,"54,971","2,078"
South Dakota,"56,894","3,633"
Tennessee,"55,240","2,162"
Texas,"59,295","1,702"
Utah,"71,319","2,250"
Vermont,"63,805","3,133"
Virginia,"71,293","3,276"
Washington,"75,418","3,307"
West Virginia,"45,392","1,485"
Wisconsin,"63,451","3,673"
Wyoming,"57,837","3,134"
