,B19013_001E,state,county,tract
0,132750,25,25,60501
1,12759,25,25,61101
2,84083,25,25,70101
3,28851,25,25,70402
4,52676,25,25,71101
5,53649,25,25,71201
6,60000,25,27,710400
7,103071,25,27,713100
8,79283,25,27,716100
9,68096,25,27,723100
10,92672,25,27,730902
11,25399,25,27,731400
12,35309,25,27,731600
13,82250,25,27,736100
14,93856,25,27,737300
15,91425,25,27,739300
16,63375,25,27,711000
17,97561,25,27,700100
18,78958,25,27,702200
19,72900,25,27,704200
20,98714,25,27,708100
21,18234,25,27,710700
22,73599,25,27,725100
23,80250,25,27,711100
24,107348,25,27,719100
25,89173,25,27,726100
26,66735,25,27,730200
27,55319,25,27,730300
28,41089,25,27,730500
29,20030,25,27,731800
30,56574,25,27,744300
31,29015,25,27,732500
32,95167,25,27,735200
33,81771,25,27,742300
34,71758,25,27,744400
35,70142,25,27,757400
36,71014,25,27,701100
37,50732,25,27,703300
38,44330,25,27,709400
39,50551,25,27,709600
40,37188,25,27,710800
41,68139,25,27,722100
42,103872,25,27,728400
43,80265,25,27,730600
44,31769,25,27,731900
45,19083,25,27,732001
46,57857,25,27,732202
47,32579,25,27,732700
48,73875,25,27,736300
49,84444,25,27,738100
50,126974,25,27,739500
51,112000,25,27,740200
52,124856,25,27,743100
53,80069,25,27,749200
54,71280,25,27,750100
55,59286,25,27,750300
56,40388,25,27,754200
57,60679,25,27,754400
58,72358,25,27,757500
59,-666666666,25,27,731202
60,89830,25,27,736200
61,84201,25,27,736400
62,76348,25,27,736500
63,118633,25,27,739400
64,95530,25,27,706100
65,68063,25,27,710300
66,71102,25,27,709100
67,43750,25,27,709202
68,62279,25,27,709702
69,54700,25,27,716200
70,54627,25,27,716300
71,56346,25,27,726200
72,108750,25,27,728100
73,77150,25,27,729200
74,53347,25,27,709701
75,80648,25,27,730100
76,65769,25,27,730700
77,82569,25,27,744200
78,74681,25,27,735100
79,36560,25,27,754300
80,79797,25,27,730802
81,104063,25,27,717100
82,43735,25,27,732600
83,72931,25,27,724100
84,40694,25,27,730401
85,64733,25,27,732002
86,94807,25,27,744101
87,84444,25,27,759100
88,34349,25,27,707200
89,52803,25,27,730402
90,113750,25,27,739100
91,64276,25,15,821400
92,95987,25,15,820900
93,73125,25,15,821700
94,76786,25,15,821901
95,93958,25,15,820202
96,50326,25,15,820500
97,52557,25,15,821601
98,80589,25,15,822200
99,89362,25,15,822401
100,93854,25,15,822500
101,64635,25,15,822700
102,86169,25,15,820203
103,69787,25,15,821000
104,117000,25,15,821200
105,115232,25,15,820204
106,-666666666,25,15,820802
107,54265,25,15,820801
108,54843,25,15,821100
109,19194,25,25,80401
110,15703,25,25,80601
111,87537,25,15,821300
112,40617,25,15,820102
113,2499,25,15,820400
114,67604,25,15,820700
115,53029,25,15,821602
116,70208,25,15,822000
117,44943,25,15,822300
118,55145,25,15,822402
119,65015,25,15,820101
120,83958,25,15,820600
121,45316,25,15,820300
122,64619,25,15,821500
123,124189,25,19,950400
124,106648,25,19,950500
125,99167,25,19,950100
126,86630,25,19,950200
127,114180,25,17,352500
128,56310,25,17,352700
129,79615,25,17,353400
130,92865,25,17,356601
131,121429,25,17,357100
132,73005,25,17,357700
133,130547,25,17,373400
134,111113,25,17,368101
135,84811,25,17,368400
136,107500,25,17,369100
137,65385,25,17,383200
138,123245,25,17,387100
139,96447,25,17,354300
140,146250,25,17,354700
141,124565,25,17,354800
142,175313,25,17,358100
143,188542,25,17,358500
144,90368,25,17,369000
145,86319,25,17,370102
146,108561,25,17,354500
147,93136,25,17,332400
148,90433,25,17,339100
