index,mapc_id,parloc_id,luc_adj_1,luc_adj_2,muni_id,muni,District,land_value,bldg_value,othr_value,total_value,lot_areaft,bldg_area,addr_num,addr_str,owner_city,owner_stat,owner_zip,median_hh_income,latitude,longitude,numTransitStops,walkscore,transitscore,transit_score_description,transit_score_summary,transitStopScore,TransitFriendlyScore
9131,1389181,M_246552_956014,973,973,7,Amesbury,1st Essex District,6700.0,,,6700,1013.013691,0,30,FIELD ST,AMESBURY,MA,1913,70063.0,42.85334624,-70.930462,,72.0,37.94747474747475,,,,54.97373737373738
9132,1389184,M_246547_956024,973,973,7,Amesbury,1st Essex District,108900.0,,,108900,9372.918498,0,30,FIELD ST,AMESBURY,MA,1913,70063.0,42.85343655,-70.93052235,,72.0,37.94747474747475,,,,54.97373737373738
133,14327,M_141021_927092,973,973,15,Athol,2nd Franklin District,1600.0,0.0,0.0,1600,1000.462971,0,,LIBERTY ST,ATHOL,MA,1331,50732.0,42.59215697,-72.21858808,5.0,40.0,37.94747474747475,,,27.77777777777778,38.97373737373738
125,12835,M_139156_926965,973,973,15,Athol,2nd Franklin District,800.0,0.0,900.0,1700,444.4986058,0,,BICKFORD DR,ATHOL,MA,1331,60469.0,42.59087005,-72.24129628,1.0,37.0,37.94747474747475,,,5.555555555555555,37.47373737373738
126,12837,M_139135_926988,973,973,15,Athol,2nd Franklin District,800.0,0.0,900.0,1700,429.35234510000004,0,,BICKFORD DR,ATHOL,MA,1331,60469.0,42.59107545,-72.24155456,1.0,37.0,37.94747474747475,,,5.555555555555555,37.47373737373738
140,15024,M_141984_926034,973,973,15,Athol,2nd Franklin District,800.0,0.0,400.0,1200,788.4873712,0,,GIBSON DR,ATHOL,MA,1331,50732.0,42.58270535,-72.20674882,6.0,28.0,37.94747474747475,,,33.33333333333333,32.97373737373738
9220,1398057,F_777539_2876473,973,973,18,Avon,6th Norfolk District,36000.0,0.0,0.0,36000,40770.47909,0,,AVON PARK (KING ST),AVON,MA,2322,69868.0,42.14031015,-71.05247985,,6.0,37.94747474747475,,,,21.973737373737375
9221,1398058,F_777658_2876311,973,973,18,Avon,6th Norfolk District,36000.0,0.0,0.0,36000,40338.62463,0,,AVON PARK (KING ST),AVON,MA,2322,69868.0,42.13986389,-71.05204422,,6.0,37.94747474747475,,,,21.973737373737375
9222,1398059,F_777777_2876151,973,973,18,Avon,6th Norfolk District,36000.0,0.0,0.0,36000,39508.40211,0,,AVON PARK (KING ST),AVON,MA,2322,69868.0,42.13942311,-71.05160856,,6.0,37.94747474747475,,,,21.973737373737375
8389,1239274,F_988288_2699589,973,973,20,Barnstable,2nd Barnstable District,4600.0,0.0,0.0,4600,1551.769881,0,0,HIGH SCHOOL ROAD,HYANNIS,MA,2601,,41.64927906,-70.28477664,11.0,85.0,37.94747474747475,,,61.111111111111114,61.47373737373738
8373,1237232,F_982758_2699957,973,973,20,Barnstable,2nd Barnstable District,29500.0,0.0,0.0,29500,19606.172469999998,0,62,FOREST GLEN ROAD,HYANNIS,MA,2601,,41.65050326,-70.30498923,2.0,47.0,37.94747474747475,,,11.11111111111111,42.47373737373738
8371,1237130,F_983050_2699980,973,973,20,Barnstable,2nd Barnstable District,172600.0,0.0,0.0,172600,60792.86375,0,57,FOREST GLEN ROAD,HYANNIS,MA,2601,,41.65055514,-70.30391975,4.0,42.0,37.94747474747475,,,22.22222222222222,39.97373737373738
8311,1224955,F_962887_2693759,973,973,20,Barnstable,2nd Barnstable District,242200.0,0.0,0.0,242200,113223.6732,0,0,OLD MILL ROAD,HYANNIS,MA,2601,,41.63423642,-70.37798766,,28.0,37.94747474747475,,,,32.97373737373738
8299,1221637,F_955706_2703422,973,973,20,Barnstable,2nd Barnstable District,106300.0,0.0,0.0,106300,11237.576079999999,0,0,TANBARK ROAD,HYANNIS,MA,2601,,41.66100839,-70.40379926,,10.0,37.94747474747475,,,,23.973737373737375
8421,1241452,F_989109_2711168,973,973,20,Barnstable,1st Barnstable District,14100.0,0.0,0.0,14100,59431.17047999999,0,844,MARY DUNN ROAD,HYANNIS,MA,2601,,41.68101968,-70.28116766,2.0,8.0,37.94747474747475,,,11.11111111111111,22.973737373737375
8316,1225919,F_961537_2710409,973,973,20,Barnstable,5th Barnstable District,113700.0,0.0,0.0,113700,26253.26838,0,146,TREE TOP CIRCLE,HYANNIS,MA,2601,,41.67997337,-70.38212733,1.0,7.0,37.94747474747475,,,5.555555555555555,22.473737373737375
8317,1225920,F_961712_2710416,973,973,20,Barnstable,5th Barnstable District,113000.0,0.0,0.0,113000,25544.60317,0,134,TREE TOP CIRCLE,HYANNIS,MA,2601,,41.67998628,-70.38148644,1.0,7.0,37.94747474747475,,,5.555555555555555,22.473737373737375
8318,1225921,F_961859_2710395,973,973,20,Barnstable,5th Barnstable District,115300.0,0.0,0.0,115300,25519.58979,0,122,TREE TOP CIRCLE,HYANNIS,MA,2601,,41.67992336,-70.38094939,1.0,7.0,37.94747474747475,,,5.555555555555555,22.473737373737375
8319,1225937,F_961239_2709756,973,973,20,Barnstable,5th Barnstable District,112000.0,0.0,0.0,112000,22132.428,0,211,TREE TOP CIRCLE,HYANNIS,MA,2601,,41.67819222,-70.38324939,1.0,5.0,37.94747474747475,,,5.555555555555555,21.473737373737375
8323,1225941,F_961541_2710212,973,973,20,Barnstable,5th Barnstable District,113000.0,0.0,0.0,113000,24408.06596,0,151,TREE TOP CIRCLE,HYANNIS,MA,2601,,41.67943265,-70.38212214,1.0,4.0,37.94747474747475,,,5.555555555555555,20.973737373737375
8324,1225942,F_961710_2710210,973,973,20,Barnstable,5th Barnstable District,114700.0,0.0,0.0,114700,25686.97455,0,125,TREE TOP CIRCLE,HYANNIS,MA,2601,,41.67942108,-70.38150365,1.0,4.0,37.94747474747475,,,5.555555555555555,20.973737373737375
8313,1225916,F_961213_2710111,973,973,20,Barnstable,5th Barnstable District,112500.0,0.0,0.0,112500,22617.721230000003,0,184,TREE TOP CIRCLE,HYANNIS,MA,2601,,41.67916729,-70.38332755,1.0,3.0,37.94747474747475,,,5.555555555555555,20.473737373737375
8314,1225917,F_961298_2710231,973,973,20,Barnstable,5th Barnstable District,113500.0,0.0,0.0,113500,23258.80362,0,170,TREE TOP CIRCLE,HYANNIS,MA,2601,,41.67949352,-70.38301067,1.0,3.0,37.94747474747475,,,5.555555555555555,20.473737373737375
8320,1225938,F_961309_2709872,973,973,20,Barnstable,5th Barnstable District,112000.0,0.0,0.0,112000,23410.28051,0,197,TREE TOP CIRCLE,HYANNIS,MA,2601,,41.67850801,-70.38298762,1.0,3.0,37.94747474747475,,,5.555555555555555,20.473737373737375
8321,1225939,F_961377_2709984,973,973,20,Barnstable,5th Barnstable District,112000.0,0.0,0.0,112000,20450.73338,0,185,TREE TOP CIRCLE,HYANNIS,MA,2601,,41.6788129,-70.38273336,1.0,3.0,37.94747474747475,,,5.555555555555555,20.473737373737375
8322,1225940,F_961444_2710092,973,973,20,Barnstable,5th Barnstable District,111700.0,0.0,0.0,111700,22097.68645,0,173,TREE TOP CIRCLE,HYANNIS,MA,2601,,41.67910685,-70.38248294,1.0,3.0,37.94747474747475,,,5.555555555555555,20.473737373737375
