index,mapc_id,parloc_id,luc_adj_1,luc_adj_2,muni_id,muni,District,land_value,bldg_value,othr_value,total_value,lot_areaft,bldg_area,addr_num,addr_str,owner_city,owner_stat,owner_zip,median_hh_income,latitude,longitude,numTransitStops,walkscore,transitscore,transit_score_description,transit_score_summary,transitStopScore,TransitFriendlyScore
9135,1389486,M_246783_956434,975,975,7,Amesbury,1st Essex District,146800.0,0.0,0.0,146800,29255.71898,0,18,WATER ST,HAVERHILL,MA,1835,70063.0,42.85711285,-70.92760144,16.0,72.0,25.0,Some Transit,"3 nearby routes: 3 bus, 0 rail, 0 other",88.88888888888889,48.5
9136,1389504,M_246788_956465,975,975,7,Amesbury,1st Essex District,160600.0,0.0,0.0,160600,10758.05358,0,68,ELM ST,HAVERHILL,MA,1830,70063.0,42.85739158,-70.92753772,16.0,71.0,25.0,Some Transit,"3 nearby routes: 3 bus, 0 rail, 0 other",88.88888888888889,48.0
8410,1241142,F_989643_2701781,975,975,20,Barnstable,2nd Barnstable District,176500.0,0.0,0.0,176500,21571.546830000003,0,242,MAIN STREET (HYANNIS),DENNIS,MA,2638,,41.65524082,-70.27970467,14.0,87.0,40.28776978417266,,,77.77777777777779,63.643884892086334
8416,1241422,F_989419_2702801,975,975,20,Barnstable,2nd Barnstable District,250900.0,0.0,0.0,250900,55088.244589999995,0,88,RIDGEWOOD AVENUE,DENNIS,MA,2638,,41.65804849,-70.28047088,8.0,82.0,40.28776978417266,,,44.44444444444444,61.143884892086334
4375,639412,F_821900_3027482,975,975,30,Beverly,6th Essex District,4000.0,0.0,0.0,4000,564.205449,0,0,MCPHERSON DR,BOSTON,MA,2116,56157.0,42.55392114,-70.88490312,,90.0,32.0,Some Transit,"2 nearby routes: 1 bus, 1 rail, 0 other",,61.0
4371,636011,F_821400_3023467,975,975,30,Beverly,6th Essex District,16000.0,0.0,0.0,16000,3927.928632,0,0,SCHOOL ST,BOSTON,MA,2116,61646.0,42.54291445,-70.88686585,14.0,77.0,33.0,Some Transit,"2 nearby routes: 1 bus, 1 rail, 0 other",77.77777777777779,55.0
4370,635709,F_821249_3022879,975,975,30,Beverly,6th Essex District,14800.0,0.0,1000.0,15800,1955.672895,0,0,WELLMAN ST,BOSTON,MA,2116,61646.0,42.54130404,-70.88744182,16.0,73.0,32.0,Some Transit,"2 nearby routes: 1 bus, 1 rail, 0 other",88.88888888888889,52.5
4382,641973,F_824861_3030017,975,975,30,Beverly,6th Essex District,18700.0,0.0,0.0,18700,6872.433085,0,0,COLON ST,BOSTON,MA,2116,,42.56081767,-70.87384509999998,,72.0,33.0,Some Transit,"2 nearby routes: 1 bus, 1 rail, 0 other",,52.5
4402,646494,F_822197_3038613,975,975,30,Beverly,6th Essex District,15000.0,0.0,0.0,15000,3354.489091,0,0,BAYBERRY LN,BOSTON,MA,2116,95863.0,42.58445689,-70.88350229999999,15.0,71.0,33.0,Some Transit,"2 nearby routes: 1 bus, 1 rail, 0 other",83.33333333333334,52.0
4383,642079,F_840963_3030305,975,975,30,Beverly,6th Essex District,39700.0,0.0,0.0,39700,13024.31812,0,0,WEST ST,BOSTON,MA,2116,101964.0,42.56126807,-70.81407201,3.0,42.0,34.0,Some Transit,"2 nearby routes: 1 bus, 1 rail, 0 other",16.666666666666664,38.0
