index,mapc_id,parloc_id,luc_adj_1,luc_adj_2,muni_id,muni,District,land_value,bldg_value,othr_value,total_value,lot_areaft,bldg_area,addr_num,addr_str,owner_city,owner_stat,owner_zip,median_hh_income,latitude,longitude,numTransitStops,walkscore,transitscore,transit_score_description,transit_score_summary,transitStopScore,TransitFriendlyScore
9137,1389640,M_246786_956533,972,972,7,Amesbury,1st Essex District,227000.0,1057000.0,0.0,1284000,76659.08047999999,11600,68,ELM ST,HAVERHILL,MA,1830,70063.0,42.85800379,-70.92755661,16.0,71.0,25.0,Some Transit,"3 nearby routes: 3 bus, 0 rail, 0 other",88.88888888888889,48.0
6837,1064452,F_751955_3065768,972,972,9,Andover,17th Essex District,35300.0,0.0,0.0,35300,124394.7851,0,0,RAILROAD ST,BOSTON,MA,2116,81644.0,42.66006423,-71.14389721,,84.0,31.0,Some Transit,"4 nearby routes: 3 bus, 1 rail, 0 other",,57.5
6827,1063352,F_751647_3065350,972,972,9,Andover,17th Essex District,20200.0,0.0,35200.0,55400,57095.134829999995,0,0,RAILROAD ST,BOSTON,MA,2116,81644.0,42.65892084,-71.14504868,,81.0,31.0,Some Transit,"4 nearby routes: 3 bus, 1 rail, 0 other",,56.0
6813,1061644,F_746653_3049859,972,972,9,Andover,,700.0,0.0,0.0,700,500143.9046,0,0,LOWELL JUNCTION RD,BOSTON,MA,2116,,,,,54.66350710900474,40.28776978417266,,,,47.475638446588704
6845,1065967,F_751349_3063765,972,972,9,Andover,18th Essex District,0.0,0.0,0.0,0,146450.6964,0,0,ESSEX ST,BOSTON,MA,2116,81644.0,42.65457529,-71.14618094,,63.0,31.0,Some Transit,"4 nearby routes: 3 bus, 1 rail, 0 other",,47.0
6871,1072227,F_752376_3067911,972,972,9,Andover,17th Essex District,0.0,0.0,0.0,0,210543.89800000002,0,0,HARDING ST,BOSTON,MA,2116,121182.0,42.66593937,-71.14229871,19.0,58.0,27.0,Some Transit,"5 nearby routes: 5 bus, 0 rail, 0 other",105.55555555555556,42.5
6867,1071484,F_750295_3073434,972,972,9,Andover,17th Essex District,36400.0,0.0,0.0,36400,20187.77767,0,0,SHEPLEY ST,BOSTON,MA,2116,121182.0,42.68111704,-71.1499514,12.0,41.0,33.0,Some Transit,"10 nearby routes: 10 bus, 0 rail, 0 other",66.66666666666666,37.0
6829,1063574,F_752181_3069893,972,972,9,Andover,17th Essex District,0.0,0.0,0.0,0,165965.064,0,0,HAVERHILL ST,BOSTON,MA,2116,121182.0,42.67137982,-71.14299285,,43.0,30.0,Some Transit,"7 nearby routes: 7 bus, 0 rail, 0 other",,36.5
6814,1061941,F_751645_3071198,972,972,9,Andover,17th Essex District,143200.0,0.0,0.0,143200,83410.10278,0,0,HAVERHILL ST,BOSTON,MA,2116,121182.0,42.67496661,-71.14496563,17.0,36.0,30.0,Some Transit,"7 nearby routes: 7 bus, 0 rail, 0 other",94.44444444444444,33.0
6834,1063995,F_750476_3062073,972,972,9,Andover,18th Essex District,0.0,0.0,0.0,0,173209.1881,0,0,LUPINE RD,BOSTON,MA,2116,,42.64994265,-71.14945193,3.0,33.0,27.0,Some Transit,"4 nearby routes: 3 bus, 1 rail, 0 other",16.666666666666664,30.0
6816,1062375,F_747733_3053990,972,972,9,Andover,18th Essex District,140300.0,0.0,12500.0,152800,46713.28597,0,190,ANDOVER ST,BOSTON,MA,2116,171955.0,42.62779477,-71.1597674,2.0,32.0,27.0,Some Transit,"2 nearby routes: 1 bus, 1 rail, 0 other",11.11111111111111,29.5
