(b) EIN,(d) Amount of cash grant,(h) Purpose of grant or assistance
46-5001370,"10,000",Operating  Support/Annual Fund
27-2505761,"30,000",Operating  Support/Annual Fund
26-1150699,"14,500",Operating  Support/Annual Fund
27-3069592,"15,000",Operating  Support/Annual Fund
77-0437523,"100,000",Operating  Support/Annual Fund
20-8065915,"10,000",Capital  Campaign
20-8065915,"2,500",Education
20-8065915,"12,800",Operating  Support/Annual Fund
45-2834070,"100,000",Operating  Support/Annual Fund
26-4363808,"25,000",Economic  Development
26-4363808,"2,500",Operating  Support/Annual Fund
13-3721924,"25,000",Operating  Support/Annual Fund
94-3131165,"10,000",Capital  Campaign
94-3131165,"1,000",Operating  Support/Annual Fund
47-3686152,"71,100",Operating  Support/Annual Fund
04-2304133,"20,000",Emergency  Support
04-2304133,"1,000",Operating  Support/Annual Fund
20-0815685,"71,500",Operating  Support/Annual Fund
43-2050395,"39,760",Scholarship
72-0423889,"1,000,000",Capital  Campaign
72-0423889,"1,500",Operating  Support/Annual Fund
72-0423889,"1,500",Scholarship
04-3263996,"8,500",Operating  Support/Annual Fund
92-0185895,"25,000",Operating  Support/Annual Fund
51-0419358,"7,000",Education
51-0419358,"20,000",Youth  Development
83-0425133,"62,500",Operating  Support/Annual Fund
22-2707246,"1,500",Health  Care
22-2707246,"27,650",Operating  Support/Annual Fund
92-0061466,"10,000",Environment/Wildlife/Agric ulture
82-4949924,"6,000",Operating  Support/Annual Fund
11-3573392,"16,800",Operating  Support/Annual Fund
04-2104782,"11,000",Operating  Support/Annual Fund
04-2108341,"10,000",Operating  Support/Annual Fund
26-0847220,"25,000",Housing  and  Shelter
26-0847220,"3,500",Operating  Support/Annual Fund
04-3543161,"10,000",Operating  Support/Annual Fund
04-3285237,"20,000",Health  Care
81-3430662,"10,000",Operating  Support/Annual Fund
04-3462719,"10,250",Operating  Support/Annual Fund
11-3573392,"16,800",Operating  Support/Annual Fund
04-2104782,"11,000",Operating  Support/Annual Fund
04-2108341,"10,000",Operating  Support/Annual Fund
26-0847220,"25,000",Housing  and  Shelter
26-0847220,"3,500",Operating  Support/Annual Fund
04-3543161,"10,000",Operating  Support/Annual Fund
04-3285237,"20,000",Health  Care
81-3430662,"10,000",Operating  Support/Annual Fund
04-3462719,"10,250",Operating  Support/Annual Fund
82-4721119,"9,395",Operating  Support/Annual Fund
04-2104696,"70,000",Capital  Campaign
13-1788491,"21,325",Operating  Support/Annual Fund
04-6037800,"10,757",Operating  Support/Annual Fund
13-1926773,"19,659",Operating  Support/Annual Fund
47-3686152,"3,500",Immigrant  and  Refugee Support
13-6213516,"25,000",Support
13-6213516,"64,600",Fund
34-1747398,"11,500,000",Operating  Support/Annual Fund
30-0265343,"28,000",Operating  Support/Annual Fund
82-0721089,"25,000",Operating  Support/Annual Fund
23-1352010,"5,750",Operating  Support/Annual Fund
13-5613797,"18,054",Operating  Support/Annual Fund
52-1549711,"6,500",Operating  Support/Annual Fund
13-4159765,"5,250",Operating  Support/Annual Fund
52-1623781,"75,000",Operating  Support/Annual Fund
13-5563393,"113,800",Operating  Support/Annual Fund
13-5563393,"1,250",Religious
